i,gold,A,B,R
0,1,75.0,75.0,75.0
1,1,90.0,85.0,90.0
2,1,90.0,95.0,90.0
3,1,75.0,75.0,85.0
4,1,65.0,60.0,70.0
5,1,92.0,90.0,92.0
6,1,85.0,85.0,85.0
7,1,85.0,90.0,85.0
8,1,70.0,70.0,70.0
9,1,55.0,75.0,70.0
10,1,90.0,95.0,85.0
11,1,85.0,80.0,75.0
12,1,68.0,65.0,70.0
13,1,85.0,85.0,78.0
14,1,85.0,85.0,80.0
15,1,75.0,75.0,75.0
16,1,90.0,90.0,93.0
17,1,75.0,80.0,80.0
18,1,90.0,90.0,90.0
19,1,85.0,85.0,90.0
20,0,68.0,65.0,70.0
21,0,38.0,35.0,38.0
22,0,20.0,15.0,30.0
23,0,15.0,15.0,10.0
24,0,60.0,60.0,45.0
25,0,75.0,75.0,62.0
26,0,80.0,80.0,75.0
27,0,35.0,30.0,35.0
28,0,18.0,20.0,15.0
29,0,10.0,10.0,20.0
30,0,38.0,35.0,38.0
31,0,38.0,40.0,35.0
32,0,35.0,25.0,25.0
33,0,15.0,15.0,20.0
34,0,75.0,85.0,75.0
35,0,20.0,25.0,15.0
36,0,30.0,30.0,30.0
37,0,15.0,15.0,15.0
38,0,18.0,20.0,18.0
39,0,30.0,35.0,20.0
