i,gold,A,B,R
0,1,85.0,85.0,70.0
1,1,72.0,70.0,70.0
2,1,80.0,80.0,80.0
3,1,90.0,85.0,85.0
4,1,75.0,75.0,68.0
5,1,85.0,85.0,80.0
6,1,90.0,90.0,85.0
7,1,68.0,72.0,48.0
8,1,68.0,65.0,65.0
9,1,70.0,70.0,68.0
10,1,68.0,65.0,68.0
11,1,90.0,90.0,85.0
12,1,35.0,35.0,30.0
13,1,85.0,85.0,90.0
14,1,85.0,85.0,90.0
15,1,45.0,45.0,45.0
16,1,80.0,80.0,75.0
17,1,40.0,45.0,38.0
18,1,85.0,85.0,85.0
19,1,70.0,80.0,75.0
20,0,20.0,20.0,30.0
21,0,55.0,60.0,40.0
22,0,38.0,35.0,55.0
23,0,20.0,20.0,20.0
24,0,35.0,25.0,35.0
25,0,30.0,38.0,35.0
26,0,65.0,58.0,45.0
27,0,38.0,38.0,55.0
28,0,75.0,75.0,65.0
29,0,40.0,35.0,40.0
30,0,55.0,68.0,35.0
31,0,65.0,65.0,65.0
32,0,75.0,75.0,75.0
33,0,35.0,35.0,35.0
34,0,30.0,30.0,20.0
35,0,68.0,65.0,62.0
36,0,30.0,25.0,30.0
37,0,40.0,40.0,45.0
38,0,35.0,35.0,30.0
39,0,30.0,30.0,25.0
