מספר תיק_ישן,case
10556-10-17,SH-17-10-10556-234
1074/07,m07001074-98
10774-06-09,ME-09-06-10774-130
10948-02-16,SH-16-02-10948-419
11098-06-18,SH-18-06-11098-353
12109-06-15,ME-15-06-12109-344
12213-10-16,ME-16-10-12213-904
12480-04-16,ME-16-04-12480-812
1316-04-19,ME-19-04-1316-977
13179-07-14,ME-14-07-13179-197
13401-03-12,ME-12-03-13401-281
13999-11-16,ME-16-11-13999-863
14044-03-20,SH-20-03-14044-704
15148-03-12,ME-12-03-15148-775
15387-01-21,ME-21-01-15387-564
16192-05-09,ME-09-05-16192-355
17917-08-10,ME-10-08-17917-313
17935-01-20,ME-20-01-17935-7
18397-02-16,ME-16-02-18397-87
18557-10-21,ME-21-10-18557-340
0189-01-16,ME-16-01-189-123
19242-04-17,SH-17-04-19242-11
19384-05-16,ME-16-05-19384-544
19417-11-16,SH-16-11-19417-55
19642-04-18,ME-18-04-19642-504
19819-03-23,SH-23-03-19819-247
207/08,m08000207-175
0229-08-16,ME-16-08-229-604
23707-03-19,SH-19-03-23707-142
24791-05-11,SH-11-05-24791-315
25802-02-10,SH-10-02-25802-731
25902-05-16,ME-16-05-25902-514
28139-10-13,ME-13-10-28139-807
28360-02-13,ME-13-02-28360-614
28615-08-17,ME-17-08-28615-573
28659-02-14,SH-14-02-28659-762
29529-07-20,ME-20-07-29529-567
29911-03-15,ME-15-03-29911-554
29984-08-16,ME-16-08-29984-51
30015-07-16,ME-16-07-30015-11
30406-04-16,SH-16-04-30406-325
30972-10-18,ME-18-10-30972-637
31218-10-14,ME-14-10-31218-522
31498-01-16,ME-16-01-31498-921
32659-05-18,ME-18-05-32659-754
33444-05-12,ME-12-05-33444-999
33552-09-16,SH-16-09-33552-535
33577-04-12,ME-12-04-33577-700
0336-05-16,ME-16-05-336-804
34027-04-18,ME-18-04-34027-630
35007-04-13,ME-13-04-35007-454
35227-05-17,ME-17-05-35227-215
35552-12-11,SH-11-12-35552-181
36728-06-18,ME-18-06-36728-73
3772-01-16,ME-16-01-3772-806
39071-12-15,ME-15-12-39071-113
39500-07-20,ME-20-07-39500-753
0398-09-16,ME-16-09-398-589
40313-09-15,ME-15-09-40313-52
41585-03-16,ME-16-03-41585-22
41775-01-11,SH-11-01-41775-497
42987-06-16,ME-16-06-42987-901
42991-05-16,SH-16-05-42991-439
43085-06-21,ME-21-06-43085-219
44157-08-16,ME-16-08-44157-713
44380-08-16,SH-16-08-44380-642
44579-08-15,ME-15-08-44579-251
44840-06-16,ME-16-06-44840-433
45228-07-16,ME-16-07-45228-25
45465-11-15,ME-15-11-45465-294
46930-03-22,ME-22-03-46930-359
47445-08-17,SH-17-08-47445-166
47766-07-12,SH-12-07-47766-859
48488-03-14,ME-14-03-48488-922
49530-03-15,SH-15-03-49530-992
49772-11-16,SH-16-11-49772-358
50916-06-16,ME-16-06-50916-362
50986-12-16,ME-16-12-50986-619
51207-09-12,ME-12-09-51207-971
5127/06,m06005127-464
51828-02-14,ME-14-02-51828-88
0520-07-17,ME-17-07-520-371
52091-02-20,SH-20-02-52091-995
52337-07-18,SH-18-07-52337-770
52964-03-22,ME-22-03-52964-443
53169-10-13,ME-13-10-53169-537
53539-11-17,SH-17-11-53539-235
53615-01-19,ME-19-01-53615-8
54432-02-17,ME-17-02-54432-484
54615-03-16,ME-16-03-54615-517
54879-08-16,ME-16-08-54879-35
56385-11-16,ME-16-11-56385-886
59260-03-16,ME-16-03-59260-279
59812-02-16,ME-16-02-59812-881
60805-07-19,SH-19-07-60805-168
0613-04-17,ME-17-04-613-913
62597-10-17,ME-17-10-62597-895
62688-01-20,ME-20-01-62688-591
0633-05-17,ME-17-05-633-549
64845-06-16,ME-16-06-64845-657
65958-12-15,SH-15-12-65958-120
6904-12-14,ME-14-12-6904-57
69158-11-16,ME-16-11-69158-529
72146-11-20,ME-20-11-72146-895
7434-05-10,sh-10-05-7434-952
7498-11-14,ME-14-11-7498-539
7544-11-16,SH-16-11-7544-55
7566-11-09,ME-09-11-7566-913
8097/01,m01008097-376
8192/04,m04008192-374
8987-11-14,SH-14-11-8987-965
9111-02-15,ME-15-02-9111-399
9348-10-16,ME-16-10-9348-780
9349-05-09,SH-09-05-9349-998
9968-05-16,ME-16-05-9968-487
9983-05-16,ME-16-05-9983-155
