feature,agreement_rate,cohen_kappa,n_cases,n_pairs
עבירות [סעיף 6],1.0,1.0,68,90
סוג הסם [METHAMPHETAMINE],1.0,1.0,68,90
מתחם ענישה בא כוח (סנגור),1.0,1.0,68,90
מתחם ענישה מאשימה (פרקליט),1.0,1.0,68,90
עבירות [סעיף 22],1.0,1.0,68,90
עבירות [61(א)(ג)],1.0,1.0,68,90
סוג הסם [האיוואסקה],1.0,1.0,68,90
עבירות [סעיף 7],0.9705882352941176,0.9547511312217194,68,90
עבירות [סעיף 19],0.9852941176470589,0.9491525423728813,68,90
עבירות [סעיף 13],0.9852941176470589,0.9446494464944649,68,90
מעבדה,0.9558823529411765,0.9072483682583306,68,90
סוג הסם [קטמין],0.9705882352941176,0.8965517241379308,68,90
סוג הסם [קתינון],0.9852941176470589,0.8514851485148517,68,90
סוג הסם [מתילמקאתינון],0.9852941176470589,0.8514851485148517,68,90
סוג הסם [MDMA],0.9264705882352942,0.815422477440525,68,90
תפקיד,0.9333333333333333,0.8034576888080073,68,90
עבירות [סעיף 14],0.9852941176470589,0.7945205479452065,68,90
סוג הסם [קוקאין],0.8823529411764706,0.775,68,90
עבירות נלוות כן/לא,0.8676470588235294,0.724770642201835,68,90
מכירה לסוכן,0.8823529411764706,0.6983546617915904,68,90
סוג הסם [חשיש],0.9411764705882353,0.6923076923076927,68,90
סוג הסם [קנבוס],0.8088235294117647,0.6601941747572815,68,90
עבירת סמים שלא הייתה ברשימה,0.8529411764705882,0.5652173913043478,68,90
מתחם ענישה שופט,0.7647058823529411,0.48327508736894653,68,90
סוג הסם [LSD],0.6911764705882353,0.21576763485477188,68,90
סוג הסם [קנבוס בשתילים],0.9117647058823529,0.21511627906976766,68,90
ענש נלווה,0.8823529411764706,0.1836734693877552,68,90
עונש עיקרי,0.8823529411764706,0.0,68,90
עבירות [סעיף 21],0.9852941176470589,0.0,68,90
