fname,tagger_a,tagger_b,drugs_a,drugs_b,jaccard,agreement
ME-10-11-18588-3,איתי,גיא,"[{""drug"": ""קוקאין"", ""amount"": 3.44, ""unit"": ""ק\""ג""}]","[{""drug"": ""קוקאין"", ""amount"": 3.44, ""unit"": ""ק\""ג""}]",1.0,1
ME-10-11-18588-3,איתי,גיא,"[{""drug"": ""קוקאין"", ""amount"": 3.44, ""unit"": ""ק\""ג""}]","[{""drug"": ""קוקאין"", ""amount"": 3.44, ""unit"": ""ק\""ג""}]",1.0,1
ME-10-11-18588-3,גיא,גיא,"[{""drug"": ""קוקאין"", ""amount"": 3.44, ""unit"": ""ק\""ג""}]","[{""drug"": ""קוקאין"", ""amount"": 3.44, ""unit"": ""ק\""ג""}]",1.0,1
ME-14-01-16958-980,גיא,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 60, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 60000, ""unit"": ""שתילים""}]",0.0,0
ME-15-09-24514-351,גיא,ליאור,"[{""drug"": ""קוקאין"", ""amount"": 0.85, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 108, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 0.18, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 8.82, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 1.49, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 901, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 117, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 902.49, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.85, ""unit"": ""גרם""}]",0.667,1
ME-15-11-31122-886,גיא,ליאור,"[{""drug"": ""MDMA"", ""amount"": 199.33, ""unit"": ""גרם""}]","[{""drug"": ""MDMA"", ""amount"": 199.33, ""unit"": ""גרם""}]",1.0,1
ME-16-06-6788-21,גיא,ליאור,"[{""drug"": ""קוקאין"", ""amount"": 2.565, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 2565, ""unit"": ""גרם""}]",0.0,0
ME-16-07-11608-225,איתי,ליאור,"[{""drug"": ""MDMA"", ""amount"": 13189, ""unit"": ""טבליות""}, {""drug"": ""MDMA"", ""amount"": 1301.44, ""unit"": ""גרם""}]","[{""drug"": ""MDMA"", ""amount"": 1301.44, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13189, ""unit"": ""טבליות""}]",0.0,0
ME-16-11-63255-338,איתי,ליאור,"[{""drug"": ""LSD"", ""amount"": 30.11, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1255.48, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 689.77, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 52.616, ""unit"": ""גרם""}]","[{""drug"": ""LSD"", ""amount"": 1.75, ""unit"": ""מ\""ל""}, {""drug"": ""חשיש"", ""amount"": 689.77, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1255.48, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 1651, ""unit"": ""טבליות""}, {""drug"": ""קוקאין"", ""amount"": 52.616, ""unit"": ""גרם""}]",0.4,0
ME-16-12-19902-389,גיא,ליאור,"[{""drug"": ""קוקאין"", ""amount"": 6175.95, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 6175.95, ""unit"": ""גרם""}]",1.0,1
ME-16-12-26620-433,גיא,טל,"[{""drug"": ""קוקאין"", ""amount"": 888, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 977, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 415, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 428, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 888, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 977, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 415, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 428, ""unit"": ""גרם""}]",1.0,1
ME-17-01-59971-328,טל,איתי,"[{""drug"": ""קנבוס"", ""amount"": 170, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 10.2, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 170, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 10.2, ""unit"": ""גרם""}]",1.0,1
ME-17-01-620-279,איתי,טל,"[{""drug"": ""קוקאין"", ""amount"": 4.922, ""unit"": ""ק\""ג""}]","[{""drug"": ""קוקאין"", ""amount"": 4.922, ""unit"": ""ק\""ג""}]",1.0,1
ME-17-03-30876-747,איתי,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 140, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 140, ""unit"": ""ק\""ג""}]",1.0,1
ME-17-04-17677-800,טל,מור,"[{""drug"": ""קנבוס"", ""amount"": 235, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 72.8, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 235, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 72.8, ""unit"": ""ק\""ג""}]",1.0,1
ME-18-01-73652-357,איתי,טל,"[{""drug"": ""קוקאין"", ""amount"": 20, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 49, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 20, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 49, ""unit"": ""גרם""}]",1.0,1
ME-18-02-5680-55,איתי,גיא,"[{""drug"": ""MDMA"", ""amount"": 8363, ""unit"": ""טבליות""}]","[{""drug"": ""MDMA"", ""amount"": 8363, ""unit"": ""טבליות""}]",1.0,1
ME-18-04-16826-842,איתי,מור,"[{""drug"": ""קוקאין"", ""amount"": 7.935, ""unit"": ""ק\""ג""}]","[{""drug"": ""קוקאין"", ""amount"": 7.935, ""unit"": ""ק\""ג""}]",1.0,1
ME-18-04-46786-521,איתי,מור,"[{""drug"": ""MDMA"", ""amount"": 31243, ""unit"": ""טבליות""}, {""drug"": ""קנבוס"", ""amount"": 0.9, ""unit"": ""גרם""}]","[{""drug"": ""MDMA"", ""amount"": 31243, ""unit"": ""טבליות""}]",0.5,1
ME-18-07-67342-121,מור,ליאור,"[{""drug"": ""MDMA"", ""amount"": 2054, ""unit"": ""טבליות""}, {""drug"": ""חשיש"", ""amount"": 4.6, ""unit"": ""ק\""ג""}]","[{""drug"": ""חשיש"", ""amount"": 4600, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 4000, ""unit"": ""טבליות""}]",0.5,1
ME-18-08-58591-978,איתי,מור,"[{""drug"": ""קוקאין"", ""amount"": 1029.44, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 1029.44, ""unit"": ""גרם""}]",1.0,1
ME-18-08-8864-290,איתי,מור,"[{""drug"": ""קנבוס"", ""amount"": 5, ""unit"": ""שתילים""}]","[{""drug"": ""קנבוס"", ""amount"": 5, ""unit"": ""שתילים""}]",1.0,1
ME-19-01-68942-383,טל,גיא,"[{""drug"": ""מתאמפטמין"", ""amount"": 1.865, ""unit"": ""ק\""ג""}]","[{""drug"": ""מתאמפטמין"", ""amount"": 1.865, ""unit"": ""ק\""ג""}]",1.0,1
ME-19-01-68958-71,איתי,ליאור,"[{""drug"": ""מתאמפטמין"", ""amount"": 1.865, ""unit"": ""ק\""ג""}]","[{""drug"": ""מתאמפטמין"", ""amount"": 1.865, ""unit"": ""ק\""ג""}]",1.0,1
ME-19-02-45480-398,ליאור,איתי,"[{""drug"": ""קנבוס"", ""amount"": 79.9, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 79.9, ""unit"": ""ק\""ג""}]",1.0,1
ME-19-02-45480-398,ליאור,טל,"[{""drug"": ""קנבוס"", ""amount"": 79.9, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 79.9, ""unit"": ""ק\""ג""}]",1.0,1
ME-19-02-45480-398,איתי,טל,"[{""drug"": ""קנבוס"", ""amount"": 79.9, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 79.9, ""unit"": ""ק\""ג""}]",1.0,1
ME-19-04-14488-104,טל,גיא,"[{""drug"": ""קנבוס"", ""amount"": 51.15, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 51.15, ""unit"": ""ק\""ג""}]",1.0,1
ME-19-04-14578-148,גיא,מור,"[{""drug"": ""קנבוס"", ""amount"": 80, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 80, ""unit"": ""ק\""ג""}]",1.0,1
ME-19-07-4435-107,טל,גיא,"[{""drug"": ""קנבוס"", ""amount"": 54, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 54, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 54, ""unit"": ""שתילים""}]",0.0,0
ME-20-12-1338-335,ליאור,מור,"[{""drug"": ""האיוואסקה"", ""amount"": 1300, ""unit"": ""מ\""ל""}]","[{""drug"": ""האיוואסקה"", ""amount"": 1300, ""unit"": ""מ\""ל""}]",1.0,1
ME-21-03-10139-230,מור,ליאור,"[{""drug"": ""קוקאין"", ""amount"": 19.8, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 18.9, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 18.03, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 14.79, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 71.52, ""unit"": ""גרם""}]",0.0,0
ME-21-12-42162-424,איתי,ליאור,"[{""drug"": ""קטמין"", ""amount"": 2331, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 2331, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 64.95, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.82, ""unit"": ""גרם""}]",0.5,1
