fname,n_annotators,consolidated_drugs,quantity_conflicts,annotator_איתי,annotator_גיא,annotator_ליאור,annotator_טל,annotator_מור
10139-03-21,1,"[{""drug"": ""קוקאין"", ""amount"": 18.9, ""unit"": ""גרם""}]","קוקאין: [(19.8, 'גרם'), (18.9, 'גרם'), (18.03, 'גרם'), (14.79, 'גרם')]",,"[{""drug"": ""קוקאין"", ""amount"": 19.8, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 18.9, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 18.03, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 14.79, ""unit"": ""גרם""}]",,,
ME-10-11-18588-3,2,"[{""drug"": ""קוקאין"", ""amount"": 3440.0, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 3.44, ""unit"": ""ק\""ג""}]","[{""drug"": ""קוקאין"", ""amount"": 3.44, ""unit"": ""ק\""ג""}]",,,
ME-14-01-16958-980,2,[],"קנבוס: [(60.0, 'ק""ג'), (60000.0, 'שתילים')]",,"[{""drug"": ""קנבוס"", ""amount"": 60, ""unit"": ""ק\""ג""}]","[{""drug"": ""קנבוס"", ""amount"": 60000, ""unit"": ""שתילים""}]",,
ME-15-09-24514-351,2,"[{""drug"": ""קוקאין"", ""amount"": 0.85, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 108.0, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 901.0, ""unit"": ""גרם""}]","קנבוס: [(108.0, 'גרם'), (0.18, 'גרם'), (8.82, 'גרם'), (117.0, 'גרם')]; MDMA: [(1.49, 'גרם'), (901.0, 'גרם'), (902.49, 'גרם')]",,"[{""drug"": ""קוקאין"", ""amount"": 0.85, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 108, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 0.18, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 8.82, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 1.49, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 901, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 117, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 902.49, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.85, ""unit"": ""גרם""}]",,
ME-15-11-31122-886,2,"[{""drug"": ""MDMA"", ""amount"": 199.33, ""unit"": ""גרם""}]",,,"[{""drug"": ""MDMA"", ""amount"": 199.33, ""unit"": ""גרם""}]","[{""drug"": ""MDMA"", ""amount"": 199.33, ""unit"": ""גרם""}]",,
ME-16-06-6788-21,2,"[{""drug"": ""קוקאין"", ""amount"": 2565.0, ""unit"": ""גרם""}]","קוקאין: [(2.565, 'גרם'), (2565.0, 'גרם')]",,"[{""drug"": ""קוקאין"", ""amount"": 2.565, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 2565, ""unit"": ""גרם""}]",,
ME-16-07-11608-225,2,[],"MDMA: [(13189.0, 'טבליות'), (1301.44, 'גרם'), (1301.44, 'גרם'), (13189.0, 'טבליות')]","[{""drug"": ""MDMA"", ""amount"": 13189, ""unit"": ""טבליות""}, {""drug"": ""MDMA"", ""amount"": 1301.44, ""unit"": ""גרם""}]",,"[{""drug"": ""MDMA"", ""amount"": 1301.44, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13189, ""unit"": ""טבליות""}]",,
ME-16-11-63255-338,2,"[{""drug"": ""קנבוס"", ""amount"": 1255.48, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 689.77, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 52.616, ""unit"": ""גרם""}]","LSD: [(30.11, 'גרם'), (1.75, 'מ""ל')]; MDMA: [(52.616, 'גרם'), (1651.0, 'טבליות')]","[{""drug"": ""LSD"", ""amount"": 30.11, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1255.48, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 689.77, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 52.616, ""unit"": ""גרם""}]",,"[{""drug"": ""LSD"", ""amount"": 1.75, ""unit"": ""מ\""ל""}, {""drug"": ""חשיש"", ""amount"": 689.77, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1255.48, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 1651, ""unit"": ""טבליות""}, {""drug"": ""קוקאין"", ""amount"": 52.616, ""unit"": ""גרם""}]",,
ME-16-12-19902-389,2,"[{""drug"": ""קוקאין"", ""amount"": 6175.95, ""unit"": ""גרם""}]",,,"[{""drug"": ""קוקאין"", ""amount"": 6175.95, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 6175.95, ""unit"": ""גרם""}]",,
ME-16-12-26620-433,2,"[{""drug"": ""קוקאין"", ""amount"": 888.0, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 428.0, ""unit"": ""גרם""}]","MDMA: [(977.0, 'גרם'), (415.0, 'גרם'), (428.0, 'גרם'), (977.0, 'גרם'), (415.0, 'גרם'), (428.0, 'גרם')]",,"[{""drug"": ""קוקאין"", ""amount"": 888, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 977, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 415, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 428, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 888, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 977, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 415, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 428, ""unit"": ""גרם""}]",
