itr 1,,,,,,,,itr 2,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source Verdict,Target Number,Similarity Score - Itay,Similarity Score - Lior ,final,,,,Source Verdict,Target Number,Similarity Score - Itay,Similarity Score - Lior ,final
SH-10-02-25802-731,ME-13-04-35007-454,1,1,1,,,,SH-16-04-30406-325,ME-16-02-59812-881,1,1,1
ME-16-10-12213-904,ME-15-02-9111-399,1,1,1,,,,ME-16-05-25902-514,ME-16-11-56385-886,3,3,3
SH-16-04-30406-325,0520-07-17,1,1,3,,,,ME-18-06-36728-73,ME-16-09-398-589,3,3,3
ME-16-05-25902-514,SH-11-01-41775-497,3,3,3,,,,ME-21-01-15387-564,ME-16-05-9968-487,3,3,3
ME-18-05-32659-754,ME-16-08-54879-35,3,3,1,,,,SH-17-10-10556-234,ME-16-11-13999-863,1,1,1
SH-16-01-21459-8,ME-11-07-33734-821,,,1,,,,SH-17-10-10556-234,m08000207-175,1,1,1
ME-17-05-35227-215,ME-15-02-9111-399,1,1,1,,,,SH-18-06-11098-353,ME-16-03-54615-517,1,1,1
ME-16-04-12480-812,ME-12-03-15148-775,1,1,3,,,,ME-17-05-633-549,ME-19-04-1316-977,3,3,3
ME-16-02-59812-881,ME-16-03-54615-517,1,1,1,,,,ME-16-04-12480-812,ME-13-10-28139-807,3,3,3
SH-23-03-19819-247,SH-16-11-7544-55,2,3,2,,,,ME-17-05-633-549,ME-09-05-16192-355,1,1,1
ME-15-12-39071-113,ME-16-10-12213-904,1,1,1,,,,ME-16-05-336-804,ME-15-12-39071-113,1,1,1
SH-17-10-10556-234,ME-09-01-4206-239,,,2,,,,ME-16-10-12213-904,ME-09-05-16192-355,3,3,3
ME-16-08-44157-713,ME-17-05-35227-215,2,3,1,,,,ME-16-10-9348-780,SH-10-02-25802-731,1,1,1
SH-13-09-25854-356,0398-09-16,,,1,,,,ME-16-05-25902-514,ME-12-05-33444-999,3,3,3
ME-10-08-17917-313,ME-16-04-12480-812,1,1,1,,,,ME-15-08-44579-251,ME-14-12-6904-57,2,3,2
ME-20-07-29529-567,ME-16-08-54879-35,2,3,1,,,,ME-17-05-633-549,ME-16-03-54615-517,1,3,2
SH-09-05-9349-998,ME-20-07-29529-567,1,1,1,,,,ME-20-01-62688-591,ME-16-09-398-589,3,3,3
ME-22-03-46930-359,ME-16-03-59260-279,1,1,1,,,,ME-16-06-42987-901,ME-16-06-44840-433,3,3,3
ME-21-01-15387-564,ME-16-11-69158-529,1,1,3,,,,ME-21-10-18557-340,SH-11-01-41775-497,1,1,1
ME-16-02-18397-87,ME-12-03-13401-281,1,1,1,,,,ME-16-06-42987-901,ME-14-10-31218-522,1,1,1
ME-17-10-62597-895,SH-15-12-65958-120,1,1,3,,,,ME-18-05-32659-754,ME-15-02-9111-399,1,1,1
SH-16-08-7996-293,ME-16-11-13999-863,,,1,,,,ME-16-05-336-804,ME-16-11-69158-529,2,3,2
ME-13-02-28360-614,ME-16-06-44840-433,1,1,1,,,,SH-17-10-10556-234,m07001074-98,3,1,2
SH-18-06-11098-353,SH-16-11-7544-55,3,3,1,,,,SH-19-07-60805-168,ME-14-10-31218-522,1,1,1
ME-18-06-36728-73,0398-09-16,3,3,1,,,,ME-16-06-44840-433,SH-11-05-24791-315,1,1,1
ME-14-07-13179-197,m08000207-175,1,1,1,,,,ME-16-08-229-604,ME-16-05-19384-544,1,1,1
SH-17-04-19242-11,SH-16-11-7544-55,3,3,3,,,,ME-16-02-18397-87,ME-20-01-62688-591,1,1,1
ME-14-10-31218-522,ME-14-12-6904-57,1,1,2,,,,sh-10-05-7434-952,ME-15-06-12109-344,1,1,1
ME-16-10-9348-780,ME-17-05-35227-215,1,1,3,,,,ME-16-06-44840-433,SH-09-05-9349-998,1,1,1
ME-16-06-42987-901,ME-12-04-33577-700,1,1,1,,,,ME-16-08-44157-713,ME-15-11-45465-294,3,3,3
