fname,n_annotators,consolidated_weapons,consolidated_ammo,ammo_conflicts,annotator_ליאור_weapons,annotator_ליאור_ammo,annotator_איתי_weapons,annotator_איתי_ammo,annotator_רותם_weapons,annotator_רותם_ammo,annotator_חן_weapons,annotator_חן_ammo
ME-10-8-17917-313,1,אקדח,"[{""kind"": ""bullets"", ""amount"": 3.0}]",,,,,,אקדח,"[{""kind"": ""bullets"", ""amount"": 3, ""raw_unit"": ""כדורים""}]",,
ME-12-3-13401-281,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 11.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 11, ""raw_unit"": ""כדורים""}]",אקדח,[]
ME-12-3-15148-775,1,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 11.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 11, ""raw_unit"": ""כדורים""}]",,
ME-12-4-33577-700,2,אקדח,[],,,,,,אקדח,[],אקדח,[]
ME-12-5-33444-999,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 3.0}, {""kind"": ""bullets"", ""amount"": 1.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 3, ""raw_unit"": ""מחסניות""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 3, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 1, ""raw_unit"": ""כדורים""}]",,,,
ME-12-9-51207-971,1,,[],,,,,,,[],,
ME-13-10-28139-807,1,אקדח,[],,,,,,אקדח,[],,
ME-13-10-53169-537,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 17.0}]","bullets: [0.0, 2.0, 17.0, 19.0]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 19, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 2, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 17, ""raw_unit"": ""כדורים""}]",,,,
ME-13-2-28360-614,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}]",,אקדח,[],אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",,,,
ME-13-4-35007-454,2,אקדח,[],,,,,,אקדח,[],אקדח,[]
ME-14-10-31218-522,2,רימון הלם/גז,[],,,,,,רימון הלם/גז,[],רימון הלם/גז,[]
ME-14-11-7498-539,1,רובה סער ,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 29.0}]",,,,רובה סער ,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 29, ""raw_unit"": ""כדורים""}]",,,,
ME-14-12-6904-57,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1.0}]",,תת מקלע מאולתר,[],תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",,,,
ME-14-2-51828-88,2,רובה צייד,[],,,[],רובה צייד,[],,,,
ME-14-3-48488-922,1,מטען חבלה,[],,,,מטען חבלה,[],,,,
ME-14-7-13179-197,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 3.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 3, ""raw_unit"": ""מחסניות""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 3, ""raw_unit"": ""מחסניות""}]"
ME-15-11-45465-294,2,"תת מקלע, תת מקלע מאולתר","[{""kind"": ""magazines"", ""amount"": 3.0}]","magazines: [1.0, 3.0]",תת מקלע,"[{""kind"": ""magazines"", ""amount"": 3, ""raw_unit"": ""מחסניות""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",,,,
ME-15-12-39071-113,2,אקדח,[],,אקדח,[],אקדח,[],,,,
ME-15-2-9111-399,1,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 13.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 13, ""raw_unit"": ""כדורים""}]",,
