feature,agreement,cohen_kappa,n_cases,n_pairs
הודאה,100.0%,1.0,101,101
מכירה לסוכן,100.0%,1.0,101,101
מתחם ענישה - מאשימה,100.0%,1.0,101,101
בריחה מרדף,100.0%,1.0,101,101
מטרה-סיבת העבירה,100.0%,1.0,101,101
תכנון,100.0%,1.0,101,101
אופן החזקת הנשק,100.0%,1.0,101,101
מספר עבירה,100.0%,1.0,101,101
כמות תחמושת,100.0%,1.0,101,101
חרטה,100.0%,1.0,101,101
כסף ששולם,100.0%,1.0,101,101
אופן קבלת הנשק,100.0%,1.0,101,101
עבר פלילי,100.0%,1.0,101,101
עבירות נוספות,100.0%,1.0,101,101
סוג הנשק (סט),100.0%,1.0,101,101
סוג העבירה,99.0%,0.988,101,101
סטטוס הנשק,99.0%,0.987,101,101
נזק,99.0%,0.983,101,101
שימוש,99.0%,0.977,101,101
מתחם ענישה - שופט,99.0%,0.954,101,101
עונש,99.0%,0.795,101,101
