feature,agreement,cohen_kappa,weighted_kappa_linear,weighted_kappa_quadratic,n_cases,n_pairs
מספר עבירה,93.2%,0.898,0.916,0.932,88,88
סוג העבירה,90.9%,0.89,0.933,0.95,88,88
שימוש,94.3%,0.867,0.813,0.7,88,88
עבירות נוספות,93.2%,0.851,0.851,0.851,88,88
סוג הנשק (סט),81.8%,0.746,,,88,88
כמות תחמושת,87.5%,0.721,0.721,0.721,88,88
מטרה-סיבת העבירה,86.4%,0.72,0.72,0.72,88,88
אופן קבלת הנשק,81.8%,0.625,0.591,0.604,88,88
סטטוס הנשק,70.5%,0.619,0.567,0.509,88,88
אופן החזקת הנשק,59.1%,0.535,0.6,0.62,88,88
תכנון,71.6%,0.431,0.396,0.345,88,88
