verdict_1,verdict_2,similarity_scale,similarity_binary_0,similarity_binary_1,feature_vector_1,feature_vector_2
ME-16-07-11608-225,ME-22-12-47987-640,1,0,0,"{""אופן_ההברחה"": ""הסמים הוסתרו בדופן כפולה של מזוודה"", ""אמצעי_תשלום"": ""מאיר מסר לנאשם 2000 ש\""ח עבור הוצאות נסיעה"", ""הוראות_מראש"": ""הנאשם פעל לפי הנחיות מאיר"", ""חשד_לסמים"": ""הנאשם חשד שמדובר בסמים אך לא בדק את תכולת המזוודה"", ""כמות_הסם_אבקה_גרם"": ""1301.44"", ""כמות_הסם_טבליות"": ""13189"", ""מדינות_מעורבות"": [""ישראל"", ""אוקראינה"", ""גרמניה"", ""טורקיה""], ""מועד_המעצר"": ""17.6.16"", ""מספר_נסיעות"": ""מספר פעמים"", ""מקום_המעצר"": ""שדה התעופה בישראל"", ""סוג_הסיוע"": ""העברת מזוודה מחו\""ל לישראל עבור אחר"", ""סוג_הסם"": ""MDMA"", ""סוג_העבירה"": ""סיוע לייבוא סם מסוכן"", ""סעיפי_חוק"": [""סעיף 13 לפקודת הסמים המסוכנים"", ""סעיף 19א לפקודת הסמים המסוכנים"", ""סעיף 31 לחוק העונשין""], ""קשר_עם_אחרים"": ""הנאשם פעל בשליחותו של מאיר ובקשר עם אחר"", ""רכישת_כרטיס_טיסה"": ""מאיר רכש כרטיס טיסה עבור הנאשם"", ""שיטת_תקשורת"": ""אפליקציית הצפנת מסרים ויקר"", ""תמורה_כספית"": ""כן"", ""תקופת_ביצוע"": ""2015-2016""}","{""אופן_המעקב_והתפיסה"": ""החבילה אותרה על ידי חוקרי המכס, הועברה למשטרה, בוצעה מסירה מבוקרת, נעצרו בעת מסירת הסם"", ""אמצעי_שילוח"": ""חבילה בדואר בינלאומי"", ""האם_בוצע_תיאום_טלפוני"": ""כן, בין הנאשם לעמית ובינם לבין חברת השליחויות והמכס"", ""האם_הוסלקו_פריטים_נוספים_בחבילה"": ""כן, בדים ותיקי בד צבעוניים"", ""האם_הנאשם_שהה_בחו\""ל_בעת_ביצוע_העבירה"": ""כן, שהה בהודו בעת שליחת החבילה"", ""הסכמה_ותמורה"": ""תמורה בסם מסוג KETAMINE בשווי 5,000 ש\""ח"", ""השתלשלות_העבירה"": ""הנאשם יזם את המשלוח, תיאם עם עמית, שלח את החבילה מהודו, עמית קיבל את החבילה בישראל ומסר לנאשם"", ""כמות_הסם"": ""700 גרם נטו"", ""כתובת_המשלוח"": ""בית הסב של עמית, קרית גת"", ""מדינת_היעד"": ""ישראל"", ""מדינת_המקור"": ""הודו"", ""מספר_מעורבים"": ""2"", ""סוג_הסם"": ""KETAMINE"", ""סוג_העבירה"": ""ייבוא סם מסוכן"", ""סעיף_חוק"": ""סעיף 13 לפקודת הסמים המסוכנים (נוסח חדש)"", ""קשר_בין_המעורבים"": ""בני דודים"", ""שיטת_ההסלקה"": ""הסלקה בארבעה כדים בעלי דופן כפולה בתוך חבילה"", ""שימוש_בכתובת_שאינה_מגורים"": ""כן, בית הסב היה ריק מדיירים"", ""שימוש_במספר_טלפון_של_עמית"": ""כן, נכתב על החבילה"", ""שימוש_ברכב_לצורך_העבירה"": ""כן, רכב הונדה וטנדר סובארו"", ""תקופת_העבירה"": ""23.10.2022 עד 22.11.2022""}"
ME-16-11-63255-338,ME-18-01-73652-357,1,0,0,"{""החזקת ציוד להכנת/צריכת סמים"": ""משקל אלקטרוני"", ""היכרות מוקדמת בין הנאשמת לשותפים"": ""כן"", ""כמות LSD בולים"": ""154 בולים"", ""כמות LSD נוזל"": ""1.75 מ\""ל"", ""כמות MDMA אבקה"": ""30.11 גרם נטו"", ""כמות MDMA טבליות"": ""1,651 טבליות"", ""כמות חשיש"": ""689.77 גרם נטו"", ""כמות קוקאין"": ""52.616 גרם נטו"", ""כמות קנבוס"": ""1,255.48 גרם נטו"", ""מועד תחילת הקשר"": ""לפני 17.10.16"", ""מימון שכר הדירה"": ""4,500 ש\""ח במזומן ממאהר לנאשמת"", ""מספר עסקאות סחר"": ""2"", ""מספר שותפים לעבירה"": ""2"", ""מקום ביצוע העבירה"": ""דירה ששכר מאהר עבור הנאשמת"", ""סוג הקשר הפלילי"": ""קשירת קשר להחזקה וסחר בסמים"", ""סוגי סמים שהוחזקו"": ""קוקאין, MDMA (טבליות ואבקה), LSD (בולים ונוזל), קנבוס, חשיש"", ""פרטי עסקה ראשונה"": ""13.11.16, מכירת אקסטזי, קוקאין ו-MDMA לעמיר רחמים, תמורת 1,400 ש\""ח"", ""פרטי עסקה שניה"": ""14.11.16, מכירת גרם קנאביס לחנן כהן, תמורת 100 ש\""ח"", ""תקופת החזקה בסמים"": ""החל מ-17.10.16 ועד 14.11.16""}","{""אמצעי_המחשה_אישום_2"": ""שליחת תמונה של סמים"", ""זהות_הרוכש"": ""סוכן משטרתי"", ""יוזם_העסקה_אישום_1"": ""הסוכן יזם"", ""יוזם_העסקה_אישום_2"": ""הנאשם יזם"", ""כמות_הסם_אישום_1"": ""20.09 גרם"", ""כמות_הסם_אישום_2"": ""49 גרם"", ""מיקום_המסירה_אישום_1"": ""ביתו של הנאשם"", ""מיקום_המסירה_אישום_2"": ""נקודת מפגש שנקבעה מראש"", ""מספר_אישומים"": ""2"", ""מספר_עסקאות"": ""2"", ""סוג_הסם"": ""קוקאין"", ""סוג_העבירה"": ""סחר בסם מסוכן"", ""קשר_מוקדם_בין_הנאשם_לרוכש"": ""היכרות מוקדמת עם סוכן משטרתי"", ""שיטת_התקשרות"": ""הודעות ווטסאפ, שיחות טלפון, פגישה פיזית"", ""תמורה_כספית_אישום_1"": ""9000 ש\""ח"", ""תמורה_כספית_אישום_2"": ""22500 ש\""ח"", ""תקופת_ביצוע_העבירות"": ""5.11.2017 עד 26.12.2017""}"
ME-16-12-26620-433,ME-16-06-6788-21,3,1,1,"{""אופן ההסלקה"": ""הסתרה בדופן מזוודה"", ""אופן קבלת הסם"": ""קבלת מזוודה מאדם שזהותו אינה ידועה במלון בוינה"", ""האם הסם הוגדר כקשה"": ""כן"", ""זהות מסייעים נוספים"": ""אדם אחר שזהותו אינה ידועה למאשימה"", ""ידיעת הנאשם על סוג וכמות הסם"": ""ידע שמדובר בסמים מסוכנים קשים, לא ידע מהי הכמות ומהו הסוג"", ""כמות הסם"": ""888 גרם קוקאין, 977 גרם MDMA, 415 גרם MDMA, 428 גרם MDMA"", ""מועד היבוא"": ""5.12.2016"", ""מועד היציאה מישראל"": ""2.12.2016"", ""מועד קבלת הסם"": ""4.12.2016"", ""מספר נאשמים"": ""2"", ""מקום היבוא"": ""מאוסטריה (וינה) לישראל"", ""מקום המעצר"": ""שדה התעופה בישראל"", ""סוג הסם"": ""קוקאין ו-MDMA"", ""סעיפי חיקוק"": ""סעיף 13 בצירוף סעיף 19א לפקודת הסמים המסוכנים [נוסח חדש], התשל\""ג-1973"", ""עבירה"": ""יבוא סם מסוכן"", ""קשר בין הנאשמים"": ""קשרו קשר להבאת סם מסוכן יחד"", ""רכישת כרטיסי טיסה"": ""נאשם 1 רכש כרטיסי טיסה עבור שניהם"", ""שיוך לנאשם"": ""נאשם 2"", ""תמורה כספית צפויה לנאשם"": ""10,000 עד 25,000 ש\""ח"", ""תמורה כספית צפויה לנאשם 1"": ""54,000 ש\""ח""}","{""אופן_ההסלקה"": ""הוסלק בשרוולים של 5 מעילים"", ""אופן_ההעברה"": ""משלוח דואר בינלאומי"", ""אופן_המעצר"": ""נעצרה ביציאה מסניף הדואר לאחר קבלת החבילה"", ""אופן_המעקב"": ""שי הנחה את הנאשמת בטלפון כיצד לפעול"", ""ארץ_המקור"": ""הולנד"", ""האם_הנאשמת_הודתה"": ""כן"", ""האם_הנאשמת_קיבלה_את_החבילה_פיזית"": ""כן"", ""כמות_הסם"": ""2.565 קילוגרם"", ""כתובת_המשלוח"": ""כתובתה של הנאשמת"", ""מספר_המעורבים"": ""לפחות שלושה (הנאשמת, שי, מוטי אזולאי ואחרים)"", ""סוג_הסם"": ""קוקאין"", ""סוג_העבירה"": ""ייבוא סם מסוכן בצוותא, קשירת קשר לביצוע פשע"", ""סעיפי_חוק"": ""סעיף 13 וסעיף 19א לפקודת הסמים המסוכנים, סעיף 29 לחוק העונשין, סעיף 499(א) לחוק העונשין"", ""קשר_לשותפים"": ""בת זוג של שי, קשרה קשר עם מוטי אזולאי ואחרים"", ""שם_הנאשמת"": ""לא צוין"", ""תאריכי_האירועים"": ""מרץ 2016 עד 10.5.16"", ""תפקיד_הנאשמת"": ""מסרה את כתובתה למשלוח, קיבלה את החבילה מהדואר, הייתה אמורה להעביר את החבילה לאחר""}"
ME-17-01-59971-328,ME-14-01-16958-980,3,1,1,"{""החזקת_סם_בבית"": ""כן"", ""היקף_הסם_שלא_לשימוש_עצמי"": ""כ-170 ק\""ג קנבוס"", ""כמות_הסם_בבית"": ""10.12 גרם קנבוס"", ""כתובת_הבית"": ""נחלת יעקב 5, כפר חסידים א'"", ""מיקום_העבירה_העיקרי"": ""מחסן ברח' נחלת יעקב 3, כפר חסידים"", ""מספר_נבטים"": ""231 נבטים (77 בכל אחד משלושה ארגזים)"", ""מספר_עציצים"": ""מאות עציצים"", ""סוג_הסם"": ""קנבוס"", ""סוג_העבירה_העיקרית"": ""ייצור, הכנה והפקה של סם מסוכן"", ""סוגי_עבירות_נוספות"": [""החזקת סם מסוכן שלא לצריכה עצמית"", ""החזקת סם מסוכן לצריכה עצמית""], ""ציוד_לגידול_סם"": [""מנורות"", ""מזגנים"", ""שרוולי אוורור"", ""מאווררים"", ""דליים מלאים באדמה"", ""ארגזים כמנבטות"", ""משקל דיגיטלי""], ""רישיון_להחזקת_סם"": ""ללא רישיון"", ""שימוש_עצמי_או_לא"": ""החזקה שלא לצריכה עצמית ולצריכה עצמית"", ""שכירות_מקום_לצורך_העבירה"": ""הנאשם שכר מחסן לצורך גידול סם"", ""תקופת_ביצוע"": ""01.10.16 עד 12.01.17""}","{""כמות_הסם"": ""כ-60 ק\""ג"", ""מיקום_העבירה"": ""מבנה באזור התעשייה בקרית ים"", ""סוג_הסם"": ""קנביס"", ""סוג_העבירה"": ""עבירות סמים"", ""סעיפי_חוק"": [""סעיף 6 לפקודת הסמים המסוכנים"", ""סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים"", ""סעיף 10 לפקודת הסמים המסוכנים""], ""עבירות_מדויקות"": [""יצור הכנה והפקה"", ""החזקה ושימוש שלא לצריכה עצמית"", ""החזקת כלים""], ""צורת_הסם"": ""שתילים בעציצים"", ""ציוד_נתפס"": [""חומרי דישון"", ""משקלים אלקטרוניים"", ""מדי טמפרטורה"", ""מערכת תאורה"", ""גופי חימום"", ""עציצים""], ""שימוש_בציוד"": ""הציוד שימש להכנת הסם"", ""תקופת_העבירה"": ""01.01.14 ובתקופה שקדמה לכך""}"
ME-17-01-620-279,ME-16-12-19902-389,3,1,1,"{""אופן_היבוא"": ""הובלה במזוודה בטיסה"", ""יציאת_הנאשם_מהארץ"": ""14.12.2016"", ""מדינת_המוצא"": ""צרפת (פריז)"", ""מקום_היבוא"": ""נמל תעופה בישראל"", ""משקל_הסם"": ""4.92293 קילוגרם"", ""סוג_הסם"": ""קוקאין"", ""סוג_העבירה"": ""יבוא סם מסוכן והחזקת סם מסוכן שלא לשימוש עצמי"", ""סעיפי_חוק"": ""סעיף 13 יחד עם סעיף 19א לפקודת הסמים המסוכנים; סעיף 7(א) + (ג) רישא לפקודת הסמים המסוכנים"", ""תאריך_היבוא"": ""20.12.2016""}","{""אופן_קבלת_הסם"": ""המזוודה נמסרה לנאשם על ידי אחרים בחו\""ל שזהותם אינה ידועה"", ""אמצעי_הובלה"": ""מטוס"", ""כמות_הסם_בגרמים"": ""6175.95"", ""מדינת_היעד"": ""ישראל"", ""מדינת_המוצא"": ""גרמניה"", ""מספר_חבילות"": ""7"", ""מקום_המעבר"": ""נמל התעופה בן גוריון"", ""סוג_הסם"": ""קוקאין"", ""סוג_העבירה"": ""ייבוא סם מסוכן"", ""סעיפי_חוק"": ""סעיף 13 יחד עם סעיף 19א בפקודת הסמים המסוכנים [נוסח חדש], השתל\""ג – 1973"", ""שווי_הסם_בשקלים"": ""2400000"", ""שיטת_ההסלקה"": ""הסלקה בתוך שבע חבילות אטומות בנייר כסף, מאחורי תחתית כפולה עשויה מעץ במזוודה"", ""תאריך_העבירה"": ""28.11.16""}"
ME-17-03-30876-747,SH-23-02-41988-839,1,0,0,"{""אופן חיבור לחשמל"": ""חיבור לא מוסדר לרשת החשמל"", ""בעלות על המתחם"": ""בן זוג של בעלת המתחם"", ""היקף המעבדה"": ""שבעה חדרים ייעודיים לגידול קנאביס"", ""כמות הסם"": ""140 קילוגרם נטו"", ""מיקום ביצוע"": ""מתחם בן ארבעה דונמים עם מספר מבנים"", ""מספר שתילים"": ""1,246"", ""סוג הסם"": ""קנאביס"", ""סוגי עבירות"": [""קשירת קשר לפשע"", ""ייצור, הכנה והפקה של סם מסוכן בצוותא חדא"", ""החזקת סם מסוכן שלא לצריכה עצמית"", ""גניבה בנסיבות מיוחדות בצוותא חדא"", ""החזקת חצרים להכנת סמים""], ""ציוד שנתפס"": ""80 שנאים, 77 בתי מנורות, 77 נורות, 5 מפוחי אוויר, מייבש, 2 משאבות מים, מזגן מיני מרכזי, 59 שקים של חומרי גידול, חומרי דישון, חומרי הדברה, שעונים דיגיטליים, מזמרה, משאבה חשמלית למים, טרמומטרים דיגיטליים, חבילת צינור השקיה בטפטוף, מדחום, מזרקים גדולים, קנקן מדידה, מכשיר אלקטרוני עם אלקטרודות, מרסס נייד, אדניות לגידול"", ""קשר בין הנאשמים"": ""הנאשם קשר קשר עם נאשמים נוספים"", ""שווי החשמל שנגנב"": ""42,578 ש\""ח"", ""שווי הציוד"": ""עשרות אלפי שקלים"", ""שווי סם לקילוגרם"": ""70,000 ש\""ח"", ""שכירות המתחם"": ""הנאשם שכר את חלקו של המתחם"", ""תקופת ביצוע"": ""אוקטובר 2016 עד 5.3.17""}","{""אופן_ביצוע_העבירה"": ""תיאום עסקה באמצעות יישומון טלגרם, הגעה ברכב למקום העסקה, מכירת סם ללקוחה"", ""אמצעי_תקשורת"": ""טלגרם"", ""טלפונים_ניידים_שנתפסו"": ""שלושה"", ""כמות_הסמים_שנמכרה"": ""מעט פחות מגרם קטמין"", ""כמות_הסמים_שנתפסה"": ""17 יחידות MDMA מחולקות לשקיות, MDMA נוזלי במשקל 6.9 גרם, קוקאין במשקל 14.85 גרם, קטמין במשקל 2.8 גרם"", ""כסף_מזומן_שנתפס"": ""5,950 ש\""ח"", ""סוג_העבירה"": ""סחר בסמים, החזקת סם שלא לצריכה עצמית, הסתייעות ברכב לעבור עבירה"", ""סוגי_הסמים"": ""קטמין, MDMA, קוקאין"", ""סעיפי_חוק"": ""סעיפים 13 ו-19א לפקודת הסמים המסוכנים, סעיפים 7(א)(ג) רישא לפקודה, סעיף 43 לפקודת התעבורה"", ""שימוש_ברכב"": ""כן"", ""תאריך_העבירה"": ""2.2.2023"", ""תמורה_עבור_הסמים"": ""350 ש\""ח""}"
ME-17-03-30876-747,ME-17-01-59971-328,3,1,1,"{""אופן חיבור לחשמל"": ""חיבור לא מוסדר לרשת החשמל"", ""בעלות על המתחם"": ""בן זוג של בעלת המתחם"", ""היקף המעבדה"": ""שבעה חדרים ייעודיים לגידול קנאביס"", ""כמות הסם"": ""140 קילוגרם נטו"", ""מיקום ביצוע"": ""מתחם בן ארבעה דונמים עם מספר מבנים"", ""מספר שתילים"": ""1,246"", ""סוג הסם"": ""קנאביס"", ""סוגי עבירות"": [""קשירת קשר לפשע"", ""ייצור, הכנה והפקה של סם מסוכן בצוותא חדא"", ""החזקת סם מסוכן שלא לצריכה עצמית"", ""גניבה בנסיבות מיוחדות בצוותא חדא"", ""החזקת חצרים להכנת סמים""], ""ציוד שנתפס"": ""80 שנאים, 77 בתי מנורות, 77 נורות, 5 מפוחי אוויר, מייבש, 2 משאבות מים, מזגן מיני מרכזי, 59 שקים של חומרי גידול, חומרי דישון, חומרי הדברה, שעונים דיגיטליים, מזמרה, משאבה חשמלית למים, טרמומטרים דיגיטליים, חבילת צינור השקיה בטפטוף, מדחום, מזרקים גדולים, קנקן מדידה, מכשיר אלקטרוני עם אלקטרודות, מרסס נייד, אדניות לגידול"", ""קשר בין הנאשמים"": ""הנאשם קשר קשר עם נאשמים נוספים"", ""שווי החשמל שנגנב"": ""42,578 ש\""ח"", ""שווי הציוד"": ""עשרות אלפי שקלים"", ""שווי סם לקילוגרם"": ""70,000 ש\""ח"", ""שכירות המתחם"": ""הנאשם שכר את חלקו של המתחם"", ""תקופת ביצוע"": ""אוקטובר 2016 עד 5.3.17""}","{""החזקת_סם_בבית"": ""כן"", ""היקף_הסם_שלא_לשימוש_עצמי"": ""כ-170 ק\""ג קנבוס"", ""כמות_הסם_בבית"": ""10.12 גרם קנבוס"", ""כתובת_הבית"": ""נחלת יעקב 5, כפר חסידים א'"", ""מיקום_העבירה_העיקרי"": ""מחסן ברח' נחלת יעקב 3, כפר חסידים"", ""מספר_נבטים"": ""231 נבטים (77 בכל אחד משלושה ארגזים)"", ""מספר_עציצים"": ""מאות עציצים"", ""סוג_הסם"": ""קנבוס"", ""סוג_העבירה_העיקרית"": ""ייצור, הכנה והפקה של סם מסוכן"", ""סוגי_עבירות_נוספות"": [""החזקת סם מסוכן שלא לצריכה עצמית"", ""החזקת סם מסוכן לצריכה עצמית""], ""ציוד_לגידול_סם"": [""מנורות"", ""מזגנים"", ""שרוולי אוורור"", ""מאווררים"", ""דליים מלאים באדמה"", ""ארגזים כמנבטות"", ""משקל דיגיטלי""], ""רישיון_להחזקת_סם"": ""ללא רישיון"", ""שימוש_עצמי_או_לא"": ""החזקה שלא לצריכה עצמית ולצריכה עצמית"", ""שכירות_מקום_לצורך_העבירה"": ""הנאשם שכר מחסן לצורך גידול סם"", ""תקופת_ביצוע"": ""01.10.16 עד 12.01.17""}"
ME-17-04-17677-800,ME-14-01-16958-980,3,1,1,"{""היקף גניבת חשמל"": ""18838 ש\""ח"", ""היקף המעבדה"": ""מעבדה ביתית לגידול קנבוס"", ""מספר עציצים"": ""235 עציצי קנבוס בגדלים שונים"", ""מקום ביצוע"": ""בית פרטי בן 5 חדרים, ממ\""ד ומרתף"", ""משך גניבת החשמל"": ""מספר חודשים"", ""סוג הסם"": ""קנבוס"", ""עבירות"": [""יצור, הכנה והפקה של סם"", ""גניבת חשמל""], ""ציוד שנתפס"": [""26 בתי מנורה ומנורות"", ""3 מדי טמפרטורה"", ""2 משקלים"", ""מסור חשמלי"", ""מברגה"", ""דליים"", ""סלים"", ""צינורות מים"", ""מכלי מים"", ""טפטפות"", ""מאווררים"", ""מפזר חום"", ""מד לחות"", ""שואב אבק"", ""שנאי חשמל""], ""שווי הסם"": ""מיליוני ש\""ח"", ""שיטת גניבת חשמל"": ""מעקף במפסק החשמל וסילוף הנתיך למניעת קריאה מלאה"", ""שכירות חודשית"": ""6000 ש\""ח"", ""שלבי גידול"": ""שתילים ועציצים בשלבי צמיחה שונים, עלים מיובשים"", ""תקופת ביצוע"": ""19.1.16 עד 4.4.17""}","{""כמות_הסם"": ""כ-60 ק\""ג"", ""מיקום_העבירה"": ""מבנה באזור התעשייה בקרית ים"", ""סוג_הסם"": ""קנביס"", ""סוג_העבירה"": ""עבירות סמים"", ""סעיפי_חוק"": [""סעיף 6 לפקודת הסמים המסוכנים"", ""סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים"", ""סעיף 10 לפקודת הסמים המסוכנים""], ""עבירות_מדויקות"": [""יצור הכנה והפקה"", ""החזקה ושימוש שלא לצריכה עצמית"", ""החזקת כלים""], ""צורת_הסם"": ""שתילים בעציצים"", ""ציוד_נתפס"": [""חומרי דישון"", ""משקלים אלקטרוניים"", ""מדי טמפרטורה"", ""מערכת תאורה"", ""גופי חימום"", ""עציצים""], ""שימוש_בציוד"": ""הציוד שימש להכנת הסם"", ""תקופת_העבירה"": ""01.01.14 ובתקופה שקדמה לכך""}"
ME-18-02-5680-55,ME-22-04-7867-732,1,0,0,"{""אופי_ההחזקה"": ""החזקה בצוותא חדא עם אחרים"", ""אופן_העברת_הסם"": ""הובלה בחבילה מוסלקת במתקן חשמלי לחימום אוכל"", ""אמצעי_תחבורה"": ""מונית, רכב מסוג מזדה"", ""האם_החזקה_לצריכה_עצמית"": ""לא"", ""האם_היה_היתר"": ""לא"", ""האם_הסם_נתפס"": ""כן"", ""כמות_הסם"": ""8,363 כדורים"", ""מספר_שותפים"": ""3"", ""מקום_איסוף_הסם"": ""חנות 'סלקשיין', דימונה"", ""מקום_העברת_הסם"": ""פיצוציה בשדרות"", ""סוג_הסם"": ""MDMA"", ""סוג_העבירה"": ""החזקת סם מסוכן שלא לצריכה עצמית"", ""סעיף_חוק"": ""סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], תשל\""ג-1973"", ""שיטת_הסלקה"": ""הסלקה בתחתית מתקן חשמלי בתוך חבילה"", ""שימוש_בזהות_בדויה"": ""כן"", ""שימוש_בייפוי_כוח_מזויף"": ""כן"", ""שלב_המעצר"": ""לאחר מסירת החבילה לאלי בשדרות"", ""תמורה_שהובטחה_לנאשם"": ""כ-4,000 ש\""ח"", ""תפקיד_הנאשם"": ""נהג מונית, איסוף והעברת הסם""}","{""אופן השגת חשמל"": ""חיבור פיראטי ללוח החשמל"", ""אמצעים לגידול"": ""זרעי קנבוס, חומרי דישון, אדניות, ציוד רב נוסף"", ""היקף הפעילות"": ""הקמת מעבדה לגידול סם בדירה"", ""כמות סם נטו"": ""110 קילוגרם"", ""כמות שתילים"": ""485"", ""מיקום ביצוע"": ""דירה בת ארבעה חדרים ברחובות"", ""סוג הסם"": ""קנבוס"", ""סוג העבירה"": ""ייצור, הכנה והפקת סם מסוכן; נטילת חשמל שלא כדין"", ""סעיפי אישום"": ""סעיף 6 לפקודת הסמים המסוכנים, סעיף 400 לחוק העונשין"", ""ציוד שנתפס"": ""מזגנים, מאווררים, אדניות, מנורות, שנאים, רפלקטורים, מפוחים, מסננים, בריכה"", ""שווי החשמל שניטל"": ""סכום לא ידוע"", ""תקופת ביצוע"": ""1.8.21 עד 23.3.22""}"
ME-18-02-5680-55,ME-15-11-31122-886,2,0,1,"{""אופי_ההחזקה"": ""החזקה בצוותא חדא עם אחרים"", ""אופן_העברת_הסם"": ""הובלה בחבילה מוסלקת במתקן חשמלי לחימום אוכל"", ""אמצעי_תחבורה"": ""מונית, רכב מסוג מזדה"", ""האם_החזקה_לצריכה_עצמית"": ""לא"", ""האם_היה_היתר"": ""לא"", ""האם_הסם_נתפס"": ""כן"", ""כמות_הסם"": ""8,363 כדורים"", ""מספר_שותפים"": ""3"", ""מקום_איסוף_הסם"": ""חנות 'סלקשיין', דימונה"", ""מקום_העברת_הסם"": ""פיצוציה בשדרות"", ""סוג_הסם"": ""MDMA"", ""סוג_העבירה"": ""החזקת סם מסוכן שלא לצריכה עצמית"", ""סעיף_חוק"": ""סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], תשל\""ג-1973"", ""שיטת_הסלקה"": ""הסלקה בתחתית מתקן חשמלי בתוך חבילה"", ""שימוש_בזהות_בדויה"": ""כן"", ""שימוש_בייפוי_כוח_מזויף"": ""כן"", ""שלב_המעצר"": ""לאחר מסירת החבילה לאלי בשדרות"", ""תמורה_שהובטחה_לנאשם"": ""כ-4,000 ש\""ח"", ""תפקיד_הנאשם"": ""נהג מונית, איסוף והעברת הסם""}","{""החזקה_עבור_אחר"": ""כן"", ""כמות_הסם_בגרמים"": ""199.33"", ""מקום_ביצוע"": ""בית בבאר יעקב"", ""נוכחות_שוטרים"": ""כן, שוטרים נכחו במקום וביצעו מעצר וחיפוש על פי צווים שיפוטיים"", ""נסיבות_החזקת_הסם"": ""הנאשם החזיק בקופסה עם סם בקומה השנייה של הבית עבור אחר"", ""סוג_הסם"": ""MDMA"", ""סוג_העבירה"": ""החזקת סם שלא לצריכה עצמית"", ""סעיפי_חוק"": ""סעיף 7(א) יחד עם סעיף 7(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], התשל\""ג – 1973"", ""פעולה_בעת_המעצר"": ""הנאשם ניסה להשליך את הקופסה עם הסם מהחלון לאחר שהבחין בשוטרים"", ""שווי_הסם_בשקלים"": ""60000"", ""תאריך_האירוע"": ""02.11.2015""}"
