verdict_1,verdict_2,similarity_scale,similarity_binary_0,similarity_binary_1,feature_vector_1,feature_vector_2
ME-16-07-11608-225,ME-22-12-47987-640,1,0,0,"{""מספר טיסות לחו\""ל"": ""מספר פעמים"", ""יעדי טיסה"": ""אוקראינה, ברלין"", ""שיטת הסתרת הסמים"": ""מזוודה עם דופן כפולה"", ""שימוש בטכנולוגיה"": ""אפליקציית הצפנת מסרים 'ויקר'"", ""שינוי בתוכנית טיסה"": ""כרטיס טיסה עדכני מגרמניה לישראל דרך איסטנבול"", ""תשלום עבור שירותים"": ""2,000 ₪ עבור הוצאות נסיעה"", ""תקשורת עם המעביר"": ""הודעות טקסט והנחיות"", ""מקום קבלת הסמים"": ""ברלין"", ""מקום נחיתה בישראל"": ""בטיסת המשך דרך טורקיה"", ""מכירה לסוכן"": ""לא"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""MDMA: 1301.44 גרם, 13189 טבליות"", ""עבירה"": ""יבוא/סחר, 19"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""לא בעל הסמים""}","{""מכירה לסוכן"": ""לא"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""קטמין: 700 גרם"", ""עבירה"": ""יבוא/סחר"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""בעל הסמים"", ""מיקום העבירה"": ""הודו וישראל"", ""שיטת ההברחה"": ""חבילה בדואר בינלאומי"", ""משקל נטו של הסם"": ""700 גרם"", ""סוג האריזה"": ""ארבעה כדים בעלי דופן כפולה"", ""כתובת המשלוח"": ""בית הסב בקרית גת"", ""מספר טלפון על החבילה"": ""מספר הטלפון הנייד של עמית"", ""פעולות המשטרה"": ""איתור ותפיסת החבילה, פעולת סמכות מוסווה"", ""סוג הרכב במסירה"": ""הונדה"", ""מקום המסירה"": ""תחנת דלק"", ""זמן המסירה"": ""5.12.22 בשעה 14:06"", ""סוג הרכב במעצר"": ""טנדר סובארו"", ""מיקום המעצר"": ""שטח עפר"", ""יחידת משטרה"": ""ימ\""ר לכיש""}"
ME-16-11-63255-338,ME-18-01-73652-357,1,0,0,"{""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""LSD: 154 בולים, 1.75 מיליליטר, חשיש: 689.77 גרם, קנבוס: 1255.48 גרם, MDMA: 1651 טבליות, 30.11 גרם, קוקאין: 52.616 גרם"", ""עבירה"": ""החזקה שלא לצריכה עצמית, יבוא/סחר"", ""עבירות נלוות כן/לא"": ""כן"", ""תפקיד"": ""לא בעל הסמים"", ""סוגי סמים נוספים"": ""קוקאין, אקסטזי"", ""כמות סמים נוספת"": ""52.616-גרם-קוקאין, 1,651-טבליות-MDMA, 30.11-גרם-MDMAאבקה, 154-בולים-LSD, 1.75-מל-LSDנוזל"", ""מעורבים נוספים"": ""מאהר שחאדה, יותם בצר, עמיר רחמים, חנן כהן"", ""תאריכים רלוונטיים"": ""17.10.16-תחילת הקשר, 13.11.16-מכירת סמים לעמיר רחמים, 14.11.16-מכירת סמים לחנן כהן והחזקת סמים בדירה"", ""סכומי כסף"": ""4,500 ₪-לשכר דירה, 1,400 ₪-מכירה לעמיר רחמים, 100 ₪-מכירה לחנן כהן"", ""מיקום העבירות"": ""בדירה שנשכרה"", ""כלים לשימוש בסמים"": ""משקל אלקטרוני"", ""מכירה לסוכן"": ""לא""}","{""מכירה לסוכן"": ""כן"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""קוקאין: 69.09 גרם"", ""עבירה"": ""יבוא/סחר, 19"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""בעל הסמים"", ""היכרות עם הסוכן"": ""כן"", ""תקשורת דיגיטלית"": ""הודעות ווטסאפ, שיחות טלפוניות"", ""מקום העסקה הראשונה"": ""בית הנאשם"", ""מחיר עבור 20.09 גרם קוקאין"": ""9,000 ₪"", ""מחיר עבור 49 גרם קוקאין"": ""22,500 ₪"", ""שימוש בתמונות להצגת הסם"": ""כן"", ""נקודת מפגש לעסקה השנייה"": ""נקודה שנקבעה מראש""}"
ME-16-12-26620-433,ME-16-06-6788-21,3,1,1,"{""מכירה לסוכן"": ""לא"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""MDMA: 1820 גרם, קוקאין: 888 גרם"", ""עבירה"": ""החזקה שלא לצריכה עצמית, יבוא/סחר, 19"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""בעל הסמים"", ""מספר נאשמים"": 2, ""תאריך העבירה"": ""2.12.2016"", ""מיקום העבירה"": ""וינה, אוסטריה"", ""שיטת הברחה"": ""מזוודה עם דופן מוסתרת"", ""זהות המציע"": ""לא ידועה"", ""סכום התמורה המוצעת"": ""54000 ₪ לנאשם 1, 10000-25000 ₪ לנאשם 2"", ""אופן התשלום לטיסה"": ""כרטיס אשראי של נאשם 1"", ""מקום המפגש לקבלת הסם"": ""מלון בוינה"", ""תאריך המעצר"": ""5.12.2016"", ""מיקום המעצר"": ""שדה התעופה בישראל""}","{""מקור הסם"": ""הולנד"", ""שיטת השילוח"": ""דואר רשום"", ""מספר פעמים שהנאשמת פנתה לסניף הדואר"": ""3"", ""התקשרות עם שי במהלך קבלת החבילה"": ""כן"", ""הוראות משי"": ""הנחיות להעברת החבילה, הזהיר משוטרים, הנחיות לתגובה במקרה של עצירה"", ""מיקום העצירה"": ""ביציאה מסניף הדואר"", ""מכירה לסוכן"": ""לא"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""קוקאין: 2565 גרם"", ""עבירה"": ""יבוא/סחר, 19"", ""עבירות נלוות כן/לא"": ""כן"", ""תפקיד"": ""לא בעל הסמים""}"
ME-17-01-59971-328,ME-14-01-16958-980,3,1,1,"{""מיקום המעבדה"": ""רח' נחלת יעקב 3, כפר חסידים, חלקה 11 בגוש 1113"", ""תאריך התחלת שכירות המחסן"": ""01.10.16"", ""תאריך תפיסת הסם"": ""18.01.17"", ""ציוד לגידול"": ""מנורות, מזגנים, שרוולי אוורור, מאווררים, דליים שחורים מפלסטיק, ארגזים כמנבטות, משקל דיגיטלי"", ""מספר עציצים"": ""מאות"", ""מספר יחידות במנבטות"": ""77 יחידות בכל אחד משלושת הארגזים"", ""מכירה לסוכן"": ""לא"", ""מעבדה"": ""כן"", ""סוג הסם, כמות"": ""קנבוס בשתילים: 170000 גרם, קנבוס: 10.2 גרם"", ""עבירה"": ""ייצור, החזקה שלא לצריכה עצמית"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""בעל הסמים, בעל המעבדה""}","{""מיקום המעבדה"": ""קרית ים, אזור התעשייה"", ""ציוד נוסף במעבדה"": ""חומרי דישון, משקלים אלקטרוניים, מדי טמפרטורה, מערכת תאורה, גופי חימום"", ""מכירה לסוכן"": ""לא"", ""מעבדה"": ""כן"", ""סוג הסם, כמות"": ""קנבוס בשתילים: 60000 גרם"", ""עבירה"": ""ייצור, החזקה שלא לצריכה עצמית"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""בעל הסמים, בעל המעבדה""}"
ME-17-01-620-279,ME-16-12-19902-389,3,1,1,"{""מקום היציאה"": ""ישראל"", ""יעד הטיסה"": ""פריז"", ""תאריך היציאה"": ""14.12.2016"", ""תאריך החזרה"": ""20.12.2016"", ""שעת הגעה"": ""17:42"", ""אופן ההחזקה"": ""במזוודה"", ""מכירה לסוכן"": ""לא"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""קוקאין: 4922 גרם"", ""עבירה"": ""החזקה שלא לצריכה עצמית, יבוא/סחר, 19"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""לא בעל הסמים""}","{""מכירה לסוכן"": ""לא"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""קוקאין: 6175.95 גרם"", ""עבירה"": ""יבוא/סחר, 19"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""לא בעל הסמים"", ""מקור הסם"": ""חו\""ל"", ""מדינת המקור"": ""גרמניה"", ""שיטת הסתרה"": ""תחתית כפולה עשויה מעץ"", ""מספר חבילות"": ""7"", ""שווי הסם"": ""2.4 מיליון ₪"", ""סעיף העבירה"": ""סעיף 13 יחד עם סעיף 19א"", ""חוק העבירה"": ""פקודת הסמים המסוכנים [נוסח חדש], השתל\""ג – 1973""}"
ME-17-03-30876-747,SH-23-02-41988-839,1,0,0,"{""מכירה לסוכן"": ""לא"", ""מעבדה"": ""כן"", ""סוג הסם, כמות"": ""קנבוס: 140000 גרם"", ""עבירה"": ""ייצור, החזקה שלא לצריכה עצמית"", ""עבירות נלוות כן/לא"": ""כן"", ""תפקיד"": ""בעל הסמים, בעל המעבדה"", ""סוג הסם"": ""קנביס"", ""כמות הסם"": ""140 ק\""ג"", ""שווי הסם"": ""70,000 ₪ לקילוגרם"", ""סך שווי הסם"": ""9,800,000 ₪"", ""גניבת חשמל"": ""כן"", ""שווי גניבת החשמל"": ""42,578 ₪"", ""סוג העבירות"": ""קשירת קשר לפשע, ייצור סמים, החזקת סם מסוכן, גניבה בנסיבות מיוחדות, החזקת חצרים להכנת סמים"", ""מיקום המעבדה"": ""מתחם בן ארבעה דונמים"", ""מספר החדרים במעבדה"": ""7"", ""פרטי הציוד"": ""80 שנאים, 77 בתי מנורות, 77 נורות, 5 מפוחי אוויר, מייבש, 2 משאבות מים, מזגן מיני מרכזי, 1,246 שתילים של קנאביס, 59 שקים של חומרי גידול, חומרי דישון, חומרי הדברה, שעונים דיגיטאליים, מזמרה, משאבה חשמלית למים, טרמומטרים דיגיטאליים, חבילת צינור השקיה בטפטוף, מדחום, מזרקים גדולים, קנקן מדידה, מכשיר אלקטרוני עם אלקטרודות, מרסס נייד, אדניות לגידול"", ""שווי הציוד"": ""עשרות אלפי שקלים"", ""חיבור לא מוסדר לרשת החשמל"": ""כן""}","{""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""קטמין: 2.8 גרם, MDMA: 6.9 גרם, קוקאין: 14.85 גרם"", ""עבירה"": ""החזקה שלא לצריכה עצמית, יבוא/סחר, 19"", ""עבירות נלוות כן/לא"": ""כן"", ""תאריך העבירה"": ""2.2.2023"", ""אמצעי תקשורת לתיאום העסקה"": ""טלגרם"", ""סכום העסקה"": ""350 ש״ח"", ""כמות כסף מזומן שנתפסה"": ""5950 ש״ח"", ""מספר טלפונים ניידים שנתפסו"": ""3"", ""האם השימוש ברכב לביצוע העבירה"": ""כן"", ""סוגי סמים נוספים שנתפסו"": ""קטמין, קוקאין, MDMA במצב נוזלי"", ""מכירה לסוכן"": ""לא"", ""תפקיד"": ""בעל הסמים""}"
ME-17-03-30876-747,ME-17-01-59971-328,3,1,1,"{""מכירה לסוכן"": ""לא"", ""מעבדה"": ""כן"", ""סוג הסם, כמות"": ""קנבוס: 140000 גרם"", ""עבירה"": ""ייצור, החזקה שלא לצריכה עצמית"", ""עבירות נלוות כן/לא"": ""כן"", ""תפקיד"": ""בעל הסמים, בעל המעבדה"", ""סוג הסם"": ""קנביס"", ""כמות הסם"": ""140 ק\""ג"", ""שווי הסם"": ""70,000 ₪ לקילוגרם"", ""סך שווי הסם"": ""9,800,000 ₪"", ""גניבת חשמל"": ""כן"", ""שווי גניבת החשמל"": ""42,578 ₪"", ""סוג העבירות"": ""קשירת קשר לפשע, ייצור סמים, החזקת סם מסוכן, גניבה בנסיבות מיוחדות, החזקת חצרים להכנת סמים"", ""מיקום המעבדה"": ""מתחם בן ארבעה דונמים"", ""מספר החדרים במעבדה"": ""7"", ""פרטי הציוד"": ""80 שנאים, 77 בתי מנורות, 77 נורות, 5 מפוחי אוויר, מייבש, 2 משאבות מים, מזגן מיני מרכזי, 1,246 שתילים של קנאביס, 59 שקים של חומרי גידול, חומרי דישון, חומרי הדברה, שעונים דיגיטאליים, מזמרה, משאבה חשמלית למים, טרמומטרים דיגיטאליים, חבילת צינור השקיה בטפטוף, מדחום, מזרקים גדולים, קנקן מדידה, מכשיר אלקטרוני עם אלקטרודות, מרסס נייד, אדניות לגידול"", ""שווי הציוד"": ""עשרות אלפי שקלים"", ""חיבור לא מוסדר לרשת החשמל"": ""כן""}","{""מיקום המעבדה"": ""רח' נחלת יעקב 3, כפר חסידים, חלקה 11 בגוש 1113"", ""תאריך התחלת שכירות המחסן"": ""01.10.16"", ""תאריך תפיסת הסם"": ""18.01.17"", ""ציוד לגידול"": ""מנורות, מזגנים, שרוולי אוורור, מאווררים, דליים שחורים מפלסטיק, ארגזים כמנבטות, משקל דיגיטלי"", ""מספר עציצים"": ""מאות"", ""מספר יחידות במנבטות"": ""77 יחידות בכל אחד משלושת הארגזים"", ""מכירה לסוכן"": ""לא"", ""מעבדה"": ""כן"", ""סוג הסם, כמות"": ""קנבוס בשתילים: 170000 גרם, קנבוס: 10.2 גרם"", ""עבירה"": ""ייצור, החזקה שלא לצריכה עצמית"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""בעל הסמים, בעל המעבדה""}"
ME-17-04-17677-800,ME-14-01-16958-980,3,1,1,"{""משך זמן הפעילות"": ""מ-19.1.16 עד 4.4.17"", ""מיקום המעבדה"": ""בית בן 5 חדרים, ממ\""ד ומרתף"", ""עלות שכירות הבית"": ""6000 ₪ לחודש"", ""פרטי התשתית לגידול"": ""26 בתי מנורה ומנורות, 3 מדי טמפרטורה, 2 משקלים, מסור חשמלי, מברגה קונגו, דליים, סלים, צינורות מים, מכלי מים, טפטפות, מאווררים, מפזר חום, מד לחות, שואב אבק, שנאי חשמל"", ""כמות חשמל שנגנבה"": ""18,838 ₪"", ""סוגי עבירות"": ""יצור סם, גניבת חשמל"", ""סוג הסם במעבדה ביום המעצר"": ""עציצי ושתילי קנבוס בשלבי צמיחה שונים, עלי קנבוס מיובשים"", ""שווי הסם"": ""מליוני ₪"", ""מכירה לסוכן"": ""לא"", ""מעבדה"": ""כן"", ""סוג הסם, כמות"": ""קנבוס בשתילים: 72800 גרם"", ""עבירה"": ""ייצור"", ""עבירות נלוות כן/לא"": ""כן"", ""תפקיד"": ""בעל הסמים, בעל המעבדה""}","{""מיקום המעבדה"": ""קרית ים, אזור התעשייה"", ""ציוד נוסף במעבדה"": ""חומרי דישון, משקלים אלקטרוניים, מדי טמפרטורה, מערכת תאורה, גופי חימום"", ""מכירה לסוכן"": ""לא"", ""מעבדה"": ""כן"", ""סוג הסם, כמות"": ""קנבוס בשתילים: 60000 גרם"", ""עבירה"": ""ייצור, החזקה שלא לצריכה עצמית"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""בעל הסמים, בעל המעבדה""}"
ME-18-02-5680-55,ME-22-04-7867-732,1,0,0,"{""מכירה לסוכן"": ""לא"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""MDMA: 8363 טבליות"", ""עבירה"": ""החזקה שלא לצריכה עצמית"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""לא בעל הסמים"", ""תאריך העבירה"": ""7.1.18-12.1.18"", ""מיקום העבירה"": ""דימונה ושדרות"", ""שיטת הסתרה"": ""חבילה מוחבאת בתחתית מתקן חשמלי לחימום אוכל"", ""שיטת תשלום"": ""4000 שקלים"", ""מעורבות צדדים נוספים"": ""אלי והאחר"", ""שימוש בשם בדוי"": ""כן"", ""מספר רישוי של הרכב"": ""77-131-56"", ""סוג הרכב"": ""מזדה"", ""מקום איסוף הסם"": ""חנות סלקשיין בדימונה"", ""מקום העברת הסם"": ""פיצוציה בשדרות"", ""מקום מעצר הנאשם"": ""שדרות"", ""מקום מעצר אלי"": ""שדרות"", ""כמות הסם"": ""8363 כדורים""}","{""מעבדה"": ""כן"", ""סוג הסם, כמות"": ""קנבוס: 110000 גרם"", ""עבירה"": ""ייצור"", ""עבירות נלוות כן/לא"": ""כן"", ""תפקיד"": ""בעל הסמים, בעל המעבדה"", ""תקופת הפעילות"": ""1.8.21 עד 23.3.22"", ""מיקום המעבדה"": ""דירה בעיר רחובות"", ""פרטי הציוד במעבדה"": ""מזגנים, מאווררים, אדניות, מנורות, שנאים, רפלקטורים, מפוחים, מסננים, בריכה"", ""סוג החיבור החשמלי"": ""חיבור פיראטי ללוח החשמל"", ""סוג הסם"": ""קנבוס"", ""כמות הסם המפוזר"": ""110 ק\""ג נטו"", ""מכירה לסוכן"": ""לא""}"
ME-18-02-5680-55,ME-15-11-31122-886,2,0,1,"{""מכירה לסוכן"": ""לא"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""MDMA: 8363 טבליות"", ""עבירה"": ""החזקה שלא לצריכה עצמית"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""לא בעל הסמים"", ""תאריך העבירה"": ""7.1.18-12.1.18"", ""מיקום העבירה"": ""דימונה ושדרות"", ""שיטת הסתרה"": ""חבילה מוחבאת בתחתית מתקן חשמלי לחימום אוכל"", ""שיטת תשלום"": ""4000 שקלים"", ""מעורבות צדדים נוספים"": ""אלי והאחר"", ""שימוש בשם בדוי"": ""כן"", ""מספר רישוי של הרכב"": ""77-131-56"", ""סוג הרכב"": ""מזדה"", ""מקום איסוף הסם"": ""חנות סלקשיין בדימונה"", ""מקום העברת הסם"": ""פיצוציה בשדרות"", ""מקום מעצר הנאשם"": ""שדרות"", ""מקום מעצר אלי"": ""שדרות"", ""כמות הסם"": ""8363 כדורים""}","{""מכירה לסוכן"": ""לא"", ""מעבדה"": ""לא"", ""סוג הסם, כמות"": ""MDMA: 199.33 גרם"", ""עבירה"": ""החזקה שלא לצריכה עצמית"", ""עבירות נלוות כן/לא"": ""לא"", ""תפקיד"": ""בעל הסמים"", ""מיקום האירוע"": ""בית בבאר יעקב"", ""תאריך האירוע"": ""2.11.15"", ""התנהלות הנאשם בעת המעצר"": ""ניסה להשליך את הקופסה מהחלון"", ""שווי הסם"": ""60000 שקלים"", ""סוג הסם"": ""MDMA"", ""כמות הסם"": ""199.33 גרם"", ""מעורבות שוטרים"": ""כוח משטרתי ביצע מעצר וחיפוש בבית"", ""מיקום השוטרים בעת המעצר"": ""שני שוטרים הוצבו בחצר האחורית""}"
