verdict_1,verdict_2,similarity_scale,similarity_binary_0,similarity_binary_1,feature_vector_1,feature_vector_2
SH-16-04-30406-325,ME-16-02-59812-881,1,0,0,"{""אופן החזקת הנשק"": ""ברכב"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""מחסנית ובה 0 כדורים, 2 מחסניות"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [תת מקלע מאולתר]"": 2.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""לא"", ""תאריך המעצר"": ""06/04/16"", ""סוג הרכב"": ""רנו"", ""מספר רישוי של הרכב"": ""88-687-10"", ""מיקום הנשק ברכב"": ""תא מטען"", ""מספר כלי נשק"": 2, ""שימוש"": ""לא""}","{""אופן קבלת הנשק"": ""עבודה"", ""כמות תחמושת"": ""2 מחסניות, 20 כדורים"", ""מטרה-סיבת העבירה"": ""מימון סמים"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""סחר בנשק"", ""סטטוס הנשק"": ""תקין"", ""עבירות נוספות"": ""מסירת ידיעה כוזבת על עבירת פשע, לפי סעיף 243 סיפא לחוק; שיבוש הליכי משפט, לפי סעיף 244 לחוק."", ""תכנון"": ""כן"", ""סוג הסמים"": ""חשיש, הרואין"", ""כמות הסמים"": ""ארבע חבילות של הרואין"", ""מחיר מכירת הנשק"": ""8,000 ₪"", ""מקום העבודה"": ""בית ספר יסודי"", ""תקופת העבירות"": ""אוגוסט 2014 - פברואר 2016"", ""שם הקונה"": ""מחמוד צאלוק"", ""שם המעביד"": ""שי יהושע לוי"", ""תיאור האירוע"": ""דיווח כוזב על שוד למעביד ולמשטרה"", ""הודאה בחקירה"": ""הודתה בבדיה את אירוע השוד"", ""שימוש"": ""לא""}"
ME-16-05-25902-514,ME-16-11-56385-886,3,1,1,"{""אופן החזקת הנשק"": ""בבית, על גופו"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""מחסנית ובה 7 כדורים"", ""מטרה-סיבת העבירה"": ""הגנה עצמית"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""החזקה נשק, נשיאת נשק"", ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""תאריך גניבת הנשק"": ""31.12.13"", ""מקום גניבת הנשק"": ""מביתו של דינו תמאם"", ""תאריך רכישת הנשק"": ""במהלך חודש פברואר 2016"", ""מקום החזקת הנשק"": ""במקלט ביתו בקלנסוואה"", ""תאריך נשיאת הנשק לעבודה"": ""מחודש פברואר 2016 ועד ליום 8.5.16"", ""שעה בה נשא הנאשם את הנשק"": ""בסמוך לשעה 06:00"", ""מספר סידורי של הנשק"": ""682663"", ""סוג הנשק"": ""אקדח מסוג ברטה"", ""שימוש"": ""לא""}","{""אופן החזקת הנשק"": ""על גופו"", ""אופן קבלת הנשק"": ""גנב"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""תכנון"": ""לא"", ""תאריך גניבת הנשק"": ""14.10.07"", ""תאריך החזקת הנשק"": ""18.11.16"", ""מותג הנשק"": ""יריחו"", ""מצב הנשק בעת המעצר"": ""דרוך, טעון ומוכן לירי"", ""שימוש"": ""לא""}"
ME-18-06-36728-73,ME-16-09-398-589,3,1,1,"{""מיקום האירוע"": ""כפר קרע"", ""תאריך האירוע"": ""24.5.18"", ""שעת האירוע"": ""בסמוך לשעה 14:00"", ""מקום עבודת המתלונן"": ""פנצ'רייה של משפחת עסלי"", ""סוג הרכב של המתלונן"": ""רכב פרטי"", ""מספר פגיעות"": 1, ""מיקום הפגיעה בגוף"": ""ירך רגל ימין"", ""תוצאת הפגיעה"": ""פצע ירי"", ""משך אשפוז המתלונן"": ""עד ליום 31.5.18"", ""מספר עבירה"": ""144 ב"", ""סוג עבירה"": ""נשיאת נשק"", ""עבירות נוספות"": ""עבירות של פציעה, לפי סעיף 334 לחוק העונשין, התשל\""ז-1977"", ""סוג הנשק [אקדח]"": 1.0, ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""תכנון"": ""לא"", ""אופן החזקת הנשק"": ""על גופו"", ""מטרה-סיבת העבירה"": ""סכסוך"", ""שימוש"": ""כן,ירי""}","{""אופן החזקת הנשק"": ""על גופו"", ""מטרה-סיבת העבירה"": ""סכסוך"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""נשיאת נשק"", ""סטטוס הנשק"": ""נשק עם כדור בקנה"", ""עבירות נוספות"": ""חבלה חמורה בנסיבות מחמירות, עבירה לפי סעיף 333 + 335(א)(2+1) לחוק העונשין, התשל\""ז-1977 (להלן: \""החוק\"");"", ""שימוש"": ""כן,ירי"", ""תכנון"": ""כן"", ""מיקום האירוע"": ""גינה ציבורית בבת-ים"", ""תאריך האירוע"": ""לילה שבין 10.8.16 ל-11.8.16"", ""מרחק ירי"": ""10 מטר"", ""פצעים"": ""פצעי כניסה ויציאה בשוק רגל ימנית"", ""טיפול רפואי"": ""טופל בבית חולים"", ""מספר נפגעים"": 1, ""זהות הנפגע"": ""וויליאם קניסופה"", ""זהות נוספת במקום"": ""אליאס וייסי ותמיר נגוסה"", ""זהות הנאשם"": ""לא ידועה למאשימה""}"
SH-17-10-10556-234,ME-16-11-13999-863,1,0,0,"{""אופן החזקת הנשק"": ""מוסלק - מוסתר, סמוך לבית"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [אקדח]"": 2.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""קוטר הכדורים"": ""8 מ\""מ"", ""מיקום החזקת הנשק"": ""בתוך שקית בחצר, מתחת למזרון בערימת זבל"", ""מרחק החזקת הנשק מהבית"": ""כ-100 מטרים"", ""מצב המחסנית הנוספת"": ""לא טעונה"", ""שימוש"": ""לא""}","{""אופן החזקת הנשק"": ""ברכב"", ""כמות תחמושת"": ""2 מחסניות"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""החזקה נשק, נשיאת נשק, הובלת נשק"", ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""סוג הרכב"": ""מאזדה"", ""שותף לעבירה"": ""זבידאת סלאמה"", ""מיקום האירוע"": ""מסכנין לראמה"", ""זמן האירוע"": ""26.10.16 סמוך לשעה 20.00"", ""סוג האקדח"": ""STAR"", ""קליבר האקדח"": ""9 מ\""מ פאראבלום"", ""מספר כדורים במחסנית"": ""לא צוין מספר מדויק"", ""תיאור המעשה"": ""נסיעה לכיוון מחסום משטרתי, נסיעה לתוך תחנת דלק, נסיעה לכיוון היציאה מתחנת הדלק"", ""תגובה למחסום משטרתי"": ""פנייה לתוך תחנת דלק והמשך נסיעה"", ""שימוש"": ""לא""}"
SH-17-10-10556-234,m08000207-175,1,0,0,"{""אופן החזקת הנשק"": ""מוסלק - מוסתר, סמוך לבית"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [אקדח]"": 2.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""תכנון"": ""לא"", ""קוטר הכדורים"": ""8 מ\""מ"", ""מיקום החזקת הנשק"": ""בתוך שקית בחצר, מתחת למזרון בערימת זבל"", ""מרחק החזקת הנשק מהבית"": ""כ-100 מטרים"", ""מצב המחסנית הנוספת"": ""לא טעונה"", ""שימוש"": ""לא""}","{""אופן החזקת הנשק"": ""ברכב"", ""אופן קבלת הנשק"": ""מצא"", ""כמות תחמושת"": ""מחסנית ובה 15 כדורים, מחסנית וסה 10 כדורים"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""נשיאת נשק"", ""סטטוס הנשק"": ""נשק עם מחסנית בהכנס"", ""עבירות נוספות"": ""והחזקת סם לצריכה עצמית בלבד, עבירה לפי סעיף 7(א) + (ג) סיפא לפקודת הסמים המסוכנים, התשל\""ג-1973"", ""תכנון"": ""לא"", ""קוטר האקדח"": ""0.9 מ\""מ"", ""מיקום האירוע"": ""סמוך לצומת הערבה"", ""זמן האירוע"": ""12.7.08 בשעה 00:55"", ""סוג הסם"": ""חשיש"", ""משקל הסם"": ""1.36 גרם נטו"", ""שימוש"": ""לא""}"
SH-18-06-11098-353,ME-16-03-54615-517,1,0,0,"{""אופן החזקת הנשק"": ""מוסלק - מוסתר"", ""כמות תחמושת"": ""מספר מחסניות"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [רובה סער ]"": 1.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""לא"", ""סוג רובה"": ""גליל"", ""מספר סידורי נשק"": ""נמחק"", ""תאריך המעצר"": ""23/05/18"", ""הודאה בעובדות"": ""כן"", ""שימוש"": ""לא""}","{""מטרה-סיבת העבירה"": ""בצע כסף"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [תת מקלע]"": 2.0, ""סוג עבירה"": ""סחר בנשק"", ""סטטוס הנשק"": ""תקול"", ""שימוש"": ""ניסיון לירי ללא הצלחה"", ""תכנון"": ""כן"", ""סוג תת-מקלע"": ""קרלו"", ""מספר תת-מקלעים"": 2, ""מחיר תת-מקלע"": 3000, ""מספר פגישות בין הנאשם למחמד"": 4, ""מיקום הפגישות"": ""סמוך לבית מחמד"", ""תקלות בנשק"": ""שני תת-מקלעים תקולים"", ""תגובת הנאשם לתקלה"": ""סירוב להחליף נשק לאחר החלפה ראשונה""}"
ME-17-05-633-549,ME-19-04-1316-977,3,1,1,"{""אופן החזקת הנשק"": ""מוסלק - מוסתר"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""2 מחסניות, מאות כדורים, 2 מחסניות ובהן 0 כדורים"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג הנשק [אקדח]"": 2.0, ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סוג עבירה"": ""החזקה נשק, סחר בנשק"", ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""כן"", ""שמות נוספים מעורבים"": ""רביע חוסיין, נצרי ח'ליפה"", ""סוגי נשק נוספים"": ""קרלו-גוסטב, סירקיס, חלוואני"", ""מנגנון הדק"": ""חסר, מאולתר"", ""פרטי תשלום"": ""7,000 ₪ במועד נדחה, 14,000 ₪ במזומן"", ""שנת העבירה"": ""2013, 2015"", ""פרטי תמורה"": ""אקדח תמורת תת מקלע, נשק ומחסניות תמורת כסף"", ""שימוש"": ""לא""}","{""אופן החזקת הנשק"": ""ברכב"", ""אופן קבלת הנשק"": ""מאחר"", ""כמות תחמושת"": ""900 כדורים"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סוג עבירה"": ""סחר בנשק, ניסיון לסחר"", ""סטטוס הנשק"": ""תקין"", ""תכנון"": ""כן"", ""סוג תחמושת"": ""כדורי M16 ו-5.56 מ\""מ"", ""מספר תחמושת"": ""1100 כדורים"", ""מחיר העסקה"": ""19000 ₪"", ""מיקום העסקה"": ""א-ראם"", ""זמן העסקה"": ""בין פברואר למרץ 2019"", ""סוג הנשק [אקדח]"": 1.0, ""סוג הנשק [קרלו]"": 1.0, ""סטטוס הנשק [מקולקל]"": 1.0, ""התקשרות עם צד שלישי"": ""האחר"", ""התקשרות עם סוכן"": ""מספר שיחות תיאום"", ""הבטחת נשק נוסף"": ""אקדח ותחמושת תואמת"", ""שימוש"": ""לא""}"
ME-16-04-12480-812,ME-13-10-28139-807,3,1,1,"{""מיקום האירועים"": ""טירת הכרמל, בית המתלונן, אתר בניה"", ""זמן האירועים"": ""פחות משעה וחצי לאחר הוויכוח, יומיים לאחר האירוע הראשון, יום לאחר הירי השני"", ""סוג הנשק הנוסף"": ""תת מקלע מאולתר"", ""מספר כדורים שנורו"": ""12 קליעים, 2 כדורים"", ""מיקום החזקת הנשק והתחמושת"": ""בזחל של כלי עבודה, מתחת לתקרה אקוסטית במכולה"", ""סכום החוב"": ""300 ₪"", ""סוג העסקה המובילה לסכסוך"": ""עסקת רכב"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג עבירה"": ""החזקה נשק, נשיאת נשק, הובלת נשק"", ""עבירות נוספות"": ""יסיון חבלה חמורה בנסיבות מחמירות, איומים"", ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""כן"", ""אופן החזקת הנשק"": ""ברכב, על גופו, מוסלק - מוסתר"", ""כמות תחמושת"": ""מחסנית + 17 כדורים"", ""מטרה-סיבת העבירה"": ""סכסוך"", ""שימוש"": ""כן,ירי""}","{""אופן החזקת הנשק"": ""על גופו"", ""מטרה-סיבת העבירה"": ""סכסוך"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""ביצוע עבירות בנשק"", ""סטטוס הנשק"": ""תקין"", ""עבירות נוספות"": ""ניסיון לחבלה חמורה בנסיבות מחמירות לפי סעיפים 333+335(א)(1) ו-25 לפי החוק."", ""שימוש"": ""כן,ירי"", ""תכנון"": ""כן"", ""מיקום האירוע"": ""רהט"", ""קורבנות"": ""המתלונן ובנו"", ""גיל הקטין"": 18, ""מספר קליעים שפגעו"": 3, ""התנהלות הנאשם לאחר האירוע"": ""נמלט מהמקום"", ""פגיעה ברכוש"": ""קליעים חדרו לדלת הנהג"", ""סוג הרכב"": ""רכב פרטי"", ""מיקום הירי"": ""לעבר דלת הנהג""}"
ME-17-05-633-549,ME-09-05-16192-355,1,0,0,"{""אופן החזקת הנשק"": ""מוסלק - מוסתר"", ""אופן קבלת הנשק"": ""רכש"", ""כמות תחמושת"": ""2 מחסניות, מאות כדורים, 2 מחסניות ובהן 0 כדורים"", ""מטרה-סיבת העבירה"": ""בצע כסף"", ""מספר עבירה"": ""144 א, 144 ב"", ""סוג הנשק [אקדח]"": 2.0, ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סוג עבירה"": ""החזקה נשק, סחר בנשק"", ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""כן"", ""שמות נוספים מעורבים"": ""רביע חוסיין, נצרי ח'ליפה"", ""סוגי נשק נוספים"": ""קרלו-גוסטב, סירקיס, חלוואני"", ""מנגנון הדק"": ""חסר, מאולתר"", ""פרטי תשלום"": ""7,000 ₪ במועד נדחה, 14,000 ₪ במזומן"", ""שנת העבירה"": ""2013, 2015"", ""פרטי תמורה"": ""אקדח תמורת תת מקלע, נשק ומחסניות תמורת כסף"", ""שימוש"": ""לא""}","{""אופן החזקת הנשק"": ""ברכב"", ""כמות תחמושת"": ""מחסנית ובה 10 כדורים"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [תת מקלע]"": 1.0, ""סוג עבירה"": ""נשיאת נשק, הובלת נשק"", ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""תכנון"": ""לא"", ""מיקום האירוע"": ""אום אל פחם"", ""זמן האירוע"": ""19.5.09 בשעה 23:30"", ""סוג הרכב"": ""טויוטה"", ""בעלות הרכב"": ""בן משפחת הנאשם, אחמד מחאג'נה"", ""פעולת הנאשם בעת עצירה"": ""ניסיון להימלט מהשוטרים"", ""תגובת השוטרים"": ""רדיפה אחר הרכב ודימום הרכב"", ""מצב המחסנית"": ""במצב הכנס"", ""שימוש"": ""לא""}"
ME-16-05-336-804,ME-15-12-39071-113,1,0,0,"{""אופן החזקת הנשק"": ""ברכב, על גופו"", ""כמות תחמושת"": ""מחסנית ריקה ובה 0 כדורים + מחסנית ריקה ובה 0 כדורים + 26 כדורים"", ""מספר עבירה"": ""144 ב"", ""סוג הנשק [תת מקלע מאולתר]"": 1.0, ""סוג עבירה"": ""נשיאת נשק, הובלת נשק"", ""סטטוס הנשק"": ""נשק מופרד מתחמושת"", ""שימוש"": ""כן,ירי"", ""תכנון"": ""לא"", ""זמן האירוע"": ""שעת ערב"", ""מיקום האירוע"": ""טקס חינה"", ""תאריך האירוע"": ""24/04/16"", ""סוג הנשק"": ""תת מקלע מאולתר מסוג קרל גוסטב"", ""התנהלות במהלך המעצר"": ""ניסיון להימלט, זריקת הנשק מהרכב"", ""מעורבות צד שלישי"": ""רדואן סמארה, נהג הרכב"", ""פעולת השוטרים"": ""רדיפה ותפיסת הנשק והתחמושת""}","{""אופן החזקת הנשק"": ""ברכב, מוסלק - מוסתר"", ""מטרה-סיבת העבירה"": ""הגנה עצמית"", ""מספר עבירה"": ""144 א"", ""סוג הנשק [אקדח]"": 1.0, ""סוג עבירה"": ""החזקה נשק"", ""סטטוס הנשק"": ""תקין"", ""תכנון"": ""לא"", ""סוג רכב"": ""מזדה 3"", ""מספר רישיון רכב"": ""71-098-16"", ""מיקום האירוע"": ""כביש מספר 1, בסמוך למחלף הראל"", ""זמן האירוע"": ""12.10.13, בשעה 22:30"", ""מיקום החזקת הנשק ברכב"": ""מתחת לשטיח שמתחת למושב הסמוך לנהג"", ""סוג הנשק"": ""אקדח חצי אוטומטי מסוג סטאר"", ""שימוש"": ""לא""}"
