data_source,case,הודאה,מספר עבירה,סוג עבירה,עבירות נוספות,סוג הנשק [אקדח],סוג הנשק [תת מקלע],סוג הנשק [תת מקלע מאולתר],סוג הנשק [בקבוק תבערה],סוג הנשק [מטען חבלה],סוג הנשק [רימון רסס],סוג הנשק [רימון הלם/גז],סוג הנשק [טיל לאו ],סוג הנשק [טיל מטאדור],סוג הנשק [רובה צייד],סוג הנשק [רובה צלפים],סוג הנשק [מטען חבלה מאולתר],סוג הנשק [רובה סער ],סוג הנשק [רובה סער מאולתר],סוג הנשק - אם לא נמצא בטבלה,עבר פלילי,חרטה,אופן קבלת הנשק,כסף ששולם,סטטוס הנשק,מכירה לסוכן,כמות תחמושת,אופן החזקת הנשק,תכנון,מטרה-סיבת העבירה,שימוש,נזק,בריחה,עונש,מספר עבירה_mapped,סוג עבירה_mapped,אופן קבלת הנשק_mapped,כסף ששולם_mapped,כמות תחמושת_mapped,אופן החזקת הנשק_mapped,מטרה-סיבת העבירה_mapped,שימוש_mapped,נזק_mapped,עונש_mapped
GT,ME-09-05-16192-355,כן,144 ב,"נשיאת נשק, הובלת נשק",,,1,,,,,,,,,,,,,,כן,כן,,,נשק מופרד מתחמושת,לא,מחסנית ובה 10 כדורים,ברכב,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",כן,20 חודשים,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,10,['ברכב'],,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",20 חודשים
GT,ME-09-06-10774-130,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,,,לא,כן,,,תקין,לא,,ברכב,לא,,לא,לא נגרם נזק,לא,6 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",,,,['ברכב'],,לא,['לא נגרם נזק'],6 חודשים
GT,ME-09-11-7566-913,כן,"144 א, 144 ב",ביצוע עבירות בנשק,,1,,,,,,,,,,,,,,,לא,כן,מצא,,תקול,לא,,ברכב,לא,,לא,לא נגרם נזק,לא,6 חודשים בעבודות שירות,"['144א', '144ב']",,מצא,,,['ברכב'],,לא,['לא נגרם נזק'],6 חודשים בעבודות שירות
GT,ME-10-08-17917-313,כן,,החזקה נשק,,1,,,,,,,,,,,,,,,לא,כן,,,נשק מופרד מתחמושת,לא,3 כדורים,מוסלק - מוסתר,לא,הגנה עצמית,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים בעבודות שירות,,['החזקת נשק'],,,3,['מוסלק-מוסתר'],הגנה עצמית,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים בעבודות שירות
GT,ME-12-03-13401-281,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק, הובלת נשק",יריות באזור מגורים - עבירה לפי סעיף 340א לחוק.,1,,,,,,,,,,,,,,,לא,כן,,,נשק עם כדור בקנה,לא,"2 מחסניות ובהן כדורים, 11 כדורים",ברכב,לא,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,20 חודשים,"['144א', '144ב']","['הובלת נשק', 'החזקת נשק', 'נשיאת נשק', 'ירי באזור מגורים']",,,11,['ברכב'],,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",20 חודשים
GT,ME-12-03-15148-775,כן,144 א,החזקה נשק,"שינוי זהות של כלי רכב, עבירה לפי סעיף 413ט' לחוק העונשין, תשל""ז - 1977.",2,,,,,,,,,,,,,,משתיק קול,לא,כן,,,נשק מופרד מתחמושת,לא,מחסנית ובה 11 כדורים,ברכב,כן,,לא,לא נגרם נזק,לא,3 שנים,['144א'],['החזקת נשק'],,,11,['ברכב'],,לא,['לא נגרם נזק'],36 חודשים
GT,ME-12-04-33577-700,לא,"144 א, 144 ב","החזקה נשק, נשיאת נשק","חבלה בכוונה מחמירה, עבירה לפי סעיף 329(א)(2) לחוק העונשין ויריות באזור מגורים, עבירה לפי סעיף 340(א) לחוק העונשין.",1,,,,,,,,,,,,,,,כן,לא,,,תקין,לא,,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,4 שנים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק', 'ירי באזור מגורים']",,,,['על גופו'],סכסוך,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",48 חודשים
GT,ME-12-05-33444-999,כן,144 א,החזקה נשק,,1,,,,,,,,,,,,,,,לא,כן,,,נשק עם מחסנית בהכנס,לא,3 מחסניות,"ברכב, מוסלק - מוסתר",לא,הגנה עצמית,לא,לא נגרם נזק,לא,"500 שעות של""צ",['144א'],['החזקת נשק'],,,60,"['ברכב', 'מוסלק-מוסתר']",הגנה עצמית,לא,['לא נגרם נזק'],"500 של""צ"
GT,ME-12-09-51207-971,כן,"144 א, 144 ב","החזקה נשק, ייצור נשק",יריות באזור מגורים - עבירה לפי סעיף 340א לחוק.,,,,,,,,,,,,,,,,לא,כן,ייצר,,נשק עם כדור בקנה,לא,,בבית,לא,חתונה,"כן,ירי","לא נגרם נזק, פוטנציאל נזק קטן",לא,,"['144א', '144ב']","['החזקת נשק', 'ירי באזור מגורים']",ייצר,,,['בבית'],חגיגה,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק מועט']",
GT,ME-13-02-28360-614,כן,144 ב,נשיאת נשק,"הפרעה לשוטר במילוי תפקידו,נהיגה ללא רישיון,נהיגה ללא ביטוח',נהיגה תחת השפעת משקאות משכרים",1,,,,,,,,,,,,,,,לא,כן,,,נשק עם כדור בקנה,לא,,ברכב,לא,,"כן,ירי",לא נגרם נזק,כן,6 חודשים בעבודות שירות,['144ב'],['נשיאת נשק'],,,,['ברכב'],,['כן-ירי'],['לא נגרם נזק'],6 חודשים בעבודות שירות
GT,ME-13-04-35007-454,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",,1,,,,,,,,,,,,,,,לא,כן,,,נשק עם מחסנית בהכנס,לא,,על גופו,כן,סכסוך,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,9 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",,,,['על גופו'],סכסוך,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",9 חודשים
GT,ME-13-10-28139-807,כן,144 א,ביצוע עבירות בנשק,ניסיון לחבלה חמורה בנסיבות מחמירות לפי סעיפים 333+335(א)(1) ו-25 לפי החוק.,1,,,,,,,,,,,,,,,לא,כן,,,תקין,לא,,על גופו,כן,סכסוך,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,4 שנים,['144א'],,,,,['על גופו'],סכסוך,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",48 חודשים
GT,ME-13-10-53169-537,כן,144 ב,נשיאת נשק,,1,,,,,,,,,,,,,,,לא,לא,,,נשק עם מחסנית בהכנס,לא,מחסנית ריקה ובה 0 כדורים + 2 כדורים + 17 כדורים,על גופו,כן,,"כן,ירי","לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים,['144ב'],['נשיאת נשק'],,,19,['על גופו'],,['כן-ירי'],"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים
GT,ME-14-02-51828-88,כן,144 ב,"נשיאת נשק, הובלת נשק",,,,,,,,,,,2,,,,,,לא,כן,,,תקין,לא,,ברכב,לא,,לא,"לא נגרם נזק, פוטנציאל נזק גדול",לא,6 חודשים בעבודות שירות,['144ב'],"['הובלת נשק', 'נשיאת נשק']",,,,['ברכב'],,לא,"['לא נגרם נזק', 'פוטנציאל נזק רב']",6 חודשים בעבודות שירות
GT,ME-14-03-48488-922,כן,"144 א, 144 ב","החזקה נשק, נשיאת נשק",היזק בזדון בחומר נפיץ,,,,,1,,,,,,,,,,,כן,כן,ייצר,,תקין,לא,,על גופו,כן,בצע כסף,הפעלת מטען,נגרם נזק,לא,42 חודשים,"['144א', '144ב']","['החזקת נשק', 'נשיאת נשק']",ייצר,,,['על גופו'],בצע כסף,['הפעלת מטען'],['נגרם נזק'],42 חודשים
