canonical_id,extracted_citation,normalized
ME-13-06-33509-455,תפ (מרכז) 33509-06-13,תפ_33509-06-13
ME-13-04-579-951,תפ (חי') 579-04-13,תפ_579-04-13
ME-13-06-44812-575,תפ (מרכז) 44812-06-13,תפ_44812-06-13
ME-13-11-37783-197,תפ (נצ') 37783-11-13,תפ_37783-11-13
ME-13-11-42797-51,תפ (מרכז) 42797-11-13,תפ_42797-11-13
ME-11-05-32087-259,תפ (י-ם) 32087-05-11,תפ_32087-05-11
ME-11-05-32087-55,תפ (י-ם) 32087-05-11,תפ_32087-05-11
ME-13-09-37810-251,"תפ (ב""ש) 37810-09-13",תפ_37810-09-13
ME-13-12-37838-94,"תפ (ת""א) 37838-12-13",תפ_37838-12-13
ME-14-02-3618-629,"תפ (ת""א) 3618-02-14",תפ_3618-02-14
ME-13-10-30989-894,"תפ (ת""א) 30989-10-13",תפ_30989-10-13
ME-14-04-26032-104,תפ (נצ') 26032-04-14,תפ_26032-04-14
ME-14-02-33842-123,תפ (י-ם) 33842-02-14,תפ_33842-02-14
ME-14-03-46018-337,תפ (חי') 46018-03-14,תפ_46018-03-14
ME-14-03-43773-530,תפ (י-ם) 43773-03-14,תפ_43773-03-14
ME-14-03-43773-268,תפ (י-ם) 43773-03-14,תפ_43773-03-14
ME-14-01-47474-572,תפ (מרכז) 47474-01-14,תפ_47474-01-14
ME-14-01-47474-521,תפ (מרכז) 47474-01-14,תפ_47474-01-14
ME-14-03-46018-938,תפ (חי') 46018-03-14,תפ_46018-03-14
ME-14-08-30279-554,"תפ (ת""א) 30279-08-14",תפ_30279-08-14
ME-14-09-56864-993,תפ (חי') 56864-09-14,תפ_56864-09-14
ME-14-09-56864-334,תפ (חי') 56864-09-14,תפ_56864-09-14
ME-14-09-58647-987,תפ (מרכז) 58647-09-14,תפ_58647-09-14
ME-14-07-35904-399,"תפ (ת""א) 35904-07-14",תפ_35904-07-14
ME-14-08-30279-639,"תפ (ת""א) 30279-08-14",תפ_30279-08-14
ME-14-04-26032-654,תפ (נצ') 26032-04-14,תפ_26032-04-14
ME-14-07-35904-173,"תפ (ת""א) 35904-07-14",תפ_35904-07-14
ME-14-10-33888-292,תפ (מרכז) 33888-10-14,תפ_33888-10-14
ME-14-11-48731-94,"תפ (ת""א) 48731-11-14",תפ_48731-11-14
ME-14-11-48731-744,"תפ (ת""א) 48731-11-14",תפ_48731-11-14
ME-14-10-33888-931,תפ (מרכז) 33888-10-14,תפ_33888-10-14
ME-14-11-48731-223,"תפ (ת""א) 48731-11-14",תפ_48731-11-14
ME-15-04-50059-178,תפ (חי') 50059-04-15,תפ_50059-04-15
ME-15-02-47843-491,תפ (מרכז) 47843-02-15,תפ_47843-02-15
ME-15-05-1057-982,תפ (חי') 1057-05-15,תפ_1057-05-15
ME-15-02-16449-555,עפ (מרכז) 512/04,עפ_512-04
ME-15-06-56838-646,"תפ (ת""א) 56838-06-15",תפ_56838-06-15
ME-15-05-1047-365,תפ (חי') 1047-05-15,תפ_1047-05-15
ME-15-11-55383-479,תפ (מרכז) 55383-11-15,תפ_55383-11-15
ME-15-08-53517-204,"תפ (ב""ש) 53517-08-15",תפ_53517-08-15
ME-15-10-23320-644,"תפ (ב""ש) 23320-10-15",תפ_23320-10-15
ME-15-05-33666-777,"תפ (ת""א) 33666-05-15",תפ_33666-05-15
ME-15-07-3667-458,תפ (מרכז) 3667-07-15,תפ_3667-07-15
ME-15-11-22966-479,תפ (חי') 22966-11-15,תפ_22966-11-15
ME-15-12-18308-508,"תפ (ת""א) 18308-12-15",תפ_18308-12-15
ME-15-08-16168-989,תפ (מרכז) 16168-08-15,תפ_16168-08-15
ME-16-01-44389-432,עפ (י-ם) 645/17,עפ_645-17
ME-15-11-56230-122,תפ (חי') 56230-11-15,תפ_56230-11-15
ME-16-01-55992-164,תפ (חי') 55992-01-16,תפ_55992-01-16
ME-16-02-2259-180,"תפ (ב""ש) 2259-02-16",תפ_2259-02-16
ME-16-02-31164-286,"תפ (ת""א) 31164-02-16",תפ_31164-02-16
ME-15-12-13882-11,"תפ (ת""א) 13882-12-15",תפ_13882-12-15
ME-16-02-46325-334,"תפ (ת""א) 46325-02-16",תפ_46325-02-16
ME-16-02-6916-734,"תפ (ת""א) 6916-02-16",תפ_6916-02-16
ME-16-02-31164-952,"תפ (ת""א) 31164-02-16",תפ_31164-02-16
ME-16-02-46325-10,"תפ (ת""א) 46325-02-16",תפ_46325-02-16
ME-16-05-25903-508,"תפ (ת""א) 25903-05-16",תפ_25903-05-16
ME-16-06-26447-548,"תפ (ב""ש) 26447-06-16",תפ_26447-06-16
ME-16-05-52569-842,תפ (מרכז) 52569-05-16,תפ_52569-05-16
ME-16-07-43463-6,"תפ (ת""א) 43463-07-16",תפ_43463-07-16
ME-16-05-52569-841,תפ (מרכז) 52569-05-16,תפ_52569-05-16
ME-16-05-54035-932,"תפ (ב""ש) 54035-05-16",תפ_54035-05-16
ME-16-02-16273-193,"תפ (ת""א) 16273-02-16",תפ_16273-02-16
ME-16-03-21059-187,תפ (מרכז) 21059-03-16,תפ_21059-03-16
ME-16-10-376-716,תפ (מרכז) 376-10-16,תפ_376-10-16
ME-16-09-61690-214,"תפ (ב""ש) 61690-09-16",תפ_61690-09-16
ME-16-03-10234-641,"תפ (ת""א) 10234-03-16",תפ_10234-03-16
ME-16-10-20487-879,תפ (י-ם) 20487-10-16,תפ_20487-10-16
ME-16-12-6008-857,"תפ (ב""ש) 6008-12-16",תפ_6008-12-16
ME-16-09-37468-110,תפ (חי') 37468-09-16,תפ_37468-09-16
ME-16-08-33180-587,"תפ (ת""א) 33180-08-16",תפ_33180-08-16
ME-16-11-12456-923,תפ (מרכז) 191230/15,תפ_191230-15
ME-17-04-13690-148,"תפ (ת""א) 13690-04-17",תפ_13690-04-17
ME-17-03-36933-935,תפ (חי') 36933-03-17,תפ_36933-03-17
ME-16-11-60349-304,"תפ (ת""א) 60349-11-16",תפ_60349-11-16
ME-17-03-36933-634,תפ (חי') 36933-03-17,תפ_36933-03-17
