canonical_id,domain,csv_path,docx_path,csv_source,docx_source,csv_size,docx_size,verdict,sentencing_range_low,sentencing_range_high,sentencing_classification,sentencing_confidence,citations_count,domain_unified,year,sentencing_sentence
תפ_203-84,weapon,csv/תפ_203-84.csv,docx/תפ_203-84.docx,new_try_unified_weapon,new_try_unified_weapon,529217.0,349755.0,"ת""פ (י-ם) 203∕84",,,NEGATIVE,גבוהה,52.0,weapon,1984.0,
תפח_1151-08,weapon,csv/תפח_1151-08.csv,docx/תפח_1151-08.docx,innovation_task_5k,data_master_docx,321274.0,160798.0,"תפ""ח 1151-08",,,,,22.0,weapon,2008.0,
עפ_3164-14,weapon,csv/עפ_3164-14.csv,docx/עפ_3164-14.docx,new_try_unified_weapon,new_try_unified_weapon,319668.0,96962.0,,12.0,36.0,POSITIVE,גבוהה,,,2014.0,"אשר לעונש המאסר בפועל, בנסיבות העניין מתחם העונש שנקבע בין שנה לשלוש שנות מאסר הינו ראוי."
עפ_3164-14,unknown,csv/עפ_3164-14.csv,,downloaded_pipeline,,319668.0,,,,,,,,,2014.0,
עפ_3617-13,weapon,csv/עפ_3617-13.csv,docx/עפ_3617-13.docx,new_try_unified_weapon,new_try_unified_weapon,264632.0,88182.0,,144.0,240.0,POSITIVE,גבוהה,,,2013.0,"לאור שיקולים אלו ואחרים, הועמד מתחם העונש ההולם בגין העבירה על 12 עד 20 שנות מאסר."
עפ_3617-13,unknown,csv/עפ_3617-13.csv,,downloaded_pipeline,,264632.0,,,,,,,,,2013.0,
תפ_11826-08-14,weapon,csv/תפ_11826-08-14.csv,docx/תפ_11826-08-14.docx,new_try_weapon,new_try_unified_weapon,240909.0,144835.0,"ת""פ 11826-08-14",,,NEGATIVE,גבוהה,6.0,weapon,2014.0,
דנ_23-85,drugs,csv/דנ_23-85.csv,docx/דנ_23-85.docx,new_try_unified_drugs,new_try_unified_drugs,202933.0,158002.0,,,,,,,,1985.0,
תפ_4935-05-14,weapon,csv/תפ_4935-05-14.csv,docx/תפ_4935-05-14.docx,new_try_unified_weapon,new_try_unified_weapon,190141.0,133081.0,"ת""פ 4935-05-14",,,NEGATIVE,גבוהה,25.0,weapon,2014.0,
עפ_1958-98,weapon,csv/עפ_1958-98.csv,docx/עפ_1958-98.docx,new_try_unified_weapon,new_try_unified_weapon,182447.0,150965.0,,,,,,,,1998.0,
עפ_4910-13,weapon,csv/עפ_4910-13.csv,docx/עפ_4910-13.docx,new_try_unified_weapon,new_try_unified_weapon,171113.0,49781.0,,300.0,420.0,POSITIVE,גבוהה,,,2013.0,"לנוכח כל האמור לעיל, קבע בית המשפט כי יש להעמיד את מתחם הענישה ההולם לגבי האירוע נשוא האישום הראשון בין 25 ל-35 שנות מאסר בפועל."
עפ_4910-13,unknown,csv/עפ_4910-13.csv,,downloaded_pipeline,,171113.0,,,,,,,,,2013.0,
ARMY-22-26-11,weapon,csv/ARMY-22-26-11.csv,docx/ARMY-22-26-11.docx,new_try_unified_weapon,new_try_unified_weapon,166839.0,141635.0,,,,,,,,2011.0,
ARMY-22-26-11,unknown,csv/ARMY-22-26-11.csv,,downloaded_pipeline,,166839.0,,,,,,,,,2011.0,
שפ_7064-08,drugs,csv/שפ_7064-08.csv,docx/שפ_7064-08.docx,new_try_unified_drugs,new_try_unified_drugs,163239.0,162851.0,,,,,,,,2008.0,
תפ_1970-06-13,weapon,csv/תפ_1970-06-13.csv,docx/תפ_1970-06-13.docx,innovation_task_5k,data_master_docx,163069.0,110823.0,"ת""פ 1970-06-13",,,NEGATIVE,גבוהה,18.0,weapon,2013.0,
תפ_468-98,drugs,csv/תפ_468-98.csv,docx/תפ_468-98.docx,new_try_unified_drugs,new_try_unified_drugs,153906.0,105660.0,תפ (נצ') 468∕98,,,NEGATIVE,גבוהה,7.0,weapon,1998.0,
תפ_468-98,weapon,csv/תפ_468-98.csv,docx/תפ_468-98.docx,data_master_csv,data_master_docx,153777.0,105660.0,תפ (נצ') 468∕98,,,NEGATIVE,גבוהה,7.0,weapon,1998.0,
עפ_3793-18,weapon,csv/עפ_3793-18.csv,docx/עפ_3793-18.docx,new_try_unified_weapon,new_try_unified_weapon,133786.0,46382.0,,8.0,24.0,POSITIVE,גבוהה,,,2018.0,"הועמד מתחם הענישה באשר לאירוע התקיפה על 8 עד 24 חודשי מאסר בפועל, וכך גם באשר לאירוע ההצתה."
עפ_3793-18,unknown,csv/עפ_3793-18.csv,,downloaded_pipeline,,133786.0,,,,,,,,,2018.0,
תפ_14513-12-13,weapon,csv/תפ_14513-12-13.csv,docx/תפ_14513-12-13.docx,new_try_weapon_copy2,new_try_unified_weapon,125853.0,111739.0,ME-13-12-14513-696,,,NEGATIVE,גבוהה,9.0,weapon,2013.0,
