canonical_id,domain,csv_path
עפ_3164-14,weapon,csv/עפ_3164-14.csv
עפ_3617-13,weapon,csv/עפ_3617-13.csv
עפ_4910-13,weapon,csv/עפ_4910-13.csv
עפ_3793-18,weapon,csv/עפ_3793-18.csv
עפ_8045-17,weapon,csv/עפ_8045-17.csv
תפ_32585-03-21,weapon,csv/תפ_32585-03-21.csv
עפג_2024-04-21,weapon,csv/עפג_2024-04-21.csv
תפ_46422-05-21,drugs,csv/תפ_46422-05-21.csv
תפ_66139-03-16,drugs,csv/תפ_66139-03-16.csv
עפ_4592-15,drugs,csv/עפ_4592-15.csv
עפ_7952-15,weapon,csv/עפ_7952-15.csv
תפ_17029-07-18,drugs,csv/תפ_17029-07-18.csv
תפ_52231-01-22,drugs,csv/תפ_52231-01-22.csv
תפ_58553-06-21,drugs,csv/תפ_58553-06-21.csv
עפ_5590-16,weapon,csv/עפ_5590-16.csv
תפ_10427-03-22,drugs,csv/תפ_10427-03-22.csv
תפ_28106-09-14,drugs,csv/תפ_28106-09-14.csv
עפ_5877-13,weapon,csv/עפ_5877-13.csv
תפ_7538-04-17,drugs,csv/תפ_7538-04-17.csv
תפ_7788-09-19,drugs,csv/תפ_7788-09-19.csv
תפ_51776-01-21,drugs,csv/תפ_51776-01-21.csv
עפג_28110-10-15,weapon,csv/עפג_28110-10-15.csv
עפ_9821-16,weapon,csv/עפ_9821-16.csv
תפ_62472-07-17,weapon,csv/תפ_62472-07-17.csv
תפ_62457-11-16,drugs,csv/תפ_62457-11-16.csv
תפ_4078-07-23,drugs,csv/תפ_4078-07-23.csv
תפ_29453-05-22,drugs,csv/תפ_29453-05-22.csv
תפ_332-10-16,drugs,csv/תפ_332-10-16.csv
עפ_5806-22,weapon,csv/עפ_5806-22.csv
תפ_31559-08-20,drugs,csv/תפ_31559-08-20.csv
תפ_7244-01-24,drugs,csv/תפ_7244-01-24.csv
תפ_2128-04-18,drugs,csv/תפ_2128-04-18.csv
תפ_22555-02-20,drugs,csv/תפ_22555-02-20.csv
תפ_67193-02-19,drugs,csv/תפ_67193-02-19.csv
עפ_7907-14,drugs,csv/עפ_7907-14.csv
עפ_4597-13,weapon,csv/עפ_4597-13.csv
תפ_33582-01-23,drugs,csv/תפ_33582-01-23.csv
תפ_60349-11-16,drugs,csv/תפ_60349-11-16.csv
עפ_32-14,weapon,csv/עפ_32-14.csv
תפ_56838-06-15,drugs,csv/תפ_56838-06-15.csv
עפג_36558-08-21,drugs,csv/עפג_36558-08-21.csv
תפ_39220-07-18,drugs,csv/תפ_39220-07-18.csv
תפ_59596-08-18,drugs,csv/תפ_59596-08-18.csv
תפ_4429-02-24,drugs,csv/תפ_4429-02-24.csv
תפ_43372-07-23,drugs,csv/תפ_43372-07-23.csv
עפ_7881-20,weapon,csv/עפ_7881-20.csv
תפ_47666-06-20,drugs,csv/תפ_47666-06-20.csv
תפ_33446-10-18,drugs,csv/תפ_33446-10-18.csv
תפ_56775-10-22,drugs,csv/תפ_56775-10-22.csv
תפ_18820-07-15,drugs,csv/תפ_18820-07-15.csv
