src,tgt,domain
תפ_13781-01-24,תפ_11267-01-18,drugs
תפ_13781-01-24,תפ_40639-10-17,drugs
תפ_13781-01-24,תפ_34271-10-18,drugs
תפ_13781-01-24,תפ_27952-06-19,drugs
תפ_48152-02-20,תפ_1169-07-20,drugs
תפ_48152-02-20,תפ_56691-03-21,drugs
תפ_48152-02-20,עפ_6029-03,drugs
תפ_48152-02-20,תפ_39880-12-20,drugs
תפ_48152-02-20,תפ_6918-02-19,drugs
תפ_48152-02-20,תפ_11406-06-20,drugs
תפ_48152-02-20,תפ_47067-01-16,drugs
תפ_48152-02-20,תפ_56668-06-17,drugs
תפ_48152-02-20,תפ_45708-01-17,drugs
תפ_48152-02-20,תפ_9346-07-12,drugs
תפ_48152-02-20,תפ_58167-11-10,drugs
תפ_31892-08-21,תפ_32879-04-19,drugs
תפ_31892-08-21,תפ_30618-02-18,drugs
תפ_31892-08-21,תפ_33947-10-15,drugs
תפ_31892-08-21,תפ_22715-06-17,drugs
תפ_31892-08-21,תפ_27890-10-18,drugs
תפ_31892-08-21,תפ_27506-03-21,drugs
תפ_64418-09-16,תפ_16759-07-17,drugs
תפ_64418-09-16,תפ_41968-09-17,drugs
תפ_64418-09-16,תפ_16969-03-15,drugs
תפ_64418-09-16,תפ_13365-08-13,drugs
תפ_19908-10-21,תפ_11446-09-21,drugs
תפ_19908-10-21,תפ_14488-04-19,drugs
תפ_19908-10-21,תפ_20051-12-17,drugs
תפ_26494-03-13,תפ_20928-07-12,drugs
תפ_40055-03-18,תפ_54205-05-15,drugs
תפ_40055-03-18,תפ_40063-03-18,drugs
תפ_40055-03-18,עפ_6029-03,drugs
תפ_40055-03-18,תפ_29550-06-13,drugs
תפ_40055-03-18,תפ_44601-05-14,drugs
תפ_40055-03-18,תפ_36431-04-15,drugs
תפ_40055-03-18,תפ_30717-01-19,drugs
תפ_40055-03-18,תפ_58591-08-18,drugs
תפ_12708-04-14,עפ_6029-03,drugs
תפ_12708-04-14,תפ_16749-08-12,drugs
תפ_37764-03-21,תפ_19005-11-20,drugs
תפ_37764-03-21,תפ_37551-01-16,drugs
תפ_37764-03-21,תפ_36724-02-20,drugs
תפ_37764-03-21,תפ_69278-05-18,drugs
תפ_37764-03-21,עפ_6029-03,drugs
תפ_37764-03-21,תפ_14313-09-19,drugs
תפ_37764-03-21,תפ_30039-04-20,drugs
תפ_37764-03-21,תפ_33338-02-20,drugs
תפ_37764-03-21,תפ_52785-01-20,drugs
תפ_37764-03-21,תפ_28847-09-20,drugs
תפ_37764-03-21,תפ_74036-12-19,drugs
תפ_37764-03-21,תפ_33200-05-20,drugs
תפ_37764-03-21,תפ_34787-05-20,drugs
תפ_23613-02-22,תפ_49156-08-15,drugs
תפ_23613-02-22,תפ_22426-12-15,drugs
תפ_23613-02-22,תפ_48568-10-15,drugs
תפ_23613-02-22,תפ_7414-01-15,drugs
תפ_23613-02-22,תפ_52781-10-18,drugs
תפ_23613-02-22,תפ_44914-01-17,drugs
תפ_23613-02-22,תפ_17610-09-15,drugs
תפ_23613-02-22,תפ_46051-06-15,drugs
תפ_15457-09-18,תפ_11608-07-16,drugs
תפ_15457-09-18,תפ_17410-08-13,drugs
תפ_15457-09-18,תפ_5775-02-18,drugs
תפ_15457-09-18,תפ_33888-10-14,drugs
