verdict,domain,in_deg,out_deg,low,high,year,court
תפ_33630-06-13,drugs,0,0,6.0,24.0,2013,תפ
תפ_12341-11-22,weapon,0,0,18.0,36.0,2022,תפ
תפ_11789-12-16,weapon,6,4,20.0,48.0,2016,תפ
תפ_28615-08-17,weapon,8,7,16.0,40.0,2017,תפ
תפ_37838-12-13,drugs,0,0,36.0,60.0,2013,תפ
תפ_49151-10-20,weapon,0,0,12.0,18.0,2020,תפ
תפ_46662-04-15,drugs,8,0,24.0,48.0,2015,תפ
תפ_47813-03-19,weapon,0,0,16.0,36.0,2019,תפ
תפ_24278-11-22,drugs,1,0,10.0,30.0,2022,תפ
תפ_46929-01-22,weapon,0,0,18.0,36.0,2022,תפ
תפ_58812-10-17,weapon,1,0,15.0,36.0,2017,תפ
me-12-08-8641-44,weapon,0,0,15.0,48.0,2044,?
תפ_72027-10-21,drugs,0,0,14.0,24.0,2021,תפ
תפ_35711-05-22,weapon,0,0,8.0,24.0,2022,תפ
תפ_32883-03-22,weapon,0,6,90.0,150.0,2022,תפ
תפ_50853-02-18,drugs,0,0,1.0,15.0,2018,תפ
תפ_55830-11-18,drugs,1,0,0.0,10.0,2018,תפ
תפ_37473-01-20,drugs,0,0,12.0,24.0,2020,תפ
תפק_15805-07-16,drugs,0,0,2.0,8.0,2016,תפק
תפ_20767-09-16,drugs,4,1,1.0,12.0,2016,תפ
תפ_45456-12-21,weapon,0,7,72.0,120.0,2021,תפ
תפ_18210-05-23,weapon,0,4,30.0,54.0,2023,תפ
תפ_63489-07-24,weapon,0,0,50.0,30.0,2024,תפ
תפ_46903-02-13,drugs,0,2,0.0,12.0,2013,תפ
תפ_57164-07-22,drugs,0,0,8.0,18.0,2022,תפ
תפח_63357-03-18,weapon,2,1,48.0,96.0,2018,תפח
תפ_21175-01-19,drugs,0,0,0.0,6.0,2019,תפ
תפ_1057-05-15,drugs,0,1,18.0,42.0,2015,תפ
תפ_32597-07-20,drugs,0,0,12.0,24.0,2020,תפ
תפ_9179-04-16,weapon,0,4,15.0,48.0,2016,תפ
תפ_48905-12-20,weapon,2,1,32.0,70.0,2020,תפ
תפ_19211-06-17,drugs,0,0,6.0,12.0,2017,תפ
תפ_20854-11-19,drugs,0,0,0.0,8.0,2019,תפ
תפ_15812-03-15,drugs,1,0,0.0,12.0,2015,תפ
תפ_70717-07-24,drugs,0,0,8.0,24.0,2024,תפ
תפח_30145-08-13,weapon,1,3,120.0,168.0,2013,תפח
תפ_64232-11-22,drugs,0,0,35.0,65.0,2022,תפ
תפ_33945-10-21,weapon,0,0,24.0,50.0,2021,תפ
תפ_56754-10-20,drugs,0,0,0.0,24.0,2020,תפ
תפ_8333-11-20,weapon,0,1,30.0,48.0,2020,תפ
תפ_65985-03-17,drugs,5,0,8.0,18.0,2017,תפ
תפ_21605-07-13,drugs,8,0,6.0,18.0,2013,תפ
תפ_17573-10-22,weapon,0,1,20.0,36.0,2022,תפ
תפ_32841-01-17,drugs,0,0,6.0,16.0,2017,תפ
תפ_40639-10-17,drugs,19,0,6.0,15.0,2017,תפ
תפ_40240-09-12,weapon,1,0,48.0,84.0,2012,תפ
תפ_21696-04-20,weapon,0,1,36.0,54.0,2020,תפ
תפ_6788-06-16,weapon,0,4,18.0,48.0,2016,תפ
תפ_32227-11-20,weapon,0,2,18.0,60.0,2020,תפ
תפ_1847-05-14,weapon,1,1,20.0,60.0,2014,תפ
תפ_39800-09-18,weapon,1,0,10.0,30.0,2018,תפ
תפ_26985-11-21,weapon,0,1,48.0,72.0,2021,תפ
תפ_54337-05-21,weapon,4,3,54.0,90.0,2021,תפ
תפ_7696-05-20,drugs,0,3,18.0,42.0,2020,תפ
תפ_53049-03-16,drugs,0,1,6.0,12.0,2016,תפ
תפ_23361-02-22,weapon,0,0,12.0,36.0,2022,תפ
תפ_7086-04-23,drugs,0,2,14.0,24.0,2023,תפ
תפ_43136-01-11,drugs,0,0,0.0,60.0,2011,תפ
תפ_24748-08-22,drugs,0,0,0.0,12.0,2022,תפ
תפ_1264-05-17,drugs,0,0,4.0,12.0,2017,תפ
תפ_60637-11-14,weapon,1,5,8.0,20.0,2014,תפ
תפ_13534-04-17,drugs,0,0,0.0,8.0,2017,תפ
תפ_59017-02-21,drugs,3,0,3.0,9.0,2021,תפ
תפ_45550-02-13,weapon,0,1,12.0,36.0,2013,תפ
תפ_17839-04-22,weapon,0,0,7.0,18.0,2022,תפ
תפ_37875-06-23,weapon,0,0,11.0,24.0,2023,תפ
תפ_52165-12-17,drugs,0,3,12.0,36.0,2017,תפ
תפ_46250-11-21,weapon,1,3,13.0,36.0,2021,תפ
תפח_5551-06-16,weapon,1,1,24.0,48.0,2016,תפח
תפ_66893-12-21,weapon,3,7,30.0,42.0,2021,תפ
תפ_17321-06-18,drugs,1,0,22.0,44.0,2018,תפ
תפ_54648-02-17,drugs,1,0,30.0,60.0,2017,תפ
תפ_33882-04-16,weapon,0,1,72.0,168.0,2016,תפ
עפ_5877-13,weapon,1,0,24.0,60.0,2013,עפ
תפ_59045-12-20,drugs,0,1,3.0,12.0,2020,תפ
תפ_17659-07-15,drugs,0,0,0.0,16.0,2015,תפ
תפ_13478-06-19,weapon,0,0,8.0,18.0,2019,תפ
תפ_62790-10-13,weapon,0,0,20.0,40.0,2013,תפ
תפ_35121-09-22,weapon,0,0,15.0,40.0,2022,תפ
תפ_19464-05-21,drugs,0,0,30.0,60.0,2021,תפ
תפ_35361-05-23,weapon,0,0,18.0,36.0,2023,תפ
תפ_9665-12-11,drugs,0,0,10.0,30.0,2011,תפ
תפ_16982-03-21,drugs,0,0,12.0,26.0,2021,תפ
תפ_42032-10-17,drugs,0,0,8.0,24.0,2017,תפ
תפ_11597-06-19,drugs,0,1,0.0,8.0,2019,תפ
תפ_17642-11-20,drugs,0,6,42.0,72.0,2020,תפ
תפ_45761-05-24,weapon,0,0,12.0,24.0,2024,תפ
תפ_11475-02-14,drugs,0,1,30.0,66.0,2014,תפ
תפ_3728-01-15,weapon,0,2,18.0,42.0,2015,תפ
תפח_54935-07-13,weapon,0,0,15.0,30.0,2013,תפח
תפ_54150-10-13,weapon,2,0,15.0,24.0,2013,תפ
תפ_24117-05-22,drugs,0,0,2.0,8.0,2022,תפ
תפ_47022-05-14,weapon,2,1,24.0,60.0,2014,תפ
תפ_29305-05-23,weapon,0,3,13.0,28.0,2023,תפ
תפ_32494-01-21,drugs,0,0,9.0,20.0,2021,תפ
עפ_2482-22,weapon,103,0,10.0,36.0,2022,עפ
תפ_30806-04-21,drugs,0,1,9.0,22.0,2021,תפ
תפ_48352-05-15,drugs,0,1,0.0,8.0,2015,תפ
תפ_17766-12-20,weapon,1,8,18.0,36.0,2020,תפ
תפ_40097-07-20,drugs,0,0,20.0,42.0,2020,תפ
תפ_59970-03-19,drugs,0,3,9.0,24.0,2019,תפ
תפ_66150-06-22,weapon,0,1,22.0,42.0,2022,תפ
תפ_13154-01-18,weapon,5,2,12.0,36.0,2018,תפ
תפ_61380-03-16,drugs,0,0,3.0,10.0,2016,תפ
תפ_46366-09-19,weapon,0,5,48.0,108.0,2019,תפ
תפ_4488-05-22,drugs,0,6,48.0,96.0,2022,תפ
תפח_42731-07-12,weapon,0,0,12.0,36.0,2012,תפח
תפ_27025-01-15,drugs,0,0,6.0,18.0,2015,תפ
תפ_51504-02-20,drugs,0,2,6.0,12.0,2020,תפ
תפ_36782-07-17,drugs,0,1,6.0,15.0,2017,תפ
תפ_38578-12-20,drugs,0,4,18.0,48.0,2020,תפ
תפ_33183-03-18,drugs,0,3,6.0,18.0,2018,תפ
תפ_12748-07-20,drugs,0,1,8.0,18.0,2020,תפ
תפ_58254-02-14,drugs,1,0,8.0,18.0,2014,תפ
תפ_45160-04-24,weapon,0,0,8.0,18.0,2024,תפ
תפ_607-10-13,drugs,3,0,48.0,78.0,2013,תפ
תפ_20319-10-13,drugs,0,0,6.0,30.0,2013,תפ
תפ_10810-11-20,drugs,1,3,24.0,48.0,2020,תפ
תפ_56389-09-14,drugs,0,0,0.0,12.0,2014,תפ
תפ_47396-07-19,drugs,0,1,6.0,18.0,2019,תפ
תפ_7154-12-16,drugs,0,0,12.0,30.0,2016,תפ
תפ_45181-01-14,drugs,0,1,6.0,18.0,2014,תפ
תפ_29566-01-22,weapon,0,0,8.0,18.0,2022,תפ
תפ_37850-05-17,drugs,2,2,12.0,36.0,2017,תפ
תפ_6929-10-15,drugs,6,0,5.0,15.0,2015,תפ
תפ_56838-06-15,drugs,0,0,2.0,6.0,2015,תפ
תפ_27506-03-21,drugs,3,0,10.0,20.0,2021,תפ
תפ_20615-02-13,drugs,0,0,0.0,8.0,2013,תפ
תפ_35670-09-18,drugs,0,0,6.0,18.0,2018,תפ
תפ_27085-10-15,drugs,0,0,9.0,20.0,2015,תפ
תפ_18449-04-23,weapon,1,1,15.0,30.0,2023,תפ
תפ_30744-08-24,weapon,0,0,19.0,36.0,2024,תפ
תפ_5388-11-13,weapon,2,0,15.0,50.0,2013,תפ
תפ_58148-11-14,weapon,1,1,30.0,80.0,2014,תפ
תפ_10152-09-17,drugs,0,0,7.0,14.0,2017,תפ
תפ_6270-11-19,drugs,0,3,16.0,32.0,2019,תפ
תפ_50777-11-23,drugs,0,9,12.0,24.0,2023,תפ
תפ_41687-01-22,drugs,1,4,18.0,42.0,2022,תפ
תפ_63018-05-18,weapon,7,3,18.0,36.0,2018,תפ
תפ_12401-05-22,weapon,5,1,30.0,48.0,2022,תפ
תפ_28288-11-15,drugs,0,1,0.0,18.0,2015,תפ
תפ_2009-07-21,weapon,0,0,48.0,96.0,2021,תפ
תפ_2330-02-20,drugs,0,5,10.0,24.0,2020,תפ
תפ_57729-11-19,weapon,0,4,16.0,44.0,2019,תפ
תפ_52091-02-20,weapon,5,2,18.0,36.0,2020,תפ
תפ_13416-09-16,weapon,1,0,10.0,30.0,2016,תפ
תפ_57179-02-23,drugs,0,0,12.0,24.0,2023,תפ
תפ_6695-10-23,weapon,0,1,24.0,48.0,2023,תפ
תפ_6602-05-13,weapon,0,1,12.0,26.0,2013,תפ
תפ_13605-03-16,drugs,0,0,6.0,18.0,2016,תפ
תפ_54036-06-19,drugs,1,1,10.0,36.0,2019,תפ
תפ_19469-12-19,drugs,2,0,9.0,20.0,2019,תפ
תפ_8614-07-12,drugs,0,0,6.0,24.0,2012,תפ
תפ_28397-10-19,drugs,7,0,23.0,51.0,2019,תפ
תפ_25835-05-18,drugs,4,3,8.0,18.0,2018,תפ
תפ_29005-11-20,weapon,0,2,40.0,60.0,2020,תפ
תפ_9844-11-21,drugs,0,0,10.0,24.0,2021,תפ
תפ_1390-04-22,weapon,2,0,22.0,38.0,2022,תפ
תפ_3468-11-23,weapon,0,0,30.0,50.0,2023,תפ
תפ_29457-07-16,drugs,1,1,24.0,54.0,2016,תפ
תפ_66319-05-20,weapon,1,6,18.0,36.0,2020,תפ
תפח_63773-04-21,weapon,0,2,120.0,168.0,2021,תפח
תפ_40056-02-22,weapon,0,0,10.0,60.0,2022,תפ
תפ_62490-07-18,drugs,0,0,1.0,9.0,2018,תפ
תפ_12202-10-14,drugs,0,0,6.0,18.0,2014,תפ
תפ_31862-05-13,weapon,19,1,12.0,36.0,2013,תפ
עפ_5354-12,weapon,1,0,18.0,36.0,2012,עפ
תפ_39941-11-19,weapon,2,5,20.0,44.0,2019,תפ
תפ_32162-05-23,weapon,0,0,60.0,108.0,2023,תפ
תפ_29019-03-10,drugs,0,0,36.0,108.0,2010,תפ
תפ_24548-06-13,weapon,3,2,18.0,36.0,2013,תפ
תפ_44918-12-14,weapon,4,0,7.0,20.0,2014,תפ
תפ_54848-11-16,drugs,0,0,6.0,24.0,2016,תפ
תפ_22588-03-22,weapon,3,4,15.0,30.0,2022,תפ
תפ_20722-03-14,weapon,0,0,6.0,9.0,2014,תפ
תפח_42980-08-18,weapon,0,1,96.0,144.0,2018,תפח
תפ_15772-11-19,weapon,0,0,24.0,48.0,2019,תפ
תפ_4078-07-23,drugs,0,0,5.0,12.0,2023,תפ
תפ_12743-08-22,weapon,0,1,72.0,108.0,2022,תפ
