Loaded 9,478 requests
Already done (cached): 0
To do: 9,478
  200/9,478 (2%)  ok=200 fail=0  elapsed=0.1m  ETA=5.0m
  400/9,478 (4%)  ok=400 fail=0  elapsed=0.2m  ETA=3.8m
  600/9,478 (6%)  ok=600 fail=0  elapsed=0.2m  ETA=3.3m
  800/9,478 (8%)  ok=800 fail=0  elapsed=0.3m  ETA=3.1m
  1,000/9,478 (11%)  ok=1000 fail=0  elapsed=0.3m  ETA=2.9m
  1,200/9,478 (13%)  ok=1200 fail=0  elapsed=0.4m  ETA=2.8m
  1,400/9,478 (15%)  ok=1400 fail=0  elapsed=0.5m  ETA=2.6m
  1,600/9,478 (17%)  ok=1600 fail=0  elapsed=0.5m  ETA=2.6m
  1,800/9,478 (19%)  ok=1800 fail=0  elapsed=0.6m  ETA=2.4m
  2,000/9,478 (21%)  ok=2000 fail=0  elapsed=0.6m  ETA=2.3m
  2,200/9,478 (23%)  ok=2200 fail=0  elapsed=0.7m  ETA=2.3m
  2,400/9,478 (25%)  ok=2400 fail=0  elapsed=0.7m  ETA=2.2m
  2,600/9,478 (27%)  ok=2600 fail=0  elapsed=0.8m  ETA=2.1m
  2,800/9,478 (30%)  ok=2800 fail=0  elapsed=0.8m  ETA=2.0m
  3,000/9,478 (32%)  ok=3000 fail=0  elapsed=0.9m  ETA=2.0m
  3,200/9,478 (34%)  ok=3200 fail=0  elapsed=1.0m  ETA=1.9m
  3,400/9,478 (36%)  ok=3400 fail=0  elapsed=1.0m  ETA=1.8m
  3,600/9,478 (38%)  ok=3600 fail=0  elapsed=1.1m  ETA=1.8m
  3,800/9,478 (40%)  ok=3800 fail=0  elapsed=1.1m  ETA=1.7m
  4,000/9,478 (42%)  ok=4000 fail=0  elapsed=1.2m  ETA=1.6m
  4,200/9,478 (44%)  ok=4200 fail=0  elapsed=1.2m  ETA=1.6m
  4,400/9,478 (46%)  ok=4400 fail=0  elapsed=1.3m  ETA=1.5m
  4,600/9,478 (49%)  ok=4600 fail=0  elapsed=1.4m  ETA=1.4m
  4,800/9,478 (51%)  ok=4800 fail=0  elapsed=1.4m  ETA=1.4m
  5,000/9,478 (53%)  ok=5000 fail=0  elapsed=1.5m  ETA=1.3m
  5,200/9,478 (55%)  ok=5200 fail=0  elapsed=1.5m  ETA=1.3m
  5,400/9,478 (57%)  ok=5400 fail=0  elapsed=1.6m  ETA=1.2m
  5,600/9,478 (59%)  ok=5600 fail=0  elapsed=1.6m  ETA=1.1m
  5,800/9,478 (61%)  ok=5800 fail=0  elapsed=1.7m  ETA=1.1m
  6,000/9,478 (63%)  ok=6000 fail=0  elapsed=1.8m  ETA=1.0m
  6,200/9,478 (65%)  ok=6200 fail=0  elapsed=1.8m  ETA=1.0m
  6,400/9,478 (68%)  ok=6400 fail=0  elapsed=1.9m  ETA=0.9m
  6,600/9,478 (70%)  ok=6600 fail=0  elapsed=2.0m  ETA=0.9m
  6,800/9,478 (72%)  ok=6800 fail=0  elapsed=2.0m  ETA=0.8m
  7,000/9,478 (74%)  ok=7000 fail=0  elapsed=2.1m  ETA=0.7m
