verdict,variant,err_low,err_high
תפ_639-02-14,baseline (median),1.0,6.0
תפ_33805-05-21,baseline (median),5.0,12.0
תפ_46051-06-15,baseline (median),5.0,6.0
תפ_36120-12-15,baseline (median),1.0,6.0
פל_5568-11-15,baseline (median),3.0,12.0
תפ_51811-03-21,baseline (median),1.0,6.0
תפ_15787-01-17,baseline (median),45.0,66.0
תפ_34823-01-23,baseline (median),6.0,15.0
תפ_44666-10-18,baseline (median),4.0,6.0
תפ_17610-09-15,baseline (median),3.0,10.0
תפ_31647-04-18,baseline (median),0.0,4.0
תפ_54676-12-22,baseline (median),9.0,18.0
תפ_8575-05-12,baseline (median),5.0,16.0
תפ_116-07-16,baseline (median),0.0,4.0
תפ_54068-08-20,baseline (median),5.0,12.0
תפ_36782-07-17,baseline (median),3.0,9.0
תפ_60803-01-19,baseline (median),0.0,6.0
תפ_23459-03-16,baseline (median),9.0,18.0
תפ_40055-03-18,baseline (median),6.0,6.0
תפ_55830-11-18,baseline (median),9.0,14.0
תפ_23710-03-13,baseline (median),9.0,12.0
תפ_67193-02-19,baseline (median),7.0,38.0
תפ_60340-02-17,baseline (median),9.0,16.0
תפ_54723-06-22,baseline (median),3.0,12.0
תפ_42116-04-17,baseline (median),6.0,12.0
תפ_8624-05-19,baseline (median),9.0,18.0
תפ_35202-10-15,baseline (median),19.0,30.0
תפ_37480-02-17,baseline (median),3.0,4.0
תפ_57409-11-18,baseline (median),7.0,14.0
תפ_22722-05-13,baseline (median),3.0,14.0
תפ_41687-01-22,baseline (median),9.0,18.0
תפ_35813-01-22,baseline (median),11.0,18.0
תפ_65684-07-17,baseline (median),9.0,12.0
תפ_14829-07-16,baseline (median),3.0,6.0
תפ_47668-04-18,baseline (median),39.0,72.0
תפ_33804-01-12,baseline (median),3.0,6.0
תפ_16363-02-21,baseline (median),1.0,0.0
תפ_15596-04-19,baseline (median),3.0,12.0
תפ_7086-04-23,baseline (median),5.0,0.0
תפ_45937-12-18,baseline (median),0.0,0.0
תפ_20257-03-23,baseline (median),9.0,16.0
תפ_61370-06-15,baseline (median),3.0,6.0
תפ_39299-11-18,baseline (median),27.0,36.0
תפ_27819-06-21,baseline (median),15.0,24.0
תפ_8960-10-20,baseline (median),15.0,24.0
תפ_27475-05-21,baseline (median),3.0,6.0
תפ_52876-12-23,baseline (median),15.0,24.0
תפ_31134-05-18,baseline (median),21.0,36.0
תפ_27432-10-16,baseline (median),3.0,6.0
תפ_38315-12-15,baseline (median),75.0,108.0
תפ_5496-11-20,baseline (median),4.0,9.0
תפ_39424-11-22,baseline (median),1.0,0.0
תפ_17262-09-22,baseline (median),15.0,24.0
תפ_15963-02-13,baseline (median),3.0,0.0
תפ_49401-08-15,baseline (median),3.0,0.0
תפ_20841-09-15,baseline (median),6.0,16.0
תפ_19464-05-21,baseline (median),21.0,36.0
תפ_53463-08-19,baseline (median),3.0,12.0
תפ_33888-10-14,baseline (median),33.0,42.0
תפ_35790-10-22,baseline (median),3.0,6.0
תפ_63473-06-19,baseline (median),1.0,4.0
תפ_5507-11-14,baseline (median),1.0,0.0
תפ_24379-12-20,baseline (median),2.0,4.0
תפ_59009-05-21,baseline (median),0.0,0.0
תפ_50454-12-12,baseline (median),9.0,12.0
תפ_1515-12-18,baseline (median),9.0,12.0
תפ_42608-12-19,baseline (median),5.0,12.0
תפ_61392-09-16,baseline (median),17.0,26.0
תפ_16980-01-14,baseline (median),3.0,6.0
תפ_15884-08-22,baseline (median),3.0,0.0
תפ_24117-05-22,baseline (median),7.0,16.0
תפ_12480-05-14,baseline (median),3.0,6.0
תפ_48404-07-21,baseline (median),9.0,16.0
תפ_42359-08-18,baseline (median),7.0,12.0
תפ_9380-03-21,baseline (median),2.0,4.0
תפ_1340-10-14,baseline (median),4.0,6.0
תפ_44843-01-19,baseline (median),9.0,14.0
תפ_56842-06-15,baseline (median),6.0,15.0
תפ_33842-02-14,baseline (median),3.0,0.0
תפ_21339-07-21,baseline (median),9.0,16.0
תפ_54673-05-17,baseline (median),5.0,12.0
תפ_1352-08-22,baseline (median),45.0,72.0
תפ_46548-03-17,baseline (median),0.0,6.0
תפ_50689-04-13,baseline (median),3.0,12.0
תפ_9296-07-22,baseline (median),1.0,4.0
תפ_60606-10-20,baseline (median),7.0,11.0
תפ_14578-04-19,baseline (median),13.0,22.0
תפ_45633-05-17,baseline (median),21.0,24.0
תפ_21605-07-13,baseline (median),3.0,6.0
תפ_31909-10-15,baseline (median),9.0,12.0
תפ_48460-03-21,baseline (median),9.0,12.0
תפ_6970-05-22,baseline (median),13.0,22.0
תפ_57778-06-20,baseline (median),3.0,6.0
תפ_5502-10-15,baseline (median),8.0,12.0
תפ_21059-03-16,baseline (median),21.0,24.0
תפ_31387-10-18,baseline (median),1.0,6.0
תפ_50330-07-16,baseline (median),3.0,12.0
תפ_14332-04-20,baseline (median),3.0,2.0
תפ_3201-02-19,baseline (median),1.0,0.0
תפ_52246-06-22,baseline (median),3.0,0.0
תפ_22371-09-21,baseline (median),3.0,12.0
תפ_44352-01-14,baseline (median),3.0,0.0
תפ_68700-11-18,baseline (median),1.0,4.0
תפ_17023-12-18,baseline (median),1.0,0.0
תפ_63596-02-18,baseline (median),1.0,12.0
תפ_1491-03-23,baseline (median),2.0,4.0
תפ_45759-12-17,baseline (median),4.0,14.0
תפ_5434-11-18,baseline (median),1.0,6.0
תפ_43815-01-18,baseline (median),1.0,6.0
תפ_21162-10-19,baseline (median),15.0,24.0
תפ_3717-04-14,baseline (median),3.0,6.0
תפ_49042-02-20,baseline (median),3.0,0.0
תפ_30702-07-20,baseline (median),3.0,6.0
תא_40004-08-18,baseline (median),1.0,6.0
תפ_12167-01-21,baseline (median),8.0,10.0
תפ_12241-08-20,baseline (median),5.0,6.0
תפחע_7212-11-23,baseline (median),231.0,276.0
תפ_63434-06-19,baseline (median),8.0,12.0
תפ_9460-10-19,baseline (median),0.0,6.0
תפ_19601-09-12,baseline (median),4.0,8.0
תפ_56235-06-13,baseline (median),15.0,24.0
תפ_34680-04-13,baseline (median),5.0,10.0
תפ_46325-02-16,baseline (median),11.0,26.0
תפ_53452-10-21,baseline (median),15.0,24.0
תפ_29520-01-21,baseline (median),0.0,6.0
תפ_62222-12-16,baseline (median),9.0,17.0
תפ_21280-11-18,baseline (median),1.0,6.0
תפ_32356-04-22,baseline (median),9.0,6.0
תפ_6322-04-16,baseline (median),9.0,18.0
תפ_26032-04-14,baseline (median),15.0,26.0
תפ_60015-05-22,baseline (median),7.0,8.0
תפ_69278-05-18,baseline (median),9.0,24.0
תפ_34210-08-18,baseline (median),1.0,6.0
תפ_2848-04-19,baseline (median),7.0,6.0
תפ_54257-05-20,baseline (median),15.0,24.0
תפח_63185-07-21,baseline (median),5.0,5.0
תפ_52204-12-21,baseline (median),1.0,4.0
תפ_9343-07-14,baseline (median),3.0,6.0
תפ_39807-03-12,baseline (median),4.0,6.0
תפ_9346-07-12,baseline (median),3.0,0.0
תפ_34829-07-15,baseline (median),1.0,10.0
תפ_39589-07-13,baseline (median),2.0,6.0
תפ_58928-03-15,baseline (median),5.0,16.0
עפ_322-15,baseline (median),0.0,0.0
תפ_12834-03-18,baseline (median),19.0,28.0
תפ_76841-01-23,baseline (median),7.0,12.0
תפ_41061-11-14,baseline (median),9.0,12.0
תפ_60321-05-21,baseline (median),1.0,4.0
תפ_47067-01-16,baseline (median),9.0,12.0
תפ_54026-01-20,baseline (median),3.0,0.0
תפ_45537-07-17,baseline (median),1.0,6.0
תפ_8689-04-21,baseline (median),3.0,6.0
תפ_23520-10-11,baseline (median),2.0,0.0
תפ_9532-10-18,baseline (median),21.0,36.0
תפ_16374-08-19,baseline (median),8.0,18.0
תפ_17778-01-14,baseline (median),9.0,16.0
תפ_28785-07-19,baseline (median),9.0,18.0
תפ_43544-05-21,baseline (median),3.0,6.0
תפ_10140-10-19,baseline (median),4.0,8.0
תפ_27865-11-17,baseline (median),3.0,12.0
תפ_19412-05-18,baseline (median),0.0,4.0
תפ_42276-07-17,baseline (median),11.0,12.0
תפ_30197-04-17,baseline (median),1.0,4.0
תפ_106-12,baseline (median),9.0,21.0
תפ_3766-09-21,baseline (median),0.0,0.0
תפ_7696-05-20,baseline (median),9.0,18.0
תפ_40146-05-21,baseline (median),1.0,6.0
תפ_39593-07-15,baseline (median),1.0,6.0
תפ_5726-02-16,baseline (median),9.0,12.0
תפ_28045-11-18,baseline (median),1.0,4.0
תפ_14449-06-13,baseline (median),3.0,12.0
תפ_19591-11-15,baseline (median),9.0,16.0
תפ_45150-03-20,baseline (median),8.0,16.0
תפ_9308-12-16,baseline (median),9.0,16.0
תפ_48512-04-15,baseline (median),9.0,12.0
תפ_29019-03-10,baseline (median),27.0,84.0
תפ_53049-03-16,baseline (median),3.0,12.0
תפ_58215-01-19,baseline (median),9.0,19.0
תפ_52569-05-16,baseline (median),27.0,32.0
תפ_34581-05-24,baseline (median),11.0,16.0
תפ_32179-09-21,baseline (median),1.0,4.0
תפ_43524-02-20,baseline (median),3.0,12.0
תפ_13373-10-23,baseline (median),15.0,24.0
תפ_21873-05-14,baseline (median),3.0,0.0
תפ_50913-11-21,baseline (median),3.0,6.0
תפ_37546-04-15,baseline (median),3.0,6.0
תפ_17667-07-19,baseline (median),21.0,36.0
תפ_10108-11-21,baseline (median),0.0,6.0
תפ_18327-03-24,baseline (median),9.0,9.0
תפ_25859-10-19,baseline (median),19.0,16.0
תפ_35202-05-15,baseline (median),9.0,12.0
תפ_47168-03-18,baseline (median),8.0,12.0
תפ_36724-02-20,baseline (median),21.0,30.0
תפ_6677-02-21,baseline (median),6.0,12.0
תפ_6047-11-19,baseline (median),5.0,0.0
תפ_25594-07-22,baseline (median),15.0,18.0
תפ_49906-06-14,baseline (median),4.0,12.0
תפ_66547-03-23,baseline (median),9.0,16.0
תפ_17404-07-18,baseline (median),15.0,24.0
תפ_18193-01-11,baseline (median),3.0,12.0
תפ_13939-07-18,baseline (median),4.0,6.0
תפ_7800-05-21,baseline (median),1.0,12.0
תפ_25603-08-15,baseline (median),3.0,12.0
תפ_53090-10-19,baseline (median),11.0,20.0
תפ_62134-03-19,baseline (median),6.0,12.0
תפ_40920-10-20,baseline (median),1.0,6.0
תפ_21126-09-11,baseline (median),1.0,6.0
תפ_42790-07-18,baseline (median),4.0,6.0
