a,b,n,mean_a,mean_b,median_diff,p_raw,winner,p_bh,sig_5pct_bh
baseline (median),v1 sim≥40 lin,1053,15.514,12.021,1.875,0.0,v1 sim≥40 lin,0.0,True
baseline (median),v1 sim≥50 lin,1000,15.145,11.779,1.67,0.0,v1 sim≥50 lin,0.0,True
baseline (median),v1 sim≥70 lin,755,16.09,12.031,2.0,0.0,v1 sim≥70 lin,0.0,True
baseline (median),v3 sim≥50 softmax,1000,15.145,11.55,1.829,0.0,v3 sim≥50 softmax,0.0,True
baseline (median),v3 sim≥60 softmax,948,15.229,11.608,1.714,0.0,v3 sim≥60 softmax,0.0,True
baseline (median),v3 sim≥60 + k≥3,525,13.387,9.082,1.723,0.0,v3 sim≥60 + k≥3,0.0,True
baseline (median),v3 sim≥60 + k≥3 + σ≤Q50,263,6.122,4.702,1.188,1e-06,v3 sim≥60 + k≥3 + σ≤Q50,4e-06,True
baseline (median),v3 sim≥50 + k≥2 + σ≤Q50,387,7.434,6.038,1.095,0.0,v3 sim≥50 + k≥2 + σ≤Q50,0.0,True
v1 sim≥40 lin,v1 sim≥50 lin,1000,11.763,11.779,0.0,0.785959,tie,0.811313,False
v1 sim≥40 lin,v1 sim≥70 lin,755,11.971,12.031,0.0,0.634815,tie,0.709857,False
v1 sim≥40 lin,v3 sim≥50 softmax,1000,11.763,11.55,0.0,0.14635,tie,0.229481,False
v1 sim≥40 lin,v3 sim≥60 softmax,948,11.749,11.608,0.0,0.304583,tie,0.374871,False
v1 sim≥40 lin,v3 sim≥60 + k≥3,525,9.558,9.082,0.142,0.011662,v3 sim≥60 + k≥3,0.028706,True
v1 sim≥40 lin,v3 sim≥60 + k≥3 + σ≤Q50,263,4.767,4.702,0.052,0.559765,v3 sim≥60 + k≥3 + σ≤Q50,0.663425,False
v1 sim≥40 lin,v3 sim≥50 + k≥2 + σ≤Q50,387,5.991,6.038,0.0,0.644833,tie,0.709857,False
v1 sim≥50 lin,v1 sim≥70 lin,755,11.928,12.031,0.0,0.665491,tie,0.709857,False
v1 sim≥50 lin,v3 sim≥50 softmax,1000,11.779,11.55,0.0,0.032349,tie,0.069011,False
v1 sim≥50 lin,v3 sim≥60 softmax,948,11.738,11.608,0.0,0.128317,tie,0.228119,False
v1 sim≥50 lin,v3 sim≥60 + k≥3,525,9.543,9.082,0.111,0.005319,v3 sim≥60 + k≥3,0.014184,True
v1 sim≥50 lin,v3 sim≥60 + k≥3 + σ≤Q50,263,4.809,4.702,0.037,0.23093,v3 sim≥60 + k≥3 + σ≤Q50,0.29559,False
v1 sim≥50 lin,v3 sim≥50 + k≥2 + σ≤Q50,387,6.021,6.038,0.0,0.992723,tie,0.992723,False
v1 sim≥70 lin,v3 sim≥50 softmax,755,12.031,11.538,0.0,0.0002,tie,0.000582,True
v1 sim≥70 lin,v3 sim≥60 softmax,755,12.031,11.548,0.0,7.6e-05,tie,0.000243,True
v1 sim≥70 lin,v3 sim≥60 + k≥3,486,9.798,9.178,0.157,7.3e-05,v3 sim≥60 + k≥3,0.000243,True
v1 sim≥70 lin,v3 sim≥60 + k≥3 + σ≤Q50,233,4.912,4.651,0.01,0.182979,v3 sim≥60 + k≥3 + σ≤Q50,0.243972,False
v1 sim≥70 lin,v3 sim≥50 + k≥2 + σ≤Q50,285,5.869,5.629,0.0,0.145239,tie,0.229481,False
v3 sim≥50 softmax,v3 sim≥60 softmax,948,11.496,11.608,0.0,0.020725,tie,0.047371,True
v3 sim≥50 softmax,v3 sim≥60 + k≥3,525,9.053,9.082,0.0,0.07579,tie,0.15158,False
v3 sim≥50 softmax,v3 sim≥60 + k≥3 + σ≤Q50,263,4.696,4.702,0.0,0.177572,tie,0.243972,False
v3 sim≥50 softmax,v3 sim≥50 + k≥2 + σ≤Q50,387,6.038,6.038,0.0,,tie,,False
v3 sim≥60 softmax,v3 sim≥60 + k≥3,525,9.082,9.082,0.0,,tie,,False
v3 sim≥60 softmax,v3 sim≥60 + k≥3 + σ≤Q50,263,4.702,4.702,0.0,,tie,,False
v3 sim≥60 softmax,v3 sim≥50 + k≥2 + σ≤Q50,379,6.079,6.021,0.0,0.097008,tie,0.182603,False
v3 sim≥60 + k≥3,v3 sim≥60 + k≥3 + σ≤Q50,263,4.702,4.702,0.0,,tie,,False
v3 sim≥60 + k≥3,v3 sim≥50 + k≥2 + σ≤Q50,234,4.638,4.621,0.0,0.161121,tie,0.234358,False
v3 sim≥60 + k≥3 + σ≤Q50,v3 sim≥50 + k≥2 + σ≤Q50,232,4.627,4.609,0.0,0.150597,tie,0.229481,False
