verdict_1,verdict_2,similarity_score,source_batch
תפ_36831-09-13,תפ_5911-11-16,35,main
תפ_21503-07-23,תפ_42164-10-19,35,main
עפ_6029-03,תפ_59971-01-17,80,main
תפ_11545-01-19,תפ_59811-06-20,95,main
תפ_45181-01-14,תפ_48352-05-15,45,main
תפ_44129-09-19,תפ_49305-06-16,80,main
תפ_3526-04-21,תפ_69278-05-18,25,main
תפ_1197-11-21,תפ_30197-04-17,75,main
תפ_51810-03-15,תפ_62794-11-21,15,main
תפ_1506-02-24,תפ_9675-11-17,35,main
תפ_15023-05-20,תפ_60380-03-22,35,main
תפ_34792-10-18,תפ_59971-01-17,20,main
תפ_31736-06-21,תפ_66114-01-23,65,main
תפ_33898-01-22,תפ_59274-02-22,45,main
תפ_46896-11-15,תפ_49875-05-23,28,main
תפ_35202-10-15,תפ_49244-01-22,35,main
תפ_10316-06-13,תפ_49932-08-21,30,main
תפ_24239-05-17,תפ_50970-11-21,20,main
תפ_52569-05-16,תפ_7696-05-20,70,main
תפ_35074-05-17,תפ_40063-03-18,65,main
תפ_14553-12-23,תפ_16540-08-21,30,main
תפ_46315-12-23,תפ_5649-09-21,38,main
תפ_40063-03-18,תפ_60842-12-14,45,main
תפ_46315-12-23,תפ_49293-04-21,45,main
תפ_18203-04-19,תפ_7027-07-19,65,main
תפ_49875-05-23,תפ_49932-08-21,25,main
תפ_1057-05-15,תפ_66982-09-16,35,main
תפ_12834-03-18,תפ_16097-08-21,65,main
תפ_16097-08-21,תפ_2211-11-19,80,main
תפ_13373-10-23,תפ_20538-11-17,65,main
תפ_14615-05-21,תפ_34668-04-22,40,main
תפ_17023-12-18,תפ_49401-08-15,65,main
תפ_14553-12-23,תפ_33666-05-15,20,main
תפ_40892-01-24,תפ_6659-02-21,20,main
תפ_11739-03-21,תפ_26792-04-16,35,main
תפ_31419-11-20,תפ_4488-05-22,35,main
תפ_18846-06-20,תפ_47757-02-18,40,main
תפ_47987-12-22,תפ_51886-02-24,65,main
תפ_23282-05-17,תפ_32174-07-20,28,main
תפ_44422-01-17,תפ_45012-03-20,15,main
תפ_59970-03-19,תפ_71830-10-21,65,main
תפ_28107-06-20,תפ_35074-05-17,55,main
תפ_4460-04-18,תפ_69281-11-20,90,main
תפ_31419-11-20,תפ_43394-11-19,90,main
תפ_43084-09-20,תפ_59971-01-17,20,main
תפ_13236-03-18,תפ_2599-09-17,40,main
תפ_15392-04-17,תפ_32174-07-20,30,main
תפ_16209-03-13,תפ_8123-04-14,65,main
עפ_6029-03,תפ_47757-02-18,15,main
תפ_48983-06-18,תפ_50860-02-20,35,main
תפ_52165-12-17,תפ_6749-09-22,25,main
תפ_13939-07-18,תפ_62134-03-19,65,main
תפ_2599-09-17,תפ_3256-16,25,main
תפ_11739-03-21,תפ_28615-01-22,20,main
תפ_30538-02-19,תפ_3256-16,30,main
תפ_39568-06-21,תפ_65884-10-13,30,main
תפ_27103-01-18,תפ_66306-03-19,35,main
תפ_18320-05-19,תפ_32041-03-21,55,main
תפ_10316-06-13,תפ_1197-11-21,35,main
תפ_23142-09-14,תפ_66982-09-16,18,main
תפ_45480-02-19,תפ_6970-05-22,90,main
תפ_21991-04-20,תפ_58723-03-16,30,main
תפ_24551-06-22,תפ_31746-10-22,30,main
תפ_30678-02-22,תפ_62794-11-21,45,main
תפ_33040-09-24,תפ_44129-09-19,65,main
תפ_48071-01-23,תפ_59009-05-21,55,main
תפ_27992-01-24,תפ_8203-05-23,45,main
תפ_20538-11-17,תפ_65884-10-13,65,main
תפ_26792-04-16,תפ_37495-01-20,65,main
תפ_26709-06-14,תפ_64711-01-19,65,main
תפ_28615-01-22,תפ_34108-01-23,55,main
תפ_57912-07-14,תפ_6659-02-21,10,main
תפ_3256-16,תפ_37551-01-16,70,main
תפ_21355-08-18,תפ_32174-07-20,60,main
תפ_39424-11-22,תפ_5775-02-18,32,main
תפ_6047-11-19,תפ_67473-10-21,35,main
תפ_1127-05-20,תפ_45055-01-22,20,main
תפ_52205-06-22,תפ_53517-08-15,35,main
תפ_2599-09-17,תפ_46896-11-15,65,main
תפ_16097-08-21,תפ_21471-09-22,85,main
תפ_33024-01-18,תפ_8900-11-22,45,main
תפ_35299-09-23,תפ_59329-02-18,35,main
תפ_33916-02-22,תפ_54845-01-19,60,main
תפ_38014-02-22,תפ_46786-01-23,45,main
תפ_16690-05-19,תפ_46039-04-17,65,main
תפ_51886-02-24,תפ_72132-02-19,25,main
תפ_40650-03-22,תפ_59888-08-22,15,main
תפ_17677-04-17,תפ_27735-02-21,90,main
תפ_21991-04-20,תפ_38574-12-18,75,main
תפ_12834-03-18,תפ_37495-01-20,65,main
תפ_23408-05-15,תפ_59329-02-18,28,main
תפ_11220-12-18,תפ_54036-06-19,62,main
תפ_18846-06-20,תפ_47474-01-14,45,main
תפ_3256-16,תפ_6659-02-21,80,main
תפ_36422-07-13,תפ_40063-03-18,25,main
תפ_31276-05-19,תפ_3526-04-21,35,main
תפ_19412-05-18,תפ_54179-08-22,75,main
תפ_38014-02-22,תפ_50860-02-20,55,main
תפ_4632-02-22,תפ_7027-07-19,62,main
תפ_14963-02-23,תפ_36422-07-13,25,main
תפ_15747-08-22,תפ_33439-01-21,20,main
תפ_31425-08-20,תפ_44422-01-17,25,main
תפ_22021-09-22,תפ_4730-11-21,65,main
תפ_47757-02-18,תפ_52145-01-20,35,main
תא_40004-08-18,תפ_9582-10-20,35,main
תפ_24551-06-22,תפ_62070-05-20,35,main
תפ_31419-11-20,תפ_44422-01-17,20,main
תפ_21355-08-18,תפ_54036-06-19,25,main
תפ_34668-04-22,תפ_34866-09-22,55,main
תפ_21384-01-23,תפ_39034-01-18,35,main
תפ_37987-11-23,תפ_44129-09-19,65,main
תפ_40650-03-22,תפ_45055-01-22,40,main
תפ_40892-01-24,תפ_70374-11-20,65,main
תפ_10316-06-13,תפ_25537-07-24,60,main
תפ_49293-04-21,תפ_8900-11-22,45,main
תפ_69278-05-18,תפ_7867-04-22,75,main
תפ_23282-05-17,תפ_47474-01-14,45,main
תפ_6047-11-19,תפ_71830-10-21,58,main
תפ_4730-11-21,תפ_67473-10-21,62,main
תפ_30039-04-20,תפ_34108-01-23,45,main
תפ_26839-11-16,תפ_52145-01-20,35,main
תפ_17715-07-18,תפ_33040-09-24,20,main
תפ_33024-01-18,תפ_48983-06-18,60,main
תפ_15747-08-22,תפ_22021-09-22,25,main
תפ_11739-03-21,תפ_66922-03-22,25,main
תפ_40567-08-16,תפ_47301-07-16,85,main
תפ_17098-06-12,תפ_28107-06-20,20,main
תפ_18203-04-19,תפ_19412-05-18,55,main
תפ_13048-04-21,תפ_14578-04-19,72,main
תפ_49875-05-23,תפ_5775-02-18,40,main
תפ_33439-01-21,תפ_34353-03-17,35,main
תפ_19408-11-14,תפ_48281-08-18,35,main
תפ_6929-10-15,תפ_9860-10-15,65,main
תפ_28234-05-21,תפ_37495-01-20,75,main
תפ_14553-12-23,תפ_66306-03-19,20,main
תפ_21339-07-21,תפ_33024-01-18,35,main
תפ_3526-04-21,תפ_47474-01-14,70,main
תפ_26856-05-16,תפ_32156-02-19,65,main
תפ_24278-11-22,תפ_59888-08-22,45,main
תפ_35389-01-21,תפ_45055-01-22,20,main
תפ_25332-01-18,תפ_3526-04-21,65,main
תפ_31425-08-20,תפ_5391-02-20,25,main
תפ_22464-07-12,תפ_61720-01-23,75,main
תפ_33024-01-18,תפ_50970-11-21,35,main
תפ_1197-11-21,תפ_7027-07-19,65,main
תפ_13749-03-17,תפ_40650-03-22,45,main
תפ_21162-10-19,תפ_32817-12-14,20,main
תפ_48983-06-18,תפ_49875-05-23,28,main
תפ_1990-11-22,תפ_40650-03-22,30,main
תפ_18846-06-20,תפ_41189-09-15,35,main
תפ_19705-09-23,תפ_67471-06-18,65,main
תפ_19827-06-15,תפ_5649-09-21,20,main
תפ_27961-04-18,תפ_33024-01-18,35,main
תפ_25806-05-22,תפ_8203-05-23,35,main
תפ_22021-09-22,תפ_45433-09-17,55,main
תפ_29457-07-16,תפ_33024-01-18,55,main
תפ_59045-12-20,תפ_62794-11-21,45,main
תפ_29832-08-15,תפ_40567-08-16,40,main
תפ_11739-03-21,תפ_25332-01-18,35,main
תפ_47474-01-14,תפ_60842-12-14,45,main
תפ_47668-04-18,תפ_60015-05-22,25,main
תפ_30039-04-20,תפ_34197-11-21,85,main
תפ_50631-06-23,תפ_6322-04-16,60,main
תפ_45048-06-14,תפ_68905-01-24,55,main
תפ_23282-05-17,תפ_5391-02-20,30,main
תפ_15172-01-16,תפ_29401-11-12,85,main
תפ_11370-07-16,תפ_38014-02-22,35,main
