verdict_1,verdict_2,domain,similarity_score,source_batch
תפ_19835-04-13,תפח_30145-08-13,weapon,45,main
תפ_36831-09-13,תפ_5911-11-16,drugs,30,main
תפ_28787-04-22,תפ_35431-03-21,weapon,15,main
תפ_16760-09-22,תפ_63155-05-23,weapon,38,main
תפ_18210-05-23,תפ_31935-12-21,weapon,35,main
תפ_10650-11-21,תפ_1580-11-23,weapon,10,main
תפ_35295-09-23,תפ_58524-11-19,weapon,35,main
תפ_10875-12-21,תפ_21029-10-19,weapon,35,main
תפ_57001-11-21,תפ_59067-10-21,weapon,75,main
תפ_14115-07-19,תפ_7735-04-19,weapon,35,main
תפ_28845-04-22,תפח_17033-01-22,weapon,30,main
תפ_34669-01-23,תפ_58027-12-21,weapon,20,main
תפ_21503-07-23,תפ_42164-10-19,drugs,30,main
תפ_25631-03-22,תפ_52848-09-22,weapon,20,main
עפ_6029-03,תפ_59971-01-17,drugs,55,main
תפ_22417-12-21,תפ_52789-09-22,weapon,28,main
תפ_25639-03-21,תפ_69640-10-18,weapon,45,main
תפ_59422-07-14,תפ_63355-02-23,weapon,0,main
תפ_46108-06-20,תפ_59260-03-16,weapon,25,main
תפ_23648-12-19,תפ_4248-06-16,weapon,30,main
תפ_19759-07-21,תפ_23253-12-15,weapon,30,main
תפ_27277-01-15,תפ_66319-05-20,weapon,65,main
תפ_50626-09-22,תפ_53377-09-22,weapon,25,main
תפ_11545-01-19,תפ_59811-06-20,drugs,25,main
תפ_22417-12-21,תפ_58027-12-21,weapon,30,main
תפ_17304-12-17,תפ_21696-04-20,weapon,25,main
תפ_45181-01-14,תפ_48352-05-15,drugs,30,main
תפ_11104-07-19,תפ_33420-12-20,weapon,30,main
תפ_44129-09-19,תפ_49305-06-16,drugs,20,main
תפ_31334-11-15,תפ_44157-08-16,weapon,25,main
תפ_3910-02-23,תפ_52964-03-22,weapon,75,main
תפ_3526-04-21,תפ_69278-05-18,drugs,30,main
תפ_11104-07-19,תפ_18689-01-17,weapon,30,main
תפ_20477-02-20,תפ_40999-01-21,weapon,35,main
תפ_35843-03-22,תפ_37966-04-23,weapon,25,main
תפ_1197-11-21,תפ_30197-04-17,drugs,70,main
תפ_51810-03-15,תפ_62794-11-21,drugs,20,main
תפ_1631-01-22,תפ_52479-01-18,weapon,25,main
תפ_18912-06-23,תפ_28845-04-22,weapon,70,main
תפ_16996-08-12,תפ_27685-11-15,weapon,38,main
תפ_1589-02-16,תפ_57539-11-15,weapon,28,main
תפ_3531-12-13,תפ_52077-12-20,weapon,85,main
תפ_36287-01-22,תפ_62452-10-20,weapon,65,main
