verdict_1,verdict_2,similarity_score,source_batch
תפ_19835-04-13,תפח_30145-08-13,0,main
תפ_28787-04-22,תפ_35431-03-21,38,main
תפ_16760-09-22,תפ_63155-05-23,68,main
תפ_18210-05-23,תפ_31935-12-21,25,main
תפ_10650-11-21,תפ_1580-11-23,35,main
תפ_35295-09-23,תפ_58524-11-19,75,main
תפ_10875-12-21,תפ_21029-10-19,60,main
תפ_57001-11-21,תפ_59067-10-21,65,main
תפ_14115-07-19,תפ_7735-04-19,45,main
תפ_28845-04-22,תפח_17033-01-22,65,main
תפ_34669-01-23,תפ_58027-12-21,65,main
תפ_25631-03-22,תפ_52848-09-22,75,main
תפ_22417-12-21,תפ_52789-09-22,10,main
תפ_25639-03-21,תפ_69640-10-18,75,main
תפ_59422-07-14,תפ_63355-02-23,30,main
תפ_46108-06-20,תפ_59260-03-16,55,main
תפ_23648-12-19,תפ_4248-06-16,35,main
תפ_19759-07-21,תפ_23253-12-15,40,main
תפ_27277-01-15,תפ_66319-05-20,20,main
תפ_50626-09-22,תפ_53377-09-22,55,main
תפ_22417-12-21,תפ_58027-12-21,18,main
תפ_17304-12-17,תפ_21696-04-20,55,main
תפ_11104-07-19,תפ_33420-12-20,18,main
תפ_31334-11-15,תפ_44157-08-16,25,main
תפ_3910-02-23,תפ_52964-03-22,65,main
תפ_11104-07-19,תפ_18689-01-17,25,main
תפ_20477-02-20,תפ_40999-01-21,0,main
תפ_35843-03-22,תפ_37966-04-23,35,main
תפ_1631-01-22,תפ_52479-01-18,25,main
תפ_18912-06-23,תפ_28845-04-22,35,main
תפ_16996-08-12,תפ_27685-11-15,10,main
תפ_1589-02-16,תפ_57539-11-15,38,main
תפ_3531-12-13,תפ_52077-12-20,28,main
תפ_36287-01-22,תפ_62452-10-20,28,main
תפ_395-05-17,תפ_43009-08-20,65,main
תפ_31862-05-13,תפ_59260-03-16,65,main
תפ_31498-01-16,תפ_37386-11-13,10,main
תפ_40313-09-15,תפ_46737-07-22,35,main
תפ_17856-06-17,תפ_23992-11-21,25,main
תפ_32227-11-20,תפ_46930-03-22,75,main
תפ_17137-11-21,תפ_34694-09-21,35,main
תפ_57001-11-21,תפח_53698-03-17,30,main
תפ_3728-01-15,תפ_40450-09-15,75,main
