verdict,domain,features_json
עפ_1323-13,weapon,"{""offense_number"": ""117(ב)(1), 117(ב)(6), 117(ב)(8), 117(ב)(5), 220, 220(1), 220(4), 220(5), 40ג(א), 40ח, 40יג.ב., 40יג.ג"", ""offense_type"": ""התחמקות מתשלום מס הכנסה ומס ערך מוסף (עבירות מס)."", ""additional_offenses"": ""יש עבירות נוספות מעבר לעבירת הנשק, והן בעיקר עבירות מס הכנסה ומע\""מ, כגון:\n- מסירת ידיעה כוזבת במטרה להתחמק מתשלום מס ערך מוסף (סעיף 117(ב)(1) לחוק מס ערך מוסף).\n- ניהול פנקס חשבונות כוזב (סעיף 117(ב)(6) לחוק מס ערך מוסף).\n- שימוש במרמה או בתחבולה להתחמקות ממס (סעיף 117(ב)(8) לחוק מס ערך מוסף).\n- השמטה מתוך דוח במזיד בכוונה להתחמק מתשלום מס הכנסה (סעיף 220(1) לפקודת מס הכנסה).\n- הכנה, קיום או הרשאה לאחר להכין או לקיים פנקסי חשבונות כוזבים (סעיף 220(4) לפקודת מס הכנסה).\n- שימוש במרמה או תחבולה בכוונה להתחמק ממס (סעיף 220(5) לפקודת מס הכנסה).\n- ניכוי מס תשומות מבלי שיש לגביו מסמך (סעיף 117(ב)(5) לחוק מס ערך מוסף)."", ""pistol"": 0, ""submachine_gun"": 0, ""improvised_submachine_gun"": 0, ""molotov"": 0, ""explosive"": 0, ""tear_gas_grenade"": 0, ""stun_grenade"": 0, ""lau_missile"": 0, ""matador_missile"": 0, ""hunting_rifle"": 0, ""sniper_rifle"": 0, ""improvised_explosive"": 0, ""assault_rifle"": 0, ""improvised_assault_rifle"": 0, ""other_weapon"": null, ""how_obtained"": ""אחר"", ""weapon_status"": ""נשק עם כדור בקנה"", ""ammunition_quantity"": null, ""storage_method"": ""- לא הוזכר נשק בפסק הדין."", ""planning"": ""כן"", ""purpose"": ""בצע כסף"", ""weapon_use"": ""לא"", ""שיטת_ביצוע"": ""הסתרת הכנסות, אי הוצאת חשבוניות, הוצאת חשבוניות חלקיות, ניכוי תשומות פיקטיביות"", ""מסלול"": ""ניהול עסק כעוסק מורשה וחברה, שיתוף פעולה בין נאשמים"", ""שנות_ביצוע"": ""2007-2010"", ""סכום_העלמת_הכנסות"": ""1,005,412₪ + 287,767₪ + 126,000₪"", ""סכום_מע\""מ_שהועלם"": ""138,765₪ + 17,379₪"", ""סכום_חשבוניות_פיקטיביות"": ""328,280₪"", ""סכום_מע\""מ_חשבוניות_פיקטיביות"": ""45,280₪"", ""אמצעי_תקשורת"": ""לא צוין"", ""אופן_התפיסה"": ""לא צוין"", ""מניע"": ""רווח כספי"", ""נסיבות_מיוחדות"": ""שיתוף פעולה בין שני נאשמים, שימוש בחברה וביחיד לביצוע העבירות, העסקת שותף כ'שכיר' לצורך הסוואה""}"
עפ_1505-14,weapon,"{""offense_number"": ""144(א)"", ""offense_type"": ""החזקת נשק"", ""additional_offenses"": ""בעברו הפלילי של הנאשם קיימת הרשעה קודמת בעבירה של החזקת סכין (אגרופן) שלא כדין. מעבר לכך, בעבירה הנוכחית לא צוינו עבירות נוספות פרט לעבירת החזקת נשק שלא כדין. \n\nלכן: עבירות נוספות – החזקת סכין שלא כדין (בעבר). בעבירה הנוכחית – אין."", ""pistol"": 0, ""submachine_gun"": 0, ""improvised_submachine_gun"": 1, ""molotov"": 0, ""explosive"": 0, ""tear_gas_grenade"": 0, ""stun_grenade"": 0, ""lau_missile"": 0, ""matador_missile"": 0, ""hunting_rifle"": 0, ""sniper_rifle"": 0, ""improvised_explosive"": 0, ""assault_rifle"": 0, ""improvised_assault_rifle"": 0, ""other_weapon"": ""מחסנית עם 9 כדורי תחמושת בקליבר 9 מ\""מ"", ""how_obtained"": ""מאחר"", ""weapon_status"": ""נשק עם כדור בקנה"", ""ammunition_quantity"": ""מחסנית ובה 9 כדורי תחמושת"", ""storage_method"": ""ברכב"", ""planning"": ""לא"", ""purpose"": ""תדמית"", ""weapon_use"": ""לא"", ""execution_method"": ""החזקת נשק מוסתר ברכב"", ""time_of_offense"": ""23:30"", ""date_of_offense"": ""27.2.20"", ""location_of_offense"": ""ברכב"", ""weapon_caliber"": ""9 מ\""מ"", ""special_circumstances"": ""החזקה בשעת לילה""}"
עפ_1635-14,weapon,"{""offense_number"": ""סעיף 13, 19א', 498(א)"", ""offense_type"": ""סחר בסם מסוכן, מתן אמצעים לביצוע פשע, סיוע לסחר בסם מסוכן."", ""additional_offenses"": ""יש עבירות נוספות מעבר לעבירת הנשק, והן:\n- סחר בסם מסוכן (סעיף 13 ו-19א' לפקודת הסמים המסוכנים)\n- מתן אמצעים לביצוע פשע (סעיף 498(א) לחוק העונשין)\n- סיוע לסחר בסם מסוכן\n- שימוש פחזני באש (צויין בהקשר של ניכוי ימי מעצר)"", ""pistol"": 0, ""submachine_gun"": 0, ""improvised_submachine_gun"": 0, ""molotov"": 0, ""explosive"": 0, ""tear_gas_grenade"": 0, ""stun_grenade"": 0, ""lau_missile"": 0, ""matador_missile"": 0, ""hunting_rifle"": 0, ""sniper_rifle"": 0, ""improvised_explosive"": 0, ""assault_rifle"": 0, ""improvised_assault_rifle"": 0, ""other_weapon"": ""M-16 (סייע לסחר בנשק)"", ""how_obtained"": ""מאחר"", ""weapon_status"": ""נשק עם כדור בקנה"", ""ammunition_quantity"": null, ""storage_method"": ""- \""אחר\"""", ""planning"": ""כן"", ""purpose"": ""בצע כסף"", ""weapon_use"": ""לא"", ""שיטת_ביצוע"": ""פגישות מתואמות עם סוכן סמוי, תיווך בין צדדים, מסירת סמים בתמורה לכסף"", ""מסלול"": ""פגישה ראשונה לתיאום, מסירת כסף, מסירת סם מאוחר יותר על ידי צד שלישי"", ""שעת_העבירה"": ""שעות הערב"", ""סכום_כספי"": ""150,000 ₪ בכל עסקה"", ""אמצעי_תקשורת"": ""שיחות טלפון, פגישות פרונטליות"", ""אופן_התפיסה"": ""באמצעות סוכן סמוי בפעילות מבוקרת של המשטרה"", ""מניע"": ""רווח כספי"", ""נסיבות_מיוחדות"": ""היכרות מוקדמת בין הסוכן לנאשם, פעילות משטרתית יזומה, מספר נאשמים מעורבים"", ""כמות_סם"": ""כ-500 גרם קוקאין בכל עסקה"", ""מספר_חתיכות_סם"": ""38 ו-51 חתיכות בשתי עסקאות"", ""מקום_ביצוע"": ""אום אל פאחם, כפר סמוך"", ""משך_הפעילות"": ""מאי 2019 עד מאי 2020"", ""סוג_הסוכן"": ""סוכן משטרתי סמוי"", ""אופן_העברת_הסם"": ""באמצעות צד שלישי, לא ישירות מהנאשם לסוכן""}"
עפ_1932-15,weapon,"{""offense_number"": ""7(א), 144(א), 144(ז)"", ""offense_type"": ""החזקת נשק, החזקת סמים מסוכנים שלא לצריכה עצמית"", ""additional_offenses"": ""יש עבירות נוספות מעבר לעבירת הנשק: החזקת סמים מסוכנים שלא לצריכה עצמית לפי סעיף 7(א) ו-(ג) בפקודת הסמים המסוכנים."", ""pistol"": 2, ""submachine_gun"": 0, ""improvised_submachine_gun"": 0, ""molotov"": 0, ""explosive"": 0, ""tear_gas_grenade"": 0, ""stun_grenade"": 0, ""lau_missile"": 0, ""matador_missile"": 0, ""hunting_rifle"": 0, ""sniper_rifle"": 0, ""improvised_explosive"": 0, ""assault_rifle"": 0, ""improvised_assault_rifle"": 0, ""other_weapon"": ""מחסניות ותחמושת לאקדחים"", ""how_obtained"": ""אחר"", ""weapon_status"": ""נשק עם כדור בקנה"", ""ammunition_quantity"": ""2 מחסניות, 17 כדורים"", ""storage_method"": ""- \""בבית\""  \n- \""מוסלק-מוסתר\"""", ""planning"": ""לא"", ""purpose"": ""סכסוך"", ""weapon_use"": ""לא"", ""weapon_type_details"": ""אקדח חצי אוטומטי Ghost Compact 9 מ\""מ, אקדח חצי אוטומטי DDG 9 מ\""מ"", ""weapon_serial_numbers"": ""P101900895, 209066G"", ""storage_location_detail"": ""בתוך תיק בארון מתחת לכיור המטבח"", ""offense_duration"": ""כחודשיים עד 19.9.2022"", ""offense_address"": ""שכונת עזרייה, ירושלים"", ""drugs_type_and_quantity"": ""6,000 טבליות MDMA, 800 גרם קנבוס, 3,000 גרם חשיש"", ""drugs_packaging"": ""מחולקות לאריזות"", ""defendant_birth_year"": 1993, ""defendant_age"": 30, ""arrest_method"": ""לא צוין"", ""offense_time_of_day"": ""לא צוין"", ""communication_means"": ""לא צוין"", ""special_circumstances"": ""החזקה ממושכת של נשק וסמים בכמות מסחרית בבית מגורים""}"
עפ_1987-15,drugs,"{""section_6"": ""לא"", ""section_7"": ""א, ג"", ""section_13"": ""כן"", ""section_14"": ""לא"", ""section_19"": ""א"", ""other_drug_offense"": ""לא"", ""penal_25_attempt"": ""לא"", ""additional_offenses"": ""סעיף 499(א)(1) לחוק העונשין - קשירת קשר לעשות פשע; סעיף 29(א) לחוק העונשין; סעיף 43 לפקודת התעבורה"", ""lsd"": """", ""methamphetamine"": """", ""ayahuasca"": """", ""cathinone"": """", ""ketamine"": """", ""hashish"": """", ""methylmethcathinone"": """", ""cannabis_plants"": """", ""cannabis"": ""[5-גרם, 10-גרם, 5-גרם, 20-גרם, 30.4-גרם, 65.95-גרם, 7-גרם]"", ""mdma"": """", ""cocaine"": """", ""drug_type_quantity_summary"": ""קנבוס במשקלים של 5 גרם, 10 גרם, 5 גרם, 20 גרם, 30.4 גרם, 65.95 גרם ו-7 גרם"", ""laboratory"": ""כן"", ""role"": ""לא בעל הסמים"", ""sold_to_agent"": ""כן"", ""שיטת_ביצוע"": ""העברת פרטי קונים מהסוחר לנאשמת דרך טלגרם, גביית תשלום לפי הנחיות הסוחר, מסירה פיזית של הסם"", ""אמצעי_תקשורת"": ""אפליקציית טלגרם, טלפון"", ""שמות_כיסוי"": ""בילבי, בזוקה"", ""מסלול"": ""קבלת פרטי קונים מהסוחר, תיאום ומסירה פיזית של הסם"", ""שעת_העבירה"": ""לא צוינה, אך באישום ת.פ. 31226-08-20 צוין תיאום לשעה מסוימת במלון"", ""סכום_כספי"": ""[550-₪, 200-₪, 1,200-₪, 5,600-₪]"", ""אופן_התפיסה"": ""מעצר מיד לאחר מסירת הסם לסוכן משטרתי ברכב מונית"", ""מניע"": ""רווח כספי"", ""נסיבות_מיוחדות"": ""שימוש ברכב מונית לביצוע העסקה, מסירת סם באריזות פיצוחים, פעולה בצוותא עם אחרים"", ""עיר_ביצוע"": ""אילת (באישום ת.פ. 31226-08-20)"", ""סוג_רכב"": ""סקודה, מונית"", ""הסתייעות_ברכב"": ""כן""}"
עפ_2283-22,weapon,"{""offense_number"": ""סעיף 144(ב)"", ""offense_type"": ""נשיאה והובלת נשק ותחמושת"", ""additional_offenses"": ""אין עבירות נוספות פרט לעבירת נשיאה והובלת נשק ותחמושת לפי סעיף 144(ב) לחוק העונשין."", ""pistol"": 1, ""submachine_gun"": 0, ""improvised_submachine_gun"": 0, ""molotov"": 0, ""explosive"": 0, ""tear_gas_grenade"": 0, ""stun_grenade"": 0, ""lau_missile"": 0, ""matador_missile"": 0, ""hunting_rifle"": 0, ""sniper_rifle"": 0, ""improvised_explosive"": 0, ""assault_rifle"": 0, ""improvised_assault_rifle"": 0, ""other_weapon"": ""אקדח מסוג TACTICAL טעון במחסנית עם שישה כדורים"", ""how_obtained"": ""מאחר"", ""weapon_status"": ""נשק עם כדור בקנה"", ""ammunition_quantity"": ""מחסנית ובה 6 כדורים"", ""storage_method"": ""- \""ברכב\""\n- \""על גופו\""\n- \""מוסלק-מוסתר\"""", ""planning"": ""לא"", ""purpose"": ""הגנה עצמית"", ""weapon_use"": ""לא"", ""execution_method"": ""הסלקת הנשק בגרב מתחת למכנס"", ""location"": ""כביש 40"", ""time_of_offense"": ""8.5.22 בשעה 14:00"", ""means_of_transport"": ""רכב"", ""apprehension_method"": ""מעצר לאחר מנוסה רגלית מהשוטרים"", ""police_presence"": ""כוח משטרה במקום"", ""escape_attempt"": ""כן"", ""concealment_location"": ""בתחתית רגל שמאל, בגרב מתחת למכנס"", ""immediate_reaction_to_police"": ""יציאה מהרכב ובריחה רגלית"", ""arrest_location"": ""בקרבת מקום לאירוע""}"
עפ_2422-14,weapon,"{""offense_number"": ""סעיף 13, 19א', 25, 40ב', 40ד(א), 40ט', 144(ב2), 40יא', 40יג"", ""offense_type"": ""תיווך בסם, עסקה בנשק, ניסיון לעסקה בנשק"", ""additional_offenses"": ""יש עבירות נוספות מעבר לעבירת הנשק: תיווך בסם ועבירת ניסיון לעסקה בנשק."", ""pistol"": 3, ""submachine_gun"": 2, ""improvised_submachine_gun"": 1, ""molotov"": 0, ""explosive"": 0, ""tear_gas_grenade"": 0, ""stun_grenade"": 0, ""lau_missile"": 0, ""matador_missile"": 0, ""hunting_rifle"": 0, ""sniper_rifle"": 0, ""improvised_explosive"": 0, ""assault_rifle"": 0, ""improvised_assault_rifle"": 0, ""other_weapon"": ""אקדח חצי אוטומט מסוג COLT, תת מקלע מסוג קרל גוסטב, תת מקלע מאולתר"", ""how_obtained"": ""מאחר"", ""weapon_status"": ""נשק עם כדור בקנה"", ""ammunition_quantity"": ""מחסנית טעונה בתשעה כדורים  \nמחסניות (3)  \nכדורים (לא מצוין במפורש במספר, אך במחסנית הטעונה יש 9 כדורים)"", ""storage_method"": ""- \""ברכב\""  \n- \""על גופו\""  \n- \""מוסלק-מוסתר\"" (הסליקה מתחת לחולצה)  \n- \""סמוך לבית\"" (ירי בסמוך לבית הספר)"", ""planning"": ""כן"", ""purpose"": ""בצע כסף"", ""weapon_use"": ""כן-ירי"", ""execution_method"": ""תיווך ומכירה ישירה לסוכן משטרתי"", ""communication_means"": ""טלפון"", ""arrest_method"": ""מעצר במהלך הצגת נשק לבדיקה"", ""crime_time"": ""בערב, סביב השעה 21:00 ובשעות הערב המאוחרות"", ""money_amount"": ""14,000 ₪ עבור אקדח, 15,000 ₪ עבור תת מקלע מאולתר, 10,000 ₪ עבור אקדח נוסף, 2,500 ₪ עבור סם, 200 ₪ דמי תיווך"", ""location"": ""העיר העתיקה ירושלים, כפר סילוואן, צור באהר, ליד בית ספר"", ""special_circumstances"": ""העבירות בוצעו מול סוכן משטרתי"", ""motive"": ""רווח כספי"", ""accomplices"": ""מחמוד נבריסי (בג'עה), עזמי, נאשם 2"", ""weapon_demonstration"": ""הצגת תמונות נשק לשוטר, הצגת נשק פיזית"", ""weapon_test"": ""ירי ליד בית ספר""}"
עפ_2432-15,weapon,"{""offense_number"": ""25, 29, 40טו, 40א, 58, 275, 332א(א), 333, 335א.1, 338(א)(1), 380, 384, 384א(א)(2), 407(ב), 40יג, 413ג, 413ה, 447(א)"", ""offense_type"": ""ניסיון לחבלה חמורה בנסיבות מחמירות, יידוי אבן לעבר כלי תחבורה, הפרעה לשוטר במילוי תפקידו, מעשה פזיזות ורשלנות, תקיפה הגורמת חבלה של ממש, חבלה במזיד ברכב, גניבה בנסיבות מיוחדות, שימוש ברכב ללא רשות, הסגת גבול פלילית, התפרצות"", ""additional_offenses"": ""יש עבירות נוספות מעבר לעבירת הנשק, והן:\n- ניסיון לחבלה חמורה בנסיבות מחמירות\n- יידוי אבן לעבר כלי תחבורה\n- הפרעה לשוטר במילוי תפקידו\n- מעשה פזיזות ורשלנות\n- תקיפה הגורמת חבלה של ממש\n- חבלה במזיד ברכב\n- גניבה בנסיבות מיוחדות\n- שימוש ברכב ללא רשות\n- הסגת גבול פלילית\n- פריצה לבניין שאינו דירה\n- גניבה"", ""pistol"": 0, ""submachine_gun"": 0, ""improvised_submachine_gun"": 0, ""molotov"": 0, ""explosive"": 0, ""tear_gas_grenade"": 0, ""stun_grenade"": 0, ""lau_missile"": 0, ""matador_missile"": 0, ""hunting_rifle"": 0, ""sniper_rifle"": 0, ""improvised_explosive"": 0, ""assault_rifle"": 0, ""improvised_assault_rifle"": 0, ""other_weapon"": ""אבנים"", ""how_obtained"": ""אחר"", ""weapon_status"": ""נשק עם כדור בקנה"", ""ammunition_quantity"": ""2 כדורים, כדור אחד באוויר, כדור נוסף באוויר, כדור אחד לעבר הנאשם"", ""storage_method"": ""- \""על גופו\"""", ""planning"": ""כן"", ""purpose"": ""סכסוך"", ""weapon_use"": ""כן-ירי"", ""שיטת_ביצוע"": ""גניבת רכבים, יידוי אבנים, תקיפה פיזית, פריצה למתקנים"", ""מסלול"": ""מעבר בין מספר אתרים: מעלות תרשיחא, כפר ורדים, קיבוץ געתון, רגבה"", ""שעת_העבירה"": ""06:50-07:01, בוקר"", ""סכום_כספי"": ""4,012 ש\""ח (חלקי מזגן), 100 ליטר סולר, 60 ליטר סולר, ציוד נוסף"", ""אמצעי_תקשורת"": ""טלפון (שיחת דיווח למשטרה)"", ""אופן_התפיסה"": ""ירי שוטר, שימוש בטייזר, מעצר בשטח"", ""מניע"": ""סכסוך, בצע כסף"", ""נסיבות_מיוחדות"": ""איומים בהתאבדות, נהיגה פרועה, תקיפת שוטר, פציעה מירי"", ""רכב_מעורב"": ""סובארו גנוב, טנדר איסוזו גנוב, ניידת משטרה, רכב יונדאי"", ""פציעות"": ""פציעה לראיד חמדאן (שומר), פציעת הנאשם מירי"", ""נזק_רכוש"": ""ניידת משטרה, רכב יונדאי, מעקות ועבודות תשתית"", ""כלי_פריצה"": ""גזירת גדר תיל, שבירת מנעולים"", ""שותפים"": ""אדם נוסף (בשלב גניבת הסובארו)"", ""התנהגות_בזמן_מעצר"": ""התנגדות, תקיפה, ניסיון בריחה""}"
עפ_2482-22,weapon,"{""offense_number"": ""סעיף 144(א), 144(ב)"", ""offense_type"": ""החזקת נשק"", ""additional_offenses"": ""בעברית:  \nבעבירות נוספות אין. הנאשם הורשע בעבירות החזקת נשק בלא רשות לפי סעיף 144(א) רישא לחוק העונשין, ובהחזקת חלק, אביזר או תחמושת שאינם חלק מהותי בנשק לפי סעיף 144(א) סיפא לחוק.  \nלכן, אין עבירות נוספות מעבר לעבירות הנשק."", ""pistol"": 1, ""submachine_gun"": 0, ""improvised_submachine_gun"": 0, ""molotov"": 0, ""explosive"": 0, ""tear_gas_grenade"": 0, ""stun_grenade"": 0, ""lau_missile"": 0, ""matador_missile"": 0, ""hunting_rifle"": 0, ""sniper_rifle"": 0, ""improvised_explosive"": 0, ""assault_rifle"": 0, ""improvised_assault_rifle"": 0, ""other_weapon"": ""מחסנית ריקה אחת תואמת לאקדח, שקית עם קופסת כדורי 9 מ\""מ המכילה 26 כדורים תואמים לאקדח"", ""how_obtained"": ""מצא"", ""weapon_status"": ""נשק עם כדור בקנה"", ""ammunition_quantity"": ""מחסנית ריקה, 26 כדורים"", ""storage_method"": ""- \""בבית\""\n- \""מוסלק-מוסתר\"""", ""planning"": ""לא"", ""purpose"": ""אחר"", ""weapon_use"": ""לא"", ""weapon_type_detail"": ""אקדח חצי אוטומטי מסוג Ghost Compact קליבר 9 מ\""מ פאראבלום"", ""storage_location"": ""כספת סמוכה למיטה בחדר השינה"", ""residence_location"": ""דבורייה"", ""search_time"": ""2:30"", ""search_date"": ""30.10.23"", ""search_basis"": ""חיפוש ע\""פ דין"", ""license_status"": ""ללא רישיון"", ""means_of_concealment"": ""כספת"", ""found_by"": ""משטרה במהלך חיפוש""}"
עפ_2564-19,weapon,"{""offense_number"": ""144(ב), 31, 32, 340א(א), 40יא"", ""offense_type"": ""נשיאה והובלה של נשק; סיוע לעבירות בנשק (נשיאה והובלה)."", ""additional_offenses"": ""יש עבירות נוספות מעבר לעבירת הנשק: סיוע לעבירות בנשק (נשיאה והובלה) לפי סעיף 31 לחוק העונשין."", ""pistol"": 1, ""submachine_gun"": 0, ""improvised_submachine_gun"": 0, ""molotov"": 0, ""explosive"": 0, ""tear_gas_grenade"": 0, ""stun_grenade"": 0, ""lau_missile"": 0, ""matador_missile"": 0, ""hunting_rifle"": 0, ""sniper_rifle"": 0, ""improvised_explosive"": 0, ""assault_rifle"": 0, ""improvised_assault_rifle"": 0, ""other_weapon"": ""אקדח חצי אוטומטי מסוג סטאר"", ""how_obtained"": ""אחר"", ""weapon_status"": ""נשק עם כדור בקנה"", ""ammunition_quantity"": ""מחסנית ריקה"", ""storage_method"": ""- \""ברכב\""\n- \""על גופו\""\n- \""מוסלק-מוסתר\"""", ""planning"": ""לא"", ""purpose"": ""סכסוך"", ""weapon_use"": ""כן-ירי"", ""שיטת_ביצוע"": ""ירי מרכב חולף לעבר בית ולאחר מכן ירי באוויר"", ""מסלול"": ""הגעה לבית, ירי לעבר הבית, המשך נסיעה, ירי באוויר, מנוסה מהמשטרה"", ""שעת_העבירה"": ""סמוך לשעה 03:11 בלילה"", ""אופן_התפיסה"": ""מעצר מיד לאחר השלכת האקדח מתחת למשאית בניסיון להסתירו"", ""אמצעי_תחבורה"": ""רכב טויוטה קורולה"", ""אמצעי_תקשורת"": ""אין"", ""מניע"": ""סכסוך משפחתי בין עימאד לסיראג'"", ""נסיבות_מיוחדות"": ""הירי בוצע בעקבות עימות משפחתי; ניסיון להעלים ראיות על ידי השלכת האקדח"", ""מספר_נאשמים"": 4, ""קשר_בין_הנאשמים"": ""אחים ובני משפחה""}"
