
=== explainability_drugs_gemma4_31b_or.csv — 100/100 rows to annotate
  [1/100] pair=1  F=3 R=3 C=3  (in=1880 cache_r=0 out=202, 0.14 rows/s)
  [2/100] pair=2  F=2 R=3 C=3  (in=1920 cache_r=1134 out=367, 0.12 rows/s)
  [3/100] pair=3  F=3 R=3 C=2  (in=1672 cache_r=1512 out=633, 0.10 rows/s)
  [4/100] pair=4  F=3 R=3 C=3  (in=1585 cache_r=1701 out=258, 0.11 rows/s)
  [5/100] pair=5  F=3 R=3 C=3  (in=1483 cache_r=1815 out=257, 0.11 rows/s)
  [6/100] pair=6  F=3 R=3 C=3  (in=1782 cache_r=1890 out=254, 0.11 rows/s)
  [7/100] pair=7  F=3 R=3 C=3  (in=1944 cache_r=1944 out=269, 0.12 rows/s)
  [8/100] pair=8  F=2 R=3 C=3  (in=1654 cache_r=1985 out=272, 0.12 rows/s)
  [9/100] pair=9  F=3 R=3 C=3  (in=1581 cache_r=2016 out=234, 0.12 rows/s)
  [10/100] pair=10  F=3 R=3 C=3  (in=1680 cache_r=2042 out=227, 0.12 rows/s)
  [11/100] pair=11  F=3 R=3 C=3  (in=1525 cache_r=2062 out=275, 0.13 rows/s)
  [12/100] pair=12  F=3 R=3 C=3  (in=1933 cache_r=2079 out=220, 0.13 rows/s)
  [13/100] pair=13  F=2 R=3 C=2  (in=1894 cache_r=2094 out=284, 0.13 rows/s)
  [14/100] pair=14  F=2 R=3 C=2  (in=1641 cache_r=2106 out=865, 0.12 rows/s)
  [15/100] pair=15  F=3 R=3 C=3  (in=1631 cache_r=2117 out=237, 0.12 rows/s)
  [16/100] pair=16  F=3 R=3 C=3  (in=1641 cache_r=2127 out=218, 0.12 rows/s)
  [17/100] pair=17  F=3 R=3 C=3  (in=1802 cache_r=2135 out=252, 0.12 rows/s)
  [18/100] pair=18  F=3 R=3 C=3  (in=1701 cache_r=2142 out=217, 0.12 rows/s)
  [19/100] pair=19  F=3 R=3 C=3  (in=1419 cache_r=2149 out=227, 0.13 rows/s)
  [20/100] pair=20  F=3 R=3 C=3  (in=1591 cache_r=2155 out=260, 0.13 rows/s)
  [21/100] pair=21  F=3 R=3 C=3  (in=1716 cache_r=2160 out=237, 0.13 rows/s)
  [22/100] pair=22  F=3 R=3 C=3  (in=1577 cache_r=2165 out=240, 0.13 rows/s)
  [23/100] pair=23  F=3 R=3 C=3  (in=1726 cache_r=2170 out=253, 0.13 rows/s)
  [24/100] pair=24  F=3 R=3 C=3  (in=1597 cache_r=2174 out=258, 0.13 rows/s)
  [25/100] pair=25  F=2 R=3 C=3  (in=1360 cache_r=2178 out=264, 0.13 rows/s)
  [26/100] pair=26  F=3 R=3 C=3  (in=1506 cache_r=2181 out=208, 0.13 rows/s)
  [27/100] pair=27  F=3 R=3 C=3  (in=1490 cache_r=2184 out=209, 0.13 rows/s)
  [28/100] pair=28  F=3 R=3 C=3  (in=1640 cache_r=2187 out=241, 0.13 rows/s)
  [29/100] pair=29  F=3 R=3 C=3  (in=1563 cache_r=2190 out=241, 0.13 rows/s)
  [30/100] pair=30  F=3 R=3 C=3  (in=1518 cache_r=2193 out=223, 0.13 rows/s)
  [31/100] pair=31  F=3 R=3 C=3  (in=1770 cache_r=2195 out=222, 0.13 rows/s)
  [32/100] pair=32  F=3 R=3 C=3  (in=1774 cache_r=2198 out=226, 0.13 rows/s)
  [33/100] pair=33  F=3 R=3 C=2  (in=1444 cache_r=2200 out=224, 0.13 rows/s)
  [34/100] pair=34  F=3 R=3 C=2  (in=1691 cache_r=2202 out=287, 0.13 rows/s)
  [35/100] pair=35  F=3 R=3 C=3  (in=1396 cache_r=2204 out=227, 0.13 rows/s)
  [36/100] pair=36  F=3 R=3 C=3  (in=1682 cache_r=2205 out=226, 0.13 rows/s)
  [37/100] pair=37  F=3 R=3 C=3  (in=1792 cache_r=2207 out=222, 0.13 rows/s)
  [38/100] pair=38  F=3 R=3 C=3  (in=1637 cache_r=2209 out=224, 0.13 rows/s)
  [39/100] pair=39  F=3 R=3 C=3  (in=1897 cache_r=2210 out=1086, 0.12 rows/s)
  [40/100] pair=40  F=3 R=3 C=3  (in=1629 cache_r=2212 out=287, 0.12 rows/s)
  [41/100] pair=41  F=3 R=3 C=3  (in=1599 cache_r=2213 out=219, 0.13 rows/s)
  [42/100] pair=42  F=3 R=3 C=3  (in=1689 cache_r=2214 out=230, 0.13 rows/s)
  [43/100] pair=43  F=3 R=3 C=3  (in=1724 cache_r=2216 out=247, 0.13 rows/s)
  [44/100] pair=44  F=3 R=3 C=3  (in=1907 cache_r=2217 out=235, 0.13 rows/s)
  [45/100] pair=45  F=3 R=3 C=3  (in=1487 cache_r=2218 out=229, 0.13 rows/s)
  [46/100] pair=46  F=3 R=3 C=3  (in=1500 cache_r=2219 out=225, 0.13 rows/s)
  [47/100] pair=47  F=3 R=3 C=3  (in=1650 cache_r=2220 out=191, 0.13 rows/s)
  [48/100] pair=48  F=3 R=3 C=3  (in=1506 cache_r=2221 out=209, 0.13 rows/s)
  [49/100] pair=49  F=3 R=3 C=3  (in=1733 cache_r=2222 out=246, 0.13 rows/s)
  [50/100] pair=50  F=3 R=3 C=3  (in=1630 cache_r=2223 out=251, 0.13 rows/s)
  [51/100] pair=51  F=3 R=3 C=3  (in=1572 cache_r=2224 out=229, 0.13 rows/s)
  [52/100] pair=52  F=3 R=3 C=3  (in=1599 cache_r=2225 out=224, 0.13 rows/s)
