n,QWK_scale,C_index,Spearman,AP_strict,AP_lenient,F1_strict_oracle,F1_lenient_oracle,F1_strict_t50,F1_lenient_t50,model,rep,domain
100,0.7458973001588142,0.9073482428115016,0.7414593295593125,0.9190797103523479,0.8711061289740848,0.8611111111106114,0.8124999999995008,0.8533333333333334,0.7777777777777778,claude_sonnet_4_6,facts,drugs
141,0.604770894113609,0.8926135256285325,0.6816291584540958,0.7577517765765983,0.8495155543567791,0.7526881720425108,0.7758620689650244,0.7526881720430108,0.7678571428571429,claude_sonnet_4_6,facts,weapon
99,0.5676383884703571,0.87481426448737,0.6705366642695545,0.8615180630236261,0.8281798267091517,0.7999999999995001,0.7563025210079161,0.7692307692307693,0.65,claude_sonnet_4_6,fe_gpt_schema,drugs
140,0.42816163631828386,0.8300533005330053,0.5495034542094103,0.6795886815311886,0.7783957911850274,0.6172839506167932,0.7225806451608033,0.5714285714285714,0.5833333333333334,claude_sonnet_4_6,fe_gpt_schema,weapon
100,0.6843549862763038,0.8959133775759692,0.7220559874355028,0.8875604922482988,0.8475460531024293,0.8571428571423612,0.796296296295799,0.8533333333333334,0.7777777777777778,claude_sonnet_4_6,gpt_free,drugs
140,0.5467845358899334,0.9094618224208276,0.7169588920255918,0.710170152574343,0.8489229303220349,0.7766990291257192,0.8243243243238317,0.723404255319149,0.7433628318584071,claude_sonnet_4_6,gpt_free,weapon
99,0.6814076611647462,0.8783638320775027,0.6975731367984587,0.9046807865023763,0.8592399167143081,0.8235294117642064,0.7916666666661667,0.8148148148148148,0.7789473684210526,claude_sonnet_4_6,gpt_law,drugs
141,0.5366553145725039,0.8649505689237083,0.6500149681903609,0.7397877238921342,0.8260458430167562,0.6972477064215304,0.7843137254897072,0.6382978723404256,0.6902654867256637,claude_sonnet_4_6,gpt_law,weapon
100,0.7927736450584484,0.9445817154959407,0.8042685710833632,0.9284707668474343,0.9027715453440157,0.8974358974354026,0.8602150537629436,0.8947368421052632,0.8351648351648352,claude_sonnet_4_6,hybrid_full_gpt,drugs
141,0.48874718679669926,0.9061723676667304,0.7076230267502946,0.7347286749439357,0.8270056109862232,0.773584905659886,0.8159999999995007,0.7126436781609196,0.6792452830188679,claude_sonnet_4_6,hybrid_full_gpt,weapon
100,0.7380352644836272,0.9262122276879832,0.7764841589087988,0.9279719953148513,0.8930409920412548,0.8767123287666241,0.8453608247417685,0.8767123287671232,0.7954545454545454,claude_sonnet_4_6,hybrid_manual_gpt,drugs
141,0.4863863678458974,0.8921780043128799,0.6700275956111856,0.7152901768799963,0.8257670654571365,0.7058823529406812,0.7922077922073043,0.6896551724137931,0.6981132075471698,claude_sonnet_4_6,hybrid_manual_gpt,weapon
100,0.7884416924664603,0.9378274537198743,0.7972000229045385,0.9540456640224757,0.9119234926084241,0.8955223880592024,0.8085106382973744,0.8888888888888888,0.8045977011494253,claude_sonnet_4_6,manual_fe,drugs
141,0.5532152842497671,0.93921139101862,0.7862027544131589,0.8256534536386848,0.9023296866985671,0.8080808080803105,0.8787878787873789,0.75,0.7289719626168224,claude_sonnet_4_6,manual_fe,weapon
75,0.7373540856031129,0.9466840052015605,0.8083137899570946,0.9591759136920428,0.9507533370691266,0.9180327868847461,0.9142857142852159,0.9180327868852459,0.8955223880597015,gemini_25_pro,manual_fe,drugs
100,0.688295165394402,0.9077821011673152,0.683909280994009,0.7889805619217384,0.8090795008912655,0.782608695651674,0.7999999999995041,0.7157894736842105,0.8,gemma3_27b,facts,drugs
141,0.5933376595284447,0.8971243418388012,0.6650055364076954,0.6557928924398633,0.7878284749201191,0.7192982456135536,0.7924528301881959,0.7192982456140351,0.7669172932330827,gemma3_27b,facts,weapon
100,0.694850603941513,0.9266365688487584,0.7414956014566568,0.8650989997958768,0.8565246646427626,0.8533333333328355,0.7999999999995061,0.660377358490566,0.7603305785123967,gemma3_27b,fe_gpt_schema,drugs
141,0.42998897464167585,0.807199100112486,0.46753475456240434,0.5678393669188414,0.6830611907315024,0.5534591194964441,0.6966292134826823,0.5528455284552846,0.6901408450704225,gemma3_27b,fe_gpt_schema,weapon
100,0.7578534031413613,0.9349925705794948,0.7607163263979239,0.893093026684358,0.8636034206271805,0.83544303797419,0.8037383177565115,0.8354430379746836,0.7872340425531915,gemma3_27b,gpt_free,drugs
141,0.3918669131238447,0.8430280528052805,0.5729219215907282,0.567870648260496,0.7425295377661187,0.6611570247929172,0.7571428571423595,0.5934065934065934,0.6727272727272727,gemma3_27b,gpt_free,weapon
100,0.6657929226736565,0.889633425305479,0.6529458235416898,0.8118990005822369,0.7735757674773037,0.8181818181813201,0.7387387387382436,0.7083333333333334,0.7387387387387387,gemma3_27b,gpt_law,drugs
141,0.48375042464047113,0.8639930252833479,0.5818058160012904,0.5836567034996105,0.7287897695660268,0.6515151515146973,0.7763157894731947,0.6428571428571429,0.732824427480916,gemma3_27b,gpt_law,weapon
100,0.8079470198675497,0.9562238294632661,0.7816199297468069,0.8741961741961741,0.8626656579288159,0.8196721311470518,0.8461538461533469,0.7865168539325843,0.8461538461538461,gemma3_27b,hybrid_full_gpt,drugs
141,0.5394257064721969,0.8815084636811656,0.6176202001720988,0.58495704355552,0.7606971267637272,0.6722689075625509,0.7826086956516756,0.6722689075630253,0.782608695652174,gemma3_27b,hybrid_full_gpt,weapon
100,0.7859531772575251,0.9611132291269538,0.7810875644343427,0.8758073344280242,0.8575478927203065,0.8387096774188632,0.8148148148143174,0.7526881720430108,0.8148148148148148,gemma3_27b,hybrid_manual_gpt,drugs
141,0.4522635589421784,0.8171975848428066,0.5282792483411735,0.5455126908956496,0.7056874669877766,0.6379310344822801,0.7560975609751311,0.6379310344827587,0.7407407407407407,gemma3_27b,hybrid_manual_gpt,weapon
100,0.7537265068049255,0.952223447262036,0.7885442142295944,0.8957562358276644,0.8755852258852259,0.8732394366192184,0.8070175438591567,0.693069306930693,0.7931034482758621,gemma3_27b,manual_fe,drugs
141,0.5099061522419187,0.8505550811272417,0.5583176084318896,0.5844268739315832,0.7077747897282756,0.6370370370365878,0.7741935483866097,0.6323529411764706,0.7741935483870968,gemma3_27b,manual_fe,weapon
100,0.7074235807860262,0.9187478016180092,0.7563977632186849,0.8748430701919074,0.8709383158383085,0.8607594936703926,0.8297872340420551,0.8607594936708861,0.8297872340425532,gemma4_31b_or,facts,drugs
141,0.5847099500576258,0.9011893870082343,0.7267138401990667,0.7682918322876376,0.8773338890313964,0.7818181818176951,0.8527131782940736,0.7291666666666666,0.7652173913043478,gemma4_31b_or,facts,weapon
100,0.7612588171459577,0.9325197415649676,0.7693162308860507,0.9036199123029602,0.8884107605339624,0.8648648648643662,0.8155339805820246,0.8648648648648649,0.8089887640449438,gemma4_31b_or,fe_gpt_schema,drugs
141,0.4654872847891327,0.8084696823869105,0.5316483872668588,0.6537222600266078,0.7580270271039501,0.5890410958899793,0.751515151514674,0.5833333333333334,0.6434782608695652,gemma4_31b_or,fe_gpt_schema,weapon
100,0.6627197703623968,0.9138589788120876,0.7524219553762406,0.8822341599449998,0.8594663191826102,0.868421052631082,0.8297872340420551,0.868421052631579,0.7912087912087912,gemma4_31b_or,gpt_free,drugs
141,0.4779380177968702,0.8763899184581171,0.6746129767395865,0.6928089107430708,0.8442954007153081,0.7128712871282168,0.7971014492748639,0.6352941176470588,0.6538461538461539,gemma4_31b_or,gpt_free,weapon
