rep,domain,QWK_scale,C_index,Spearman,AP_strict,AP_lenient,F1_strict_oracle,F1_lenient_oracle,F1_strict_t50,F1_lenient_t50
facts,drugs,0.7066303178939565,0.9109962351489945,0.7357278391217605,0.874757445300883,0.8586220024006175,0.8544015973826226,0.8219555794581364,0.7726685759454385,0.8001953203544921
facts,weapon,0.624290076251464,0.8982380349461214,0.6995179876889377,0.7374027643472088,0.8470256137289316,0.7540385587647656,0.8107992812872629,0.7061445202763095,0.7764120246232014
fe_gpt_schema,drugs,0.6907492839804542,0.9098645076800757,0.7316015685508408,0.8685772841077062,0.8664715091641793,0.8334949073837226,0.8038942092846784,0.7276121802635073,0.781924798755522
fe_gpt_schema,weapon,0.47010177981100004,0.8214059668309119,0.5421252831156051,0.640117155898051,0.7589555802890748,0.6119045345053039,0.7328010572729581,0.5871295994749719,0.6891604934464116
gpt_free,drugs,0.7123814847196884,0.9158941272390834,0.7566495005949092,0.9115089413886409,0.8771434970299803,0.8744909010129281,0.8169592055217654,0.8259892614638159,0.7925538521335681
gpt_free,weapon,0.5363532584525555,0.8718933436825449,0.6577307470660326,0.6900595869227736,0.8285483962753634,0.7254492614897928,0.78890663591204,0.6913904521584078,0.7372988088607557
gpt_law,drugs,0.6895899383737869,0.8929681141172512,0.7146214565075746,0.8941024573421853,0.8530576211480057,0.8562643345397961,0.7869339700411405,0.7319163535137918,0.7634983101694739
gpt_law,weapon,0.5970079074236287,0.8787854454004921,0.6591251676925141,0.7061716589196636,0.8158883318068431,0.729528137305424,0.7927368092849767,0.6892457843585783,0.763412077536754
hybrid_full_gpt,drugs,0.7601360797521376,0.9359442015660604,0.7889168659335575,0.9217737790031872,0.8881011938632618,0.8805920529470361,0.8377611575628275,0.8075994146957703,0.819123406503899
hybrid_full_gpt,weapon,0.6166691698622018,0.9126228941147833,0.71958999636521,0.749582538101772,0.8522414720918293,0.756908030311551,0.8230649366979347,0.7156196871648832,0.7803957478330446
hybrid_manual_gpt,drugs,0.7455669961159723,0.9312103802040393,0.7784606936699687,0.923128847117519,0.8902477754619829,0.8745518009128781,0.8262066468123876,0.7891705363386263,0.8073713092483588
hybrid_manual_gpt,weapon,0.5806175360534467,0.8939026146067031,0.6868806206674304,0.732071290275536,0.8364581771902819,0.7209798937923761,0.8049838831179018,0.6867125245141836,0.7607854090354269
manual_fe,drugs,0.772925913208902,0.9399398996282186,0.7979127689399461,0.9442530175509776,0.9116308766850049,0.9048638977032171,0.8381216115324128,0.7819996635286364,0.8122859375929737
manual_fe,weapon,0.6460998145278989,0.9139202060347656,0.7262816872864775,0.7788291123494915,0.8561066473841663,0.7650982166153197,0.832533977439335,0.7048870821057986,0.7903541547054069
