domain,rep_a,rep_b,metric,n_models,mean_a,mean_b,diff_a_minus_b,wilcoxon_W,p_value,p_fdr_bh,sig_005
drugs,facts,fe_gpt_schema,AP_strict,8,0.874757445300883,0.8685772841077062,0.00618016119317677,18.0,1.0,1.0,False
drugs,facts,gpt_free,AP_strict,8,0.874757445300883,0.911508941388641,-0.03675149608775807,5.0,0.078125,0.12620192307692307,False
drugs,facts,gpt_law,AP_strict,8,0.874757445300883,0.8941024573421853,-0.019345012041302345,8.0,0.1953125,0.25634765625,False
drugs,facts,hybrid_full_gpt,AP_strict,8,0.874757445300883,0.9217737790031872,-0.04701633370230429,3.0,0.0390625,0.07457386363636363,False
drugs,facts,hybrid_manual_gpt,AP_strict,8,0.874757445300883,0.923128847117519,-0.04837140181663602,1.0,0.015625,0.041015625,True
drugs,facts,manual_fe,AP_strict,8,0.874757445300883,0.9423876555333444,-0.06763021023246141,0.0,0.0078125,0.02734375,True
drugs,fe_gpt_schema,gpt_free,AP_strict,8,0.8685772841077062,0.911508941388641,-0.04293165728093484,2.0,0.0234375,0.049218750000000006,True
drugs,fe_gpt_schema,gpt_law,AP_strict,8,0.8685772841077062,0.8941024573421853,-0.025525173234479115,8.0,0.1953125,0.25634765625,False
drugs,fe_gpt_schema,hybrid_full_gpt,AP_strict,8,0.8685772841077062,0.9217737790031872,-0.05319649489548106,0.0,0.0078125,0.02734375,True
drugs,fe_gpt_schema,hybrid_manual_gpt,AP_strict,8,0.8685772841077062,0.923128847117519,-0.05455156300981279,0.0,0.0078125,0.02734375,True
drugs,fe_gpt_schema,manual_fe,AP_strict,8,0.8685772841077062,0.9423876555333444,-0.07381037142563818,0.0,0.0078125,0.02734375,True
drugs,gpt_free,gpt_law,AP_strict,8,0.911508941388641,0.8941024573421853,0.017406484046455728,12.0,0.4609375,0.5094572368421053,False
drugs,gpt_free,hybrid_full_gpt,AP_strict,8,0.911508941388641,0.9217737790031872,-0.010264837614546218,11.0,0.3828125,0.44661458333333337,False
drugs,gpt_free,hybrid_manual_gpt,AP_strict,8,0.911508941388641,0.923128847117519,-0.011619905728877944,10.0,0.3125,0.3860294117647059,False
drugs,gpt_free,manual_fe,AP_strict,8,0.911508941388641,0.9423876555333444,-0.030878714144703334,4.0,0.0546875,0.095703125,False
drugs,gpt_law,hybrid_full_gpt,AP_strict,8,0.8941024573421853,0.9217737790031872,-0.027671321661001946,2.0,0.0234375,0.049218750000000006,True
drugs,gpt_law,hybrid_manual_gpt,AP_strict,8,0.8941024573421853,0.923128847117519,-0.029026389775333672,0.0,0.0078125,0.02734375,True
drugs,gpt_law,manual_fe,AP_strict,8,0.8941024573421853,0.9423876555333444,-0.04828519819115906,0.0,0.0078125,0.02734375,True
drugs,hybrid_full_gpt,hybrid_manual_gpt,AP_strict,8,0.9217737790031872,0.923128847117519,-0.0013550681143317256,15.0,0.7421875,0.779296875,False
drugs,hybrid_full_gpt,manual_fe,AP_strict,8,0.9217737790031872,0.9423876555333444,-0.020613876530157116,7.0,0.1484375,0.22265625,False
drugs,hybrid_manual_gpt,manual_fe,AP_strict,8,0.923128847117519,0.9423876555333444,-0.01925880841582539,1.0,0.015625,0.041015625,True
weapon,facts,fe_gpt_schema,AP_strict,8,0.7374027643472088,0.640117155898051,0.09728560844915779,0.0,0.0078125,0.0205078125,True
weapon,facts,gpt_free,AP_strict,8,0.7374027643472088,0.6900595869227735,0.04734317742443528,0.0,0.0078125,0.0205078125,True
weapon,facts,gpt_law,AP_strict,8,0.7374027643472088,0.7061716589196636,0.031231105427545147,1.0,0.015625,0.02734375,True
weapon,facts,hybrid_full_gpt,AP_strict,8,0.7374027643472088,0.749582538101772,-0.01217977375456325,13.0,0.546875,0.57421875,False
weapon,facts,hybrid_manual_gpt,AP_strict,8,0.7374027643472088,0.732071290275536,0.0053314740716727815,17.0,0.9453125,0.9453125,False
weapon,facts,manual_fe,AP_strict,8,0.7374027643472088,0.7788291123494915,-0.04142634800228273,7.0,0.1484375,0.18336397058823528,False
weapon,fe_gpt_schema,gpt_free,AP_strict,8,0.640117155898051,0.6900595869227735,-0.04994243102472251,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,gpt_law,AP_strict,8,0.640117155898051,0.7061716589196636,-0.06605450302161264,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,hybrid_full_gpt,AP_strict,8,0.640117155898051,0.749582538101772,-0.10946538220372104,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,hybrid_manual_gpt,AP_strict,8,0.640117155898051,0.732071290275536,-0.09195413437748501,1.0,0.015625,0.02734375,True
weapon,fe_gpt_schema,manual_fe,AP_strict,8,0.640117155898051,0.7788291123494915,-0.13871195645144052,0.0,0.0078125,0.0205078125,True
weapon,gpt_free,gpt_law,AP_strict,8,0.6900595869227735,0.7061716589196636,-0.01611207199689013,7.0,0.1484375,0.18336397058823528,False
weapon,gpt_free,hybrid_full_gpt,AP_strict,8,0.6900595869227735,0.749582538101772,-0.05952295117899853,1.0,0.015625,0.02734375,True
weapon,gpt_free,hybrid_manual_gpt,AP_strict,8,0.6900595869227735,0.732071290275536,-0.0420117033527625,3.0,0.0390625,0.06310096153846154,False
weapon,gpt_free,manual_fe,AP_strict,8,0.6900595869227735,0.7788291123494915,-0.08876952542671801,0.0,0.0078125,0.0205078125,True
weapon,gpt_law,hybrid_full_gpt,AP_strict,8,0.7061716589196636,0.749582538101772,-0.0434108791821084,5.0,0.078125,0.1171875,False
weapon,gpt_law,hybrid_manual_gpt,AP_strict,8,0.7061716589196636,0.732071290275536,-0.025899631355872366,10.0,0.3125,0.34539473684210525,False
weapon,gpt_law,manual_fe,AP_strict,8,0.7061716589196636,0.7788291123494915,-0.07265745342982788,0.0,0.0078125,0.0205078125,True
weapon,hybrid_full_gpt,hybrid_manual_gpt,AP_strict,8,0.749582538101772,0.732071290275536,0.01751124782623603,9.0,0.25,0.2916666666666667,False
weapon,hybrid_full_gpt,manual_fe,AP_strict,8,0.749582538101772,0.7788291123494915,-0.02924657424771948,7.0,0.1484375,0.18336397058823528,False
weapon,hybrid_manual_gpt,manual_fe,AP_strict,8,0.732071290275536,0.7788291123494915,-0.04675782207395551,1.0,0.015625,0.02734375,True
drugs,facts,fe_gpt_schema,AP_lenient,8,0.8586220024006175,0.8664715091641793,-0.007849506763561775,14.0,0.640625,0.6726562500000001,False
drugs,facts,gpt_free,AP_lenient,8,0.8586220024006175,0.8771434970299803,-0.01852149462936281,7.0,0.1484375,0.23978365384615383,False
drugs,facts,gpt_law,AP_lenient,8,0.8586220024006175,0.8530576211480057,0.0055643812526118275,13.0,0.546875,0.6044407894736842,False
drugs,facts,hybrid_full_gpt,AP_lenient,8,0.8586220024006175,0.8881011938632618,-0.029479191462644327,4.0,0.0546875,0.10440340909090909,False
drugs,facts,hybrid_manual_gpt,AP_lenient,8,0.8586220024006175,0.8902477754619829,-0.03162577306136538,0.0,0.0078125,0.0234375,True
drugs,facts,manual_fe,AP_lenient,8,0.8586220024006175,0.9067405691369899,-0.04811856673637238,0.0,0.0078125,0.0234375,True
drugs,fe_gpt_schema,gpt_free,AP_lenient,8,0.8664715091641793,0.8771434970299803,-0.010671987865801036,13.0,0.546875,0.6044407894736842,False
drugs,fe_gpt_schema,gpt_law,AP_lenient,8,0.8664715091641793,0.8530576211480057,0.013413888016173603,13.0,0.546875,0.6044407894736842,False
drugs,fe_gpt_schema,hybrid_full_gpt,AP_lenient,8,0.8664715091641793,0.8881011938632618,-0.021629684699082552,6.0,0.109375,0.19140625,False
drugs,fe_gpt_schema,hybrid_manual_gpt,AP_lenient,8,0.8664715091641793,0.8902477754619829,-0.023776266297803605,0.0,0.0078125,0.0234375,True
drugs,fe_gpt_schema,manual_fe,AP_lenient,8,0.8664715091641793,0.9067405691369899,-0.040269059972810606,0.0,0.0078125,0.0234375,True
drugs,gpt_free,gpt_law,AP_lenient,8,0.8771434970299803,0.8530576211480057,0.02408587588197464,9.0,0.25,0.375,False
drugs,gpt_free,hybrid_full_gpt,AP_lenient,8,0.8771434970299803,0.8881011938632618,-0.010957696833281516,12.0,0.4609375,0.6044407894736842,False
drugs,gpt_free,hybrid_manual_gpt,AP_lenient,8,0.8771434970299803,0.8902477754619829,-0.01310427843200257,10.0,0.3125,0.4375,False
drugs,gpt_free,manual_fe,AP_lenient,8,0.8771434970299803,0.9067405691369899,-0.02959707210700957,1.0,0.015625,0.036458333333333336,True
drugs,gpt_law,hybrid_full_gpt,AP_lenient,8,0.8530576211480057,0.8881011938632618,-0.035043572715256155,1.0,0.015625,0.036458333333333336,True
drugs,gpt_law,hybrid_manual_gpt,AP_lenient,8,0.8530576211480057,0.8902477754619829,-0.03719015431397721,0.0,0.0078125,0.0234375,True
drugs,gpt_law,manual_fe,AP_lenient,8,0.8530576211480057,0.9067405691369899,-0.05368294798898421,0.0,0.0078125,0.0234375,True
drugs,hybrid_full_gpt,hybrid_manual_gpt,AP_lenient,8,0.8881011938632618,0.8902477754619829,-0.0021465815987210535,15.0,0.7421875,0.7421875,False
drugs,hybrid_full_gpt,manual_fe,AP_lenient,8,0.8881011938632618,0.9067405691369899,-0.018639375273728054,3.0,0.0390625,0.08203125,False
drugs,hybrid_manual_gpt,manual_fe,AP_lenient,8,0.8902477754619829,0.9067405691369899,-0.016492793675007,0.0,0.0078125,0.0234375,True
weapon,facts,fe_gpt_schema,AP_lenient,8,0.8470256137289316,0.758955580289075,0.08807003343985664,0.0,0.0078125,0.0205078125,True
weapon,facts,gpt_free,AP_lenient,8,0.8470256137289316,0.8285483962753634,0.01847721745356823,0.0,0.0078125,0.0205078125,True
weapon,facts,gpt_law,AP_lenient,8,0.8470256137289316,0.8158883318068431,0.031137281922088533,1.0,0.015625,0.036458333333333336,True
weapon,facts,hybrid_full_gpt,AP_lenient,8,0.8470256137289316,0.8522414720918293,-0.0052158583628977295,16.0,0.84375,0.84375,False
weapon,facts,hybrid_manual_gpt,AP_lenient,8,0.8470256137289316,0.8364581771902819,0.010567436538649666,13.0,0.546875,0.6044407894736842,False
weapon,facts,manual_fe,AP_lenient,8,0.8470256137289316,0.8561066473841663,-0.009081033655234716,12.0,0.4609375,0.5693933823529411,False
weapon,fe_gpt_schema,gpt_free,AP_lenient,8,0.758955580289075,0.8285483962753634,-0.06959281598628841,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,gpt_law,AP_lenient,8,0.758955580289075,0.8158883318068431,-0.05693275151776811,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,hybrid_full_gpt,AP_lenient,8,0.758955580289075,0.8522414720918293,-0.09328589180275437,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,hybrid_manual_gpt,AP_lenient,8,0.758955580289075,0.8364581771902819,-0.07750259690120698,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,manual_fe,AP_lenient,8,0.758955580289075,0.8561066473841663,-0.09715106709509136,0.0,0.0078125,0.0205078125,True
weapon,gpt_free,gpt_law,AP_lenient,8,0.8285483962753634,0.8158883318068431,0.012660064468520305,3.0,0.0390625,0.07457386363636363,False
weapon,gpt_free,hybrid_full_gpt,AP_lenient,8,0.8285483962753634,0.8522414720918293,-0.02369307581646596,4.0,0.0546875,0.095703125,False
weapon,gpt_free,hybrid_manual_gpt,AP_lenient,8,0.8285483962753634,0.8364581771902819,-0.007909780914918563,13.0,0.546875,0.6044407894736842,False
weapon,gpt_free,manual_fe,AP_lenient,8,0.8285483962753634,0.8561066473841663,-0.027558251108802945,6.0,0.109375,0.1640625,False
weapon,gpt_law,hybrid_full_gpt,AP_lenient,8,0.8158883318068431,0.8522414720918293,-0.03635314028498626,0.0,0.0078125,0.0205078125,True
weapon,gpt_law,hybrid_manual_gpt,AP_lenient,8,0.8158883318068431,0.8364581771902819,-0.020569845383438867,7.0,0.1484375,0.20781249999999998,False
weapon,gpt_law,manual_fe,AP_lenient,8,0.8158883318068431,0.8561066473841663,-0.04021831557732325,3.0,0.0390625,0.07457386363636363,False
weapon,hybrid_full_gpt,hybrid_manual_gpt,AP_lenient,8,0.8522414720918293,0.8364581771902819,0.015783294901547396,9.0,0.25,0.328125,False
weapon,hybrid_full_gpt,manual_fe,AP_lenient,8,0.8522414720918293,0.8561066473841663,-0.0038651752923369864,15.0,0.7421875,0.779296875,False
weapon,hybrid_manual_gpt,manual_fe,AP_lenient,8,0.8364581771902819,0.8561066473841663,-0.019648470193884382,5.0,0.078125,0.12620192307692307,False
drugs,facts,fe_gpt_schema,QWK_scale,8,0.7066303178939565,0.6907492839804543,0.01588103391350215,18.0,1.0,1.0,False
drugs,facts,gpt_free,QWK_scale,8,0.7066303178939565,0.7123814847196885,-0.005751166825732068,15.0,0.7421875,0.779296875,False
drugs,facts,gpt_law,QWK_scale,8,0.7066303178939565,0.6895899383737869,0.01704037952016957,9.0,0.25,0.35,False
drugs,facts,hybrid_full_gpt,QWK_scale,8,0.7066303178939565,0.7601360797521376,-0.05350576185818112,4.0,0.0546875,0.10440340909090909,False
drugs,facts,hybrid_manual_gpt,QWK_scale,8,0.7066303178939565,0.7455669961159723,-0.03893667822201585,7.0,0.1484375,0.23978365384615383,False
drugs,facts,manual_fe,QWK_scale,8,0.7066303178939565,0.7773723916596256,-0.0707420737656691,0.0,0.0078125,0.0546875,False
drugs,fe_gpt_schema,gpt_free,QWK_scale,8,0.6907492839804543,0.7123814847196885,-0.02163220073923422,10.0,0.3125,0.41015625,False
drugs,fe_gpt_schema,gpt_law,QWK_scale,8,0.6907492839804543,0.6895899383737869,0.0011593456066674168,15.0,0.7421875,0.779296875,False
drugs,fe_gpt_schema,hybrid_full_gpt,QWK_scale,8,0.6907492839804543,0.7601360797521376,-0.06938679577168327,3.0,0.0390625,0.1025390625,False
drugs,fe_gpt_schema,hybrid_manual_gpt,QWK_scale,8,0.6907492839804543,0.7455669961159723,-0.054817712135518004,4.0,0.0546875,0.10440340909090909,False
drugs,fe_gpt_schema,manual_fe,QWK_scale,8,0.6907492839804543,0.7773723916596256,-0.08662310767917125,0.0,0.0078125,0.0546875,False
drugs,gpt_free,gpt_law,QWK_scale,8,0.7123814847196885,0.6895899383737869,0.022791546345901637,12.0,0.4609375,0.5693933823529411,False
drugs,gpt_free,hybrid_full_gpt,QWK_scale,8,0.7123814847196885,0.7601360797521376,-0.047754595032449054,3.0,0.0390625,0.1025390625,False
drugs,gpt_free,hybrid_manual_gpt,QWK_scale,8,0.7123814847196885,0.7455669961159723,-0.033185511396283784,4.0,0.0546875,0.10440340909090909,False
drugs,gpt_free,manual_fe,QWK_scale,8,0.7123814847196885,0.7773723916596256,-0.06499090693993703,3.0,0.0390625,0.1025390625,False
