verdict_1,verdict_2,GT,model_score,raw
SH-16-04-30406-325,ME-16-02-59812-881,1,25,SIMILARITY_SCORE: 25
ME-16-05-25902-514,ME-16-11-56385-886,3,35,SIMILARITY_SCORE: 35
ME-18-06-36728-73,ME-16-09-398-589,3,85,SIMILARITY_SCORE: 85
SH-17-10-10556-234,ME-16-11-13999-863,1,35,"# ניתוח דמיון מהותי

## 1. סוג העבירה וחומרתה
- תיק 1: **144(א) בלבד** - החזקה סטטית
- תיק 2: **144(א) + 144(ב)** - החזקה + נשיאה/הובלה פעילה
- **הבדל מהותי**: 144(ב) מעיד על מעורבות פעילה וסיכון ציבורי גבוה יותר

## 2. תפקיד הנאשם ומעורבותו
- תיק 1: החזקה פסיבית (נשק מוסלק סמוך לבית)
- תיק 2: מעורבות פעילה (נשיאה ברכב, ניידות)
- **הבדל משמעותי** ברמת המעורבות

## 3. שיטת הביצוע
- תיק 1: הסתרה סטטית במקום קבוע
- תיק 2: הובלה דינמית ברכב
- **דפוסים שונים** - פסיבי מול אקטיבי

## 4. נסיבות הליבה
- שני אקדחים מול אקדח אחד (הבדל כמותי)
- 10 כדורים מול 2 מחסניות (סדר גודל דומה)
- שניהם ללא שימוש בפועל
- **דמיון חלקי** בנסיבות בסיסיות

## 5. ישימות כתקדים
- בית משפט יתקשה להשתמש בתיק 1 (144א בלבד) כתקדים לתיק 2 (144א+ב)
- ההבדל בין החזקה סטטית לנשיאה פעילה הוא **מהותי לענישה**
- רלוונטיות מוגבלת מאוד

SIMILARITY_SCORE: 35"
SH-17-10-10556-234,m08000207-175,1,35,SIMILARITY_SCORE: 35
SH-18-06-11098-353,ME-16-03-54615-517,1,15,SIMILARITY_SCORE: 15
ME-17-05-633-549,ME-19-04-1316-977,3,72,"# ניתוח דמיון מהותי

## 1. סוג העבירה וחומרתה
- **שני התיקים**: 144(ב) - סחר/הובלה בנשק
- **תיק 1**: גם 144(א) החזקה
- **חומרה**: שניהם כוללים תת-מקלע מאולתר (נשק מסוכן במיוחד)
- **דמיון גבוה**

## 2. תפקיד הנאשם ומעורבותו
- **שניהם**: מעורבות פעילה בסחר בנשק למטרת רווח כספי
- **תיק 1**: רכש נשק (יזם/קונה)
- **תיק 2**: מאחר/מוביל נשק (שליח/מתווך)
- **דמיון בינוני-גבוה** - שניהם חלק מעסקת סחר

## 3. שיטת הביצוע (MO)
- **שניהם**: תכנון מראש, מטרת רווח כספי
- **תיק 1**: הסתרה/הסלקה של נשק
- **תיק 2**: הובלה ברכב
- **דמיון גבוה** במניע ובתכנון

## 4. נסיבות הליבה
- **כמות תחמושת**: תיק 1 - מאות כדורים; תיק 2 - 900 כדורים (סדר גודל דומה)
- **סוג נשק**: שניהם כוללים תת-מקלע מאולתר
- **סטטוס**: תיק 1 - מופרד; תיק 2 - תקין (הבדל מהותי)
- **שימוש**: שניהם ללא שימוש בפועל
- **דמיון גבוה** בכמויות ובסוג הנשק

## 5. ישימות כתקדים
- שני תיקי 144(ב) עם תת-מקלע מאולתר וכמויות תחמושת משמעותיות
- שניהם סחר מתוכנן למטרת רווח
- ההבדל בסטטוס הנשק (תקין/מופרד) רלוונטי אך לא מבטל את הדמיון המהותי
- **תקדים "
ME-16-04-12480-812,ME-13-10-28139-807,3,68,"בואי נבחן את הממדים המהותיים:

**1. סוג העבירה וחומרתה:**
- תיק 1: 144(א)+144(ב) - החזקה + נשיאה/הובלה
- תיק 2: 144(א) בלבד - החזקה
- שניהם כוללים עבירות נשק חמורות עם שימוש בפועל

**2. תפקיד הנאשם ומעורבותו:**
- שניהם: מעורבות פעילה, שימוש בנשק בפועל (ירי)

**3. שיטת הביצוע (MO):**
- שניהם: נשק טעון (כדור בקנה), תכנון מוקדם, ירי בפועל
- הבדל: תיק 1 כולל גם הובלה ברכב והסתרה

**4. נסיבות הליבה:**
- שניהם: סכסוך כמניע, ניסיון לחבלה חמורה בנסיבות מחמירות, איומים
- שניהם: שימוש בפועל בנשק (ירי)
- הבדל: תיק 1 - תת מקלע מאולתר + 17 כדורים; תיק 2 - אקדח
- הבדל מהותי: תיק 1 כולל 144(ב), תיק 2 לא

**5. ישימות כתקדים:**
- דמיון גבוה בהקשר העובדתי (סכסוך, ירי, ניסיון חבלה)
- אך ההבדל בין 144(א) בלבד ל-144(א)+144(ב) הוא מהותי משפטית
- תיק 2 לא יכול לשמש תקדים מלא לממד ההובלה/נשיאה בתיק 1

**מסקנה:** דמיון גבוה בנסיבות העובדתיות והשימוש בנשק, אך פער משפטי משמעותי בהיקף העבירות.

SIMILARITY_SCORE: 68"
ME-17-05-633-549,ME-09-05-16192-355,1,35,"# ניתוח דמיון מהותי

## 1. סוג העבירה וחומרתה
- **תיק 1**: 144(א) + 144(ב) - החזקה **וסחר** בנשק (3 כלי נשק)
- **תיק 2**: 144(ב) בלבד - נשיאה/הובלה (כלי נשק אחד)
- **הבדל מהותי**: תיק 1 כולל סחר (עבירה חמורה יותר), תיק 2 רק נשיאה

## 2. תפקיד הנאשם ומעורבותו
- **תיק 1**: סוחר פעיל, רכש לצורך רווח כספי - מעורבות יזמית
- **תיק 2**: נושא/מוביל - מעורבות פסיבית יותר, אין אינדיקציה לסחר

## 3. שיטת הביצוע (MO)
- **תיק 1**: הסלקה מתוכננת, הסתרה, מאות כדורים
- **תיק 2**: הובלה ברכב, 10 כדורים בלבד
- **שוני משמעותי** בהיקף ובתכנון

## 4. נסיבות הליבה
- **כמות**: תיק 1 - מאות כדורים לעומת תיק 2 - 10 כדורים (פער של סדר גודל)
- **מוכנות לשימוש**: תיק 1 - נשק מופרד; תיק 2 - נשק עם מחסנית בהכנס (מסוכן יותר)
- **תכנון**: תיק 1 - מתוכנן; תיק 2 - לא מתוכנן

## 5. ישימות כתקדים
- תיק 1 הוא תיק **סחר** מתוכנן בהיקף גדול
- תיק 2 הוא תיק **נשיאה/הובלה** בהיקף קטן
- בית משפט יתקשה להשתמש בתיק 1 כתקדים לתיק 2 בשל ההבדלים המהותיים בחומרה ובאופי העבירה

**מסקנה**: למרות שניהם בתחום נשק, ההבדלים בסוג העבירה (ס"
ME-16-05-336-804,ME-15-12-39071-113,1,25,SIMILARITY_SCORE: 25
