model,domain,prompt,n,QWK_scale,C_index,Spearman,AP_strict,AP_lenient
gpt4,drugs,with_expl,100,0.7001845018450185,0.9057502551888398,0.7573363110660509,0.9206515474926357,0.885608618566214
gpt4,drugs,score_only,100,0.745057232049948,0.9254915488099345,0.7784178843486642,0.9134764378626936,0.8794005561320956
gpt4,weapon,with_expl,141,0.6963107065934828,0.9213143872113677,0.7695151080163127,0.8542067262242384,0.9179645942520034
gpt4,weapon,score_only,141,0.7064361365076492,0.9361281036344009,0.7812633329021733,0.8825596184662653,0.9144978491460368
claude_sonnet_4_6,drugs,with_expl,63,0.6169734321645706,0.9443413729128015,0.7903809272635283,0.9409168161382673,0.9058188647169922
claude_sonnet_4_6,drugs,score_only,63,0.8113526884520245,0.9639468690702088,0.8111680146241459,0.9254208754208755,0.9027493127981242
claude_sonnet_4_6,weapon,with_expl,102,0.5318005127780994,0.9211444521981856,0.7759089571879134,0.7608022751360665,0.933274939689188
claude_sonnet_4_6,weapon,score_only,102,0.4758350666829805,0.9241562381494122,0.722687966192771,0.7228042773038568,0.8267570657180121
gemma4_31b_or,drugs,with_expl,100,0.6615720524017468,0.9240593717638936,0.7750682438643484,0.8977660016695455,0.8637163304792278
gemma4_31b_or,drugs,score_only,100,0.708779443254818,0.9287204450625869,0.777084418071541,0.9041604888799839,0.8673309417191909
gemma4_31b_or,weapon,with_expl,141,0.6657346057990396,0.9201725997842503,0.767719219084681,0.8079513263157625,0.906653782164057
gemma4_31b_or,weapon,score_only,141,0.6381906124395396,0.92480648728345,0.7528642360718081,0.8059873672789274,0.8783671254962946
