domain,rep,n_pairs,n_models,recall_1_mean,recall_1_std,recall_2_mean,recall_2_std,recall_3_mean,recall_3_std,off_diag_1_3_mean,off_diag_1_3_std,t_low_mean,t_high_mean
drugs,Manual,100,14,0.9014285714285714,0.061999645514761156,0.33333333333333337,0.12264882813437333,0.8428571428571429,0.07662422322971565,0.013571428571428573,0.007449463436684919,53.25,66.60714285714286
drugs,Hybrid-Full,100,14,0.8485714285714286,0.06735179089128764,0.27142857142857146,0.15572117469722688,0.863265306122449,0.08547848255578924,0.02785714285714286,0.0105090228108783,39.285714285714285,58.57142857142857
drugs,GPT-Schema,100,14,0.8557142857142856,0.077331880749273,0.3238095238095237,0.18463573351427423,0.7979591836734693,0.1011483736710562,0.017857142857142856,0.015281246137553165,47.964285714285715,66.35714285714286
drugs,Hybrid-Manual,100,14,0.8785714285714288,0.035487190073893705,0.2523809523809525,0.13379042529223792,0.8326530612244899,0.09888365448806945,0.030714285714285715,0.012688144505364487,41.464285714285715,57.5
drugs,GPT-Free,100,14,0.8357142857142857,0.061857688498469024,0.2761904761904762,0.17316982990056318,0.8428571428571429,0.08947781532229573,0.03785714285714286,0.009749612559222293,35.714285714285715,54.214285714285715
drugs,Raw-Facts,100,14,0.9,0.03419401657060441,0.1571428571428571,0.11279553503057081,0.8653061224489796,0.07299691090736914,0.045000000000000005,0.01698415551216894,45.25,59.5
drugs,GPT-Law,100,14,0.8642857142857144,0.0657166745862975,0.16666666666666669,0.12472191289246472,0.8448979591836735,0.09221794246410064,0.05142857142857143,0.0214322341192107,49.535714285714285,63.67857142857143
weapon,Manual,141,14,0.8233082706766918,0.09299946008917155,0.37593984962406013,0.15566186761182382,0.7546583850931675,0.09434673620680066,0.04711246200607903,0.028451481086007716,46.142857142857146,63.42857142857143
weapon,Hybrid-Full,141,14,0.8270676691729321,0.07511925720857218,0.34586466165413526,0.13009574686167164,0.6909937888198757,0.11349875243570777,0.050658561296859174,0.03393978200326867,42.035714285714285,60.785714285714285
weapon,GPT-Schema,141,14,0.7972718959561066,0.07950464037092073,0.4210526315789473,0.1751684830184934,0.6268351214003388,0.15229213183438745,0.035549737832701024,0.015029240110426187,45.92857142857143,65.82142857142857
weapon,Hybrid-Manual,141,14,0.7406015037593985,0.08215944883410252,0.4210526315789474,0.10726835060317222,0.7406832298136647,0.1003354435370279,0.04305977710233029,0.026458351894433838,35.785714285714285,55.035714285714285
weapon,GPT-Free,141,14,0.7734962406015037,0.10889222081005195,0.3157894736842105,0.1353704736623521,0.7080745341614908,0.0816589862356211,0.06281661600810537,0.026369416006176673,31.714285714285715,50.07142857142857
weapon,Raw-Facts,141,14,0.7622180451127819,0.07558005778041112,0.3533834586466165,0.2284184139743595,0.6909937888198757,0.12594807581116887,0.06484295845997973,0.028620966346151033,48.17857142857143,64.14285714285714
weapon,GPT-Law,141,14,0.7528195488721805,0.09588521423160211,0.3383458646616541,0.13649018234329996,0.672360248447205,0.12972613677409006,0.05775075987841945,0.018631165044216337,37.42857142857143,58.714285714285715
