n,recall_1,recall_2,recall_3,off_diag_1_3,domain,rep,model,t_low,t_high
100,0.82,0.3333333333333333,0.8571428571428571,0.01,drugs,Manual,claude_haiku_4_5,36.5,55.0
100,0.94,0.4666666666666667,0.9142857142857143,0.01,drugs,Manual,claude_sonnet_4_6,40.0,53.5
100,0.96,0.4,0.7714285714285715,0.01,drugs,Manual,deepseek_r1_or,72.5,82.5
100,0.98,0.0,0.8857142857142857,0.02,drugs,Manual,gemini_25_pro,52.5,62.5
100,0.94,0.4,0.8285714285714286,0.01,drugs,Manual,gemini_3_flash,60.0,80.0
100,0.9,0.3333333333333333,0.9714285714285714,0.03,drugs,Manual,gemma4_31b_or,37.5,55.0
100,0.98,0.2,0.9142857142857143,0.02,drugs,Manual,gpt4,62.5,67.5
100,0.94,0.3333333333333333,0.8571428571428571,0.02,drugs,Manual,gpt51_thinking,66.5,72.5
100,0.92,0.26666666666666666,0.8857142857142857,0.01,drugs,Manual,gpt52,47.5,60.0
100,0.84,0.4666666666666667,0.8857142857142857,0.01,drugs,Manual,gpt5mini,57.5,69.0
100,0.94,0.26666666666666666,0.8857142857142857,0.03,drugs,Manual,kimi_k26_or,42.5,56.5
100,0.78,0.26666666666666666,0.7714285714285715,0.01,drugs,Manual,mistral_large_or,42.5,67.5
100,0.88,0.4,0.8571428571428571,0.02,drugs,Manual,qwen3_vl_235b_or,42.5,57.5
100,0.86,0.3333333333333333,0.8857142857142857,0.03,drugs,Hybrid-Full,claude_haiku_4_5,30.0,40.0
100,0.78,0.4,0.9428571428571428,0.02,drugs,Hybrid-Full,claude_sonnet_4_6,20.0,40.0
100,0.86,0.13333333333333333,0.8571428571428571,0.02,drugs,Hybrid-Full,deepseek_r1_or,42.5,62.5
100,0.9,0.06666666666666667,0.8857142857142857,0.03,drugs,Hybrid-Full,gemini_25_pro,30.0,42.5
100,0.88,0.26666666666666666,0.6857142857142857,0.02,drugs,Hybrid-Full,gemini_3_flash,51.5,87.0
100,0.84,0.3333333333333333,0.8,0.02,drugs,Hybrid-Full,gemma4_31b_or,32.5,68.5
100,0.94,0.06666666666666667,0.9714285714285714,0.04,drugs,Hybrid-Full,gpt4,46.5,51.5
100,0.84,0.4,0.8,0.02,drugs,Hybrid-Full,gpt51_thinking,43.5,70.0
100,0.86,0.4,0.8285714285714286,0.05,drugs,Hybrid-Full,gpt52,43.0,60.0
100,0.74,0.4,0.8857142857142857,0.02,drugs,Hybrid-Full,gpt5mini,39.0,66.5
100,0.84,0.13333333333333333,0.9428571428571428,0.03,drugs,Hybrid-Full,kimi_k26_or,27.5,37.5
100,0.96,0.06666666666666667,0.9428571428571428,0.04,drugs,Hybrid-Full,mistral_large_or,50.0,57.5
100,0.76,0.4,0.9142857142857143,0.02,drugs,Hybrid-Full,qwen3_vl_235b_or,27.5,42.5
100,0.9,0.0,0.9142857142857143,0.03,drugs,GPT-Schema,claude_haiku_4_5,40.0,53.0
100,0.86,0.4666666666666667,0.7714285714285715,0.0,drugs,GPT-Schema,claude_sonnet_4_6,30.0,62.5
100,0.92,0.13333333333333333,0.9428571428571428,0.04,drugs,GPT-Schema,deepseek_r1_or,57.5,67.5
100,0.92,0.26666666666666666,0.8,0.01,drugs,GPT-Schema,gemini_25_pro,37.5,67.5
100,0.88,0.2,0.9142857142857143,0.02,drugs,GPT-Schema,gemini_3_flash,55.0,73.5
100,0.86,0.13333333333333333,0.9428571428571428,0.02,drugs,GPT-Schema,gemma4_31b_or,42.5,65.0
100,0.78,0.4,0.7714285714285715,0.01,drugs,GPT-Schema,gpt4,42.5,67.5
100,0.82,0.4666666666666667,0.6571428571428571,0.0,drugs,GPT-Schema,gpt51_thinking,56.5,79.0
100,0.88,0.26666666666666666,0.8,0.01,drugs,GPT-Schema,gpt52,45.5,62.5
100,0.94,0.26666666666666666,0.8285714285714286,0.02,drugs,GPT-Schema,gpt5mini,65.5,72.5
100,0.9,0.06666666666666667,0.9428571428571428,0.03,drugs,GPT-Schema,kimi_k26_or,42.5,51.5
100,0.64,0.7333333333333333,0.7428571428571429,0.03,drugs,GPT-Schema,mistral_large_or,35.0,62.5
100,0.86,0.3333333333333333,0.7428571428571429,0.03,drugs,GPT-Schema,qwen3_vl_235b_or,42.5,62.5
100,0.88,0.4,0.8857142857142857,0.04,drugs,Hybrid-Manual,claude_haiku_4_5,30.0,47.0
100,0.84,0.4,0.8,0.02,drugs,Hybrid-Manual,claude_sonnet_4_6,25.0,58.5
100,0.92,0.2,0.9428571428571428,0.04,drugs,Hybrid-Manual,deepseek_r1_or,37.5,41.0
100,0.84,0.13333333333333333,0.8857142857142857,0.03,drugs,Hybrid-Manual,gemini_25_pro,22.5,37.5
100,0.9,0.26666666666666666,0.8571428571428571,0.03,drugs,Hybrid-Manual,gemini_3_flash,46.5,70.0
100,0.86,0.26666666666666666,0.9428571428571428,0.03,drugs,Hybrid-Manual,gemma4_31b_or,32.5,43.5
100,0.86,0.4666666666666667,0.7428571428571429,0.01,drugs,Hybrid-Manual,gpt4,42.5,79.0
100,0.9,0.2,0.8857142857142857,0.03,drugs,Hybrid-Manual,gpt51_thinking,57.5,64.5
100,0.9,0.2,0.8857142857142857,0.04,drugs,Hybrid-Manual,gpt52,44.5,53.5
100,0.92,0.4,0.7714285714285715,0.03,drugs,Hybrid-Manual,gpt5mini,58.5,71.0
100,0.86,0.26666666666666666,0.9428571428571428,0.03,drugs,Hybrid-Manual,kimi_k26_or,27.5,42.5
100,0.88,0.06666666666666667,0.8285714285714286,0.05,drugs,Hybrid-Manual,mistral_large_or,42.5,57.5
100,0.88,0.2,0.8285714285714286,0.05,drugs,Hybrid-Manual,qwen3_vl_235b_or,37.5,50.0
100,0.86,0.2,0.8,0.06,drugs,GPT-Free,claude_haiku_4_5,33.5,45.0
100,0.92,0.26666666666666666,0.7714285714285715,0.04,drugs,GPT-Free,claude_sonnet_4_6,30.0,55.0
100,0.82,0.4,0.8,0.05,drugs,GPT-Free,deepseek_r1_or,32.5,67.5
100,0.86,0.2,0.8571428571428571,0.03,drugs,GPT-Free,gemini_25_pro,22.5,32.5
100,0.84,0.2,0.9142857142857143,0.04,drugs,GPT-Free,gemini_3_flash,43.5,63.5
100,0.86,0.26666666666666666,0.9428571428571428,0.04,drugs,GPT-Free,gemma4_31b_or,32.5,40.0
100,0.9,0.0,0.9142857142857143,0.04,drugs,GPT-Free,gpt4,41.5,51.5
100,0.78,0.4666666666666667,0.8857142857142857,0.03,drugs,GPT-Free,gpt51_thinking,36.5,66.5
100,0.84,0.26666666666666666,0.8,0.03,drugs,GPT-Free,gpt52,40.0,60.0
100,0.86,0.26666666666666666,0.9428571428571428,0.04,drugs,GPT-Free,gpt5mini,42.5,59.0
100,0.84,0.26666666666666666,0.8571428571428571,0.03,drugs,GPT-Free,kimi_k26_or,22.5,47.5
100,0.82,0.26666666666666666,0.8857142857142857,0.06,drugs,GPT-Free,mistral_large_or,37.5,42.5
100,0.82,0.13333333333333333,0.8,0.04,drugs,GPT-Free,qwen3_vl_235b_or,27.5,50.0
100,0.84,0.26666666666666666,0.8285714285714286,0.05,drugs,Raw-Facts,claude_haiku_4_5,33.5,50.0
100,0.9,0.3333333333333333,0.8,0.03,drugs,Raw-Facts,claude_sonnet_4_6,30.0,67.5
100,0.9,0.0,0.9428571428571428,0.06,drugs,Raw-Facts,deepseek_r1_or,47.5,57.5
100,0.94,0.06666666666666667,0.8857142857142857,0.05,drugs,Raw-Facts,gemini_25_pro,30.0,37.5
100,0.86,0.2,0.9142857142857143,0.03,drugs,Raw-Facts,gemini_3_flash,43.5,70.0
100,0.9,0.2,0.8857142857142857,0.04,drugs,Raw-Facts,gemma4_31b_or,38.5,60.0
100,0.88,0.06666666666666667,0.9142857142857143,0.05,drugs,Raw-Facts,gpt4,50.0,62.5
100,0.92,0.2,0.8857142857142857,0.03,drugs,Raw-Facts,gpt51_thinking,56.0,66.5
100,0.94,0.3333333333333333,0.7428571428571429,0.03,drugs,Raw-Facts,gpt52,55.5,65.0
100,0.96,0.13333333333333333,0.8571428571428571,0.04,drugs,Raw-Facts,gpt5mini,62.5,66.0
100,0.88,0.3333333333333333,0.8571428571428571,0.04,drugs,Raw-Facts,kimi_k26_or,27.5,57.5
100,0.88,0.06666666666666667,0.9142857142857143,0.07,drugs,Raw-Facts,mistral_large_or,42.5,52.5
100,0.9,0.13333333333333333,0.8857142857142857,0.05,drugs,Raw-Facts,qwen3_vl_235b_or,37.5,60.0
100,0.7,0.5333333333333333,0.6857142857142857,0.02,drugs,GPT-Law,claude_haiku_4_5,31.0,60.0
100,0.92,0.13333333333333333,0.9142857142857143,0.05,drugs,GPT-Law,claude_sonnet_4_6,36.0,44.5
100,0.88,0.06666666666666667,0.8571428571428571,0.09,drugs,GPT-Law,deepseek_r1_or,47.5,62.5
100,0.9,0.06666666666666667,0.8857142857142857,0.05,drugs,GPT-Law,gemini_25_pro,30.0,50.0
100,0.84,0.13333333333333333,0.9142857142857143,0.05,drugs,GPT-Law,gemini_3_flash,53.0,70.0
100,0.94,0.06666666666666667,0.9428571428571428,0.05,drugs,GPT-Law,gemma4_31b_or,50.0,60.0
100,0.92,0.06666666666666667,0.8571428571428571,0.04,drugs,GPT-Law,gpt4,62.5,73.5
100,0.9,0.26666666666666666,0.8571428571428571,0.04,drugs,GPT-Law,gpt51_thinking,61.0,71.0
100,0.88,0.2,0.8285714285714286,0.04,drugs,GPT-Law,gpt52,51.0,65.5
100,0.92,0.06666666666666667,0.9142857142857143,0.06,drugs,GPT-Law,gpt5mini,62.5,67.5
100,0.9,0.0,0.8571428571428571,0.05,drugs,GPT-Law,kimi_k26_or,37.5,57.5
100,0.88,0.0,0.8285714285714286,0.1,drugs,GPT-Law,mistral_large_or,54.0,62.5
100,0.82,0.2,0.8857142857142857,0.06,drugs,GPT-Law,qwen3_vl_235b_or,42.5,60.0
141,0.7763157894736842,0.21052631578947367,0.8043478260869565,0.028368794326241134,weapon,Manual,claude_haiku_4_5,30.0,40.0
141,0.8947368421052632,0.3684210526315789,0.717391304347826,0.02127659574468085,weapon,Manual,claude_sonnet_4_6,40.0,60.0
141,0.8421052631578947,0.3684210526315789,0.717391304347826,0.04964539007092199,weapon,Manual,deepseek_r1_or,52.5,72.5
141,0.8157894736842105,0.2631578947368421,0.6956521739130435,0.0425531914893617,weapon,Manual,gemini_25_pro,22.5,37.5
141,0.7894736842105263,0.3684210526315789,0.8260869565217391,0.028368794326241134,weapon,Manual,gemini_3_flash,43.5,70.0
141,0.9210526315789473,0.3157894736842105,0.8260869565217391,0.0425531914893617,weapon,Manual,gemma4_31b_or,42.5,63.5
141,0.9473684210526315,0.3157894736842105,0.6956521739130435,0.0425531914893617,weapon,Manual,gpt4,62.5,72.5
141,0.9342105263157895,0.15789473684210525,0.8695652173913043,0.04964539007092199,weapon,Manual,gpt51_thinking,61.0,66.5
141,0.8552631578947368,0.5789473684210527,0.6521739130434783,0.03546099290780142,weapon,Manual,gpt52,55.5,65.0
141,0.8289473684210527,0.3684210526315789,0.8913043478260869,0.02127659574468085,weapon,Manual,gpt5mini,46.0,62.5
141,0.8289473684210527,0.15789473684210525,0.8260869565217391,0.014184397163120567,weapon,Manual,kimi_k26_or,32.5,42.5
141,0.618421052631579,0.5789473684210527,0.6956521739130435,0.0425531914893617,weapon,Manual,mistral_large_or,37.5,62.5
141,0.8421052631578947,0.47368421052631576,0.7608695652173914,0.028368794326241134,weapon,Manual,qwen3_vl_235b_or,42.5,66.5
141,0.8421052631578947,0.05263157894736842,0.8913043478260869,0.09929078014184398,weapon,Hybrid-Full,claude_haiku_4_5,30.0,33.5
141,0.881578947368421,0.2631578947368421,0.782608695652174,0.028368794326241134,weapon,Hybrid-Full,claude_sonnet_4_6,33.0,48.5
141,0.9078947368421053,0.10526315789473684,0.6304347826086957,0.07801418439716312,weapon,Hybrid-Full,deepseek_r1_or,37.5,57.5
141,0.7894736842105263,0.47368421052631576,0.45652173913043476,0.03546099290780142,weapon,Hybrid-Full,gemini_25_pro,22.5,42.5
141,0.8947368421052632,0.2631578947368421,0.6956521739130435,0.028368794326241134,weapon,Hybrid-Full,gemini_3_flash,55.0,80.0
141,0.6973684210526315,0.42105263157894735,0.8043478260869565,0.0070921985815602835,weapon,Hybrid-Full,gemma4_31b_or,27.5,63.5
141,0.7894736842105263,0.3684210526315789,0.7391304347826086,0.02127659574468085,weapon,Hybrid-Full,gpt4,39.0,72.5
141,0.881578947368421,0.3157894736842105,0.6956521739130435,0.028368794326241134,weapon,Hybrid-Full,gpt51_thinking,56.5,69.0
141,0.8947368421052632,0.3157894736842105,0.8043478260869565,0.07801418439716312,weapon,Hybrid-Full,gpt52,54.0,60.0
141,0.881578947368421,0.3684210526315789,0.6521739130434783,0.04964539007092199,weapon,Hybrid-Full,gpt5mini,53.5,62.5
141,0.881578947368421,0.3684210526315789,0.6521739130434783,0.0425531914893617,weapon,Hybrid-Full,kimi_k26_or,32.5,42.5
141,0.868421052631579,0.2631578947368421,0.5434782608695652,0.09929078014184398,weapon,Hybrid-Full,mistral_large_or,50.0,62.5
141,0.7236842105263158,0.631578947368421,0.5434782608695652,0.0070921985815602835,weapon,Hybrid-Full,qwen3_vl_235b_or,32.5,67.5
141,0.8552631578947368,0.3157894736842105,0.5652173913043478,0.028368794326241134,weapon,GPT-Schema,claude_haiku_4_5,36.5,56.5
141,0.8552631578947368,0.47368421052631576,0.6521739130434783,0.014184397163120567,weapon,GPT-Schema,claude_sonnet_4_6,40.0,60.0
141,0.7894736842105263,0.5789473684210527,0.6086956521739131,0.028368794326241134,weapon,GPT-Schema,deepseek_r1_or,37.5,72.5
141,0.75,0.47368421052631576,0.5652173913043478,0.014184397163120567,weapon,GPT-Schema,gemini_25_pro,22.5,52.5
141,0.8552631578947368,0.2631578947368421,0.782608695652174,0.028368794326241134,weapon,GPT-Schema,gemini_3_flash,46.5,75.0
141,0.881578947368421,0.3157894736842105,0.8043478260869565,0.028368794326241134,weapon,GPT-Schema,gemma4_31b_or,37.5,60.0
141,0.8947368421052632,0.21052631578947367,0.717391304347826,0.05673758865248227,weapon,GPT-Schema,gpt4,63.5,72.5
141,0.8552631578947368,0.2631578947368421,0.6956521739130435,0.028368794326241134,weapon,GPT-Schema,gpt51_thinking,59.0,71.0
141,0.7763157894736842,0.5263157894736842,0.6521739130434783,0.03546099290780142,weapon,GPT-Schema,gpt52,53.5,65.0
141,0.8026315789473685,0.15789473684210525,0.8260869565217391,0.03546099290780142,weapon,GPT-Schema,gpt5mini,52.5,64.0
141,0.7763157894736842,0.5789473684210527,0.6956521739130435,0.028368794326241134,weapon,GPT-Schema,kimi_k26_or,32.5,46.5
141,0.881578947368421,0.3157894736842105,0.6304347826086957,0.07092198581560284,weapon,GPT-Schema,mistral_large_or,52.5,62.5
141,0.7763157894736842,0.3684210526315789,0.5869565217391305,0.03546099290780142,weapon,GPT-Schema,qwen3_vl_235b_or,37.5,70.0
141,0.6710526315789473,0.3684210526315789,0.717391304347826,0.04964539007092199,weapon,Hybrid-Manual,claude_haiku_4_5,26.5,36.5
141,0.7236842105263158,0.47368421052631576,0.717391304347826,0.014184397163120567,weapon,Hybrid-Manual,claude_sonnet_4_6,25.0,44.5
141,0.618421052631579,0.42105263157894735,0.5869565217391305,0.03546099290780142,weapon,Hybrid-Manual,deepseek_r1_or,27.5,63.0
141,0.7236842105263158,0.47368421052631576,0.5869565217391305,0.0425531914893617,weapon,Hybrid-Manual,gemini_25_pro,17.5,30.0
141,0.7894736842105263,0.47368421052631576,0.7608695652173914,0.028368794326241134,weapon,Hybrid-Manual,gemini_3_flash,43.5,70.0
141,0.7631578947368421,0.3684210526315789,0.9565217391304348,0.05673758865248227,weapon,Hybrid-Manual,gemma4_31b_or,32.5,37.5
141,0.8289473684210527,0.2631578947368421,0.7391304347826086,0.02127659574468085,weapon,Hybrid-Manual,gpt4,39.0,66.5
141,0.8157894736842105,0.42105263157894735,0.8695652173913043,0.028368794326241134,weapon,Hybrid-Manual,gpt51_thinking,41.0,63.5
141,0.6842105263157895,0.5263157894736842,0.7608695652173914,0.02127659574468085,weapon,Hybrid-Manual,gpt52,36.5,60.0
141,0.8552631578947368,0.2631578947368421,0.6739130434782609,0.02127659574468085,weapon,Hybrid-Manual,gpt5mini,49.5,62.0
141,0.868421052631579,0.47368421052631576,0.6086956521739131,0.028368794326241134,weapon,Hybrid-Manual,kimi_k26_or,32.5,42.5
141,0.8026315789473685,0.2631578947368421,0.8043478260869565,0.09219858156028368,weapon,Hybrid-Manual,mistral_large_or,42.5,52.5
141,0.6973684210526315,0.631578947368421,0.6956521739130435,0.028368794326241134,weapon,Hybrid-Manual,qwen3_vl_235b_or,32.5,60.0
141,0.7368421052631579,0.42105263157894735,0.6304347826086957,0.0425531914893617,weapon,GPT-Free,claude_haiku_4_5,26.5,36.5
141,0.8421052631578947,0.2631578947368421,0.782608695652174,0.04964539007092199,weapon,GPT-Free,claude_sonnet_4_6,25.0,40.0
141,0.75,0.2631578947368421,0.6739130434782609,0.0425531914893617,weapon,GPT-Free,deepseek_r1_or,27.5,50.0
141,0.8026315789473685,0.21052631578947367,0.8260869565217391,0.11347517730496454,weapon,GPT-Free,gemini_25_pro,17.5,22.5
141,0.8157894736842105,0.3684210526315789,0.6956521739130435,0.0425531914893617,weapon,GPT-Free,gemini_3_flash,40.0,75.0
141,0.8421052631578947,0.21052631578947367,0.8260869565217391,0.07092198581560284,weapon,GPT-Free,gemma4_31b_or,32.5,37.5
141,0.8026315789473685,0.3157894736842105,0.6956521739130435,0.0425531914893617,weapon,GPT-Free,gpt4,32.5,66.5
141,0.8289473684210527,0.5263157894736842,0.6521739130434783,0.03546099290780142,weapon,GPT-Free,gpt51_thinking,36.5,69.0
141,0.75,0.5263157894736842,0.5434782608695652,0.02127659574468085,weapon,GPT-Free,gpt52,36.5,64.5
141,0.8421052631578947,0.15789473684210525,0.782608695652174,0.07801418439716312,weapon,GPT-Free,gpt5mini,40.5,54.5
141,0.868421052631579,0.2631578947368421,0.6739130434782609,0.0425531914893617,weapon,GPT-Free,kimi_k26_or,27.5,37.5
