domain,rep,n_pairs,n_models,recall_1_mean,recall_1_std,recall_2_mean,recall_2_std,recall_3_mean,recall_3_std,off_diag_1_3_mean,off_diag_1_3_std,t_low_mean,t_high_mean
drugs,Manual,100,13,0.9092307692307691,0.06251153739664629,0.317948717948718,0.12517793603313512,0.8681318681318684,0.055375602499400725,0.016153846153846154,0.007679476477883044,50.80769230769231,64.53846153846153
drugs,Hybrid-Full,100,13,0.8507692307692308,0.06409128105828675,0.26153846153846155,0.1451985574398764,0.8725274725274725,0.07877927885937612,0.027692307692307697,0.010127393670836666,37.19230769230769,55.84615384615385
drugs,GPT-Schema,100,13,0.8584615384615385,0.07851179888464259,0.2871794871794872,0.19698583401711606,0.8285714285714286,0.09404008408634044,0.019230769230769232,0.012557559782549622,45.57692307692308,65.15384615384616
drugs,Hybrid-Manual,100,13,0.8800000000000001,0.027080128015453224,0.2666666666666667,0.11863420280034791,0.8615384615384618,0.06478237125427759,0.03307692307692308,0.011094003924504584,38.80769230769231,55.03846153846154
drugs,GPT-Free,100,13,0.8476923076923076,0.03609105294341111,0.24615384615384614,0.11347904157813846,0.8593406593406594,0.06000174426210479,0.040769230769230766,0.010377490433255416,34.03846153846154,52.34615384615385
drugs,Raw-Facts,100,13,0.9000000000000001,0.03366501646120692,0.1794871794871795,0.11347904157813847,0.8703296703296703,0.05422977646233079,0.043846153846153854,0.012608503439122305,42.65384615384615,59.42307692307692
drugs,GPT-Law,100,13,0.8769230769230771,0.06263447072560704,0.13846153846153844,0.1426249639504962,0.8637362637362638,0.06405126152203484,0.05384615384615384,0.02103111248383433,47.57692307692308,61.88461538461539
weapon,Manual,141,13,0.8380566801619433,0.08499915392968323,0.3481781376518219,0.13680576700122316,0.7675585284280936,0.07705625619114854,0.03436988543371522,0.011525696946710911,43.73076923076923,60.11538461538461
weapon,Hybrid-Full,141,13,0.8410931174089067,0.06909701903579848,0.32388663967611336,0.14862582900722807,0.6839464882943143,0.12285185846577965,0.046372067648663404,0.03219152303561534,40.26923076923077,58.61538461538461
weapon,GPT-Schema,141,13,0.8269230769230771,0.0494796777602472,0.37246963562753027,0.14001308879182658,0.6755852842809364,0.08806429278988406,0.03327877795962902,0.015425767065574133,43.96153846153846,63.69230769230769
weapon,Hybrid-Manual,141,13,0.757085020242915,0.07721329937515789,0.417004048582996,0.1105295289038773,0.7290969899665551,0.10746234544268177,0.03600654664484451,0.020770485347301117,34.30769230769231,52.96153846153846
weapon,GPT-Free,141,13,0.798582995951417,0.07470019629597183,0.32388663967611325,0.11933594704735348,0.6989966555183946,0.08365383570756364,0.05728314238952536,0.025971643223148166,30.96153846153846,49.11538461538461
weapon,Raw-Facts,141,13,0.7803643724696356,0.08783730254374733,0.3360323886639676,0.20780973338645245,0.7056856187290971,0.07134023079498843,0.06492089470812874,0.023494730532110146,46.11538461538461,63.07692307692308
weapon,GPT-Law,141,13,0.7672064777327936,0.09808070070674348,0.3360323886639676,0.08998425413316952,0.6806020066889632,0.08006407690254358,0.049099836333878884,0.01649642403517236,35.69230769230769,57.26923076923077
