metric,domain,task,a,b,n,mean_a,mean_b,delta_mean,dz,p_raw,p_fdr,p_bonf,sig_fdr_5pct,sig_bonf_5pct,winner
F1,drugs,0,Manual,Hybrid-Manual,11,0.9117,0.8798,0.0319,1.646,0.001953,0.010254,0.041016,True,True,Manual
F1,drugs,0,Manual,Hybrid-Full,11,0.9117,0.8917,0.02,1.047,0.012695,0.044434,0.266602,True,False,Manual
F1,drugs,0,Manual,GPT-Schema,11,0.9117,0.8681,0.0437,1.262,0.003906,0.016406,0.082031,True,False,Manual
F1,drugs,0,Manual,GPT-Free,11,0.9117,0.8785,0.0333,1.482,0.000977,0.006836,0.020508,True,True,Manual
F1,drugs,0,Manual,GPT-Law,11,0.9117,0.8666,0.0452,2.178,0.000977,0.006836,0.020508,True,True,Manual
F1,drugs,0,Manual,Raw-Facts,11,0.9117,0.8737,0.0381,1.3,0.000977,0.006836,0.020508,True,True,Manual
F1,drugs,0,Hybrid-Manual,Hybrid-Full,11,0.8798,0.8917,-0.0119,-0.496,0.174805,0.346768,1.0,False,False,Hybrid-Full
F1,drugs,0,Hybrid-Manual,GPT-Schema,11,0.8798,0.8681,0.0117,0.33,0.375,0.492188,1.0,False,False,Hybrid-Manual
F1,drugs,0,Hybrid-Manual,GPT-Free,11,0.8798,0.8785,0.0013,0.076,0.820312,0.861328,1.0,False,False,Hybrid-Manual
F1,drugs,0,Hybrid-Manual,GPT-Law,11,0.8798,0.8666,0.0132,0.47,0.174805,0.346768,1.0,False,False,Hybrid-Manual
F1,drugs,0,Hybrid-Manual,Raw-Facts,11,0.8798,0.8737,0.0061,0.218,0.570312,0.704504,1.0,False,False,Hybrid-Manual
F1,drugs,0,Hybrid-Full,GPT-Schema,11,0.8917,0.8681,0.0237,0.511,0.240234,0.42041,1.0,False,False,Hybrid-Full
F1,drugs,0,Hybrid-Full,GPT-Free,11,0.8917,0.8785,0.0133,0.45,0.320312,0.480469,1.0,False,False,Hybrid-Full
F1,drugs,0,Hybrid-Full,GPT-Law,11,0.8917,0.8666,0.0252,0.728,0.037109,0.111328,0.779297,False,False,Hybrid-Full
F1,drugs,0,Hybrid-Full,Raw-Facts,11,0.8917,0.8737,0.0181,0.502,0.181641,0.346768,1.0,False,False,Hybrid-Full
F1,drugs,0,GPT-Schema,GPT-Free,11,0.8681,0.8785,-0.0104,-0.328,0.275391,0.444862,1.0,False,False,GPT-Free
F1,drugs,0,GPT-Schema,GPT-Law,11,0.8681,0.8666,0.0015,0.046,0.700195,0.816895,1.0,False,False,GPT-Schema
F1,drugs,0,GPT-Schema,Raw-Facts,11,0.8681,0.8737,-0.0056,-0.167,0.96582,0.96582,1.0,False,False,Raw-Facts
F1,drugs,0,GPT-Free,GPT-Law,11,0.8785,0.8666,0.0119,0.518,0.160156,0.346768,1.0,False,False,GPT-Free
F1,drugs,0,GPT-Free,Raw-Facts,11,0.8785,0.8737,0.0048,0.24,0.820312,0.861328,1.0,False,False,GPT-Free
F1,drugs,0,GPT-Law,Raw-Facts,11,0.8666,0.8737,-0.0071,-0.319,0.375,0.492188,1.0,False,False,Raw-Facts
F1,drugs,1,Manual,Hybrid-Manual,11,0.8493,0.8216,0.0277,1.455,0.001953,0.005859,0.041016,True,True,Manual
F1,drugs,1,Manual,Hybrid-Full,11,0.8493,0.8212,0.0281,1.209,0.006836,0.015951,0.143555,True,False,Manual
F1,drugs,1,Manual,GPT-Schema,11,0.8493,0.8355,0.0138,0.537,0.101562,0.133301,1.0,False,False,Manual
F1,drugs,1,Manual,GPT-Free,11,0.8493,0.8096,0.0396,1.706,0.000977,0.005127,0.020508,True,True,Manual
F1,drugs,1,Manual,GPT-Law,11,0.8493,0.7984,0.0509,2.6,0.000977,0.005127,0.020508,True,True,Manual
F1,drugs,1,Manual,Raw-Facts,11,0.8493,0.8145,0.0348,1.583,0.001953,0.005859,0.041016,True,True,Manual
F1,drugs,1,Hybrid-Manual,Hybrid-Full,11,0.8216,0.8212,0.0004,0.026,1.0,1.0,1.0,False,False,Hybrid-Manual
F1,drugs,1,Hybrid-Manual,GPT-Schema,11,0.8216,0.8355,-0.0139,-0.588,0.147461,0.182158,1.0,False,False,GPT-Schema
F1,drugs,1,Hybrid-Manual,GPT-Free,11,0.8216,0.8096,0.0119,0.783,0.037109,0.059946,0.779297,False,False,Hybrid-Manual
F1,drugs,1,Hybrid-Manual,GPT-Law,11,0.8216,0.7984,0.0232,1.342,0.001953,0.005859,0.041016,True,True,Hybrid-Manual
F1,drugs,1,Hybrid-Manual,Raw-Facts,11,0.8216,0.8145,0.0071,0.341,0.375,0.414474,1.0,False,False,Hybrid-Manual
F1,drugs,1,Hybrid-Full,GPT-Schema,11,0.8212,0.8355,-0.0143,-0.753,0.053711,0.080566,1.0,False,False,GPT-Schema
F1,drugs,1,Hybrid-Full,GPT-Free,11,0.8212,0.8096,0.0115,0.573,0.101562,0.133301,1.0,False,False,Hybrid-Full
F1,drugs,1,Hybrid-Full,GPT-Law,11,0.8212,0.7984,0.0227,1.56,0.000977,0.005127,0.020508,True,True,Hybrid-Full
F1,drugs,1,Hybrid-Full,Raw-Facts,11,0.8212,0.8145,0.0067,0.3,0.519531,0.545508,1.0,False,False,Hybrid-Full
F1,drugs,1,GPT-Schema,GPT-Free,11,0.8355,0.8096,0.0258,1.13,0.009766,0.01709,0.205078,True,False,GPT-Schema
F1,drugs,1,GPT-Schema,GPT-Law,11,0.8355,0.7984,0.0371,2.325,0.000977,0.005127,0.020508,True,True,GPT-Schema
