A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Manual,GPT-Schema,11,0.051539715763168695,0.8243968788192851,9,0.01220703125,0.0146484375,0.0732421875,Large,✓,,drugs,0,F1_CV
Manual,GPT-Free,11,0.038804621488680385,0.8467204827213487,8,0.009765625,0.0146484375,0.05859375,Large,✓,,drugs,0,F1_CV
Manual,GPT-Law,11,0.041133776983204105,1.0913596534551957,8,0.0048828125,0.013671875,0.029296875,Large,✓,✓,drugs,0,F1_CV
Manual,Raw-Facts,11,0.05335999864092564,1.0127975239134261,9,0.0048828125,0.013671875,0.029296875,Large,✓,✓,drugs,0,F1_CV
Manual,Hybrid-Manual,11,0.03724302694881774,1.096075215957853,9,0.0068359375,0.013671875,0.041015625,Large,✓,✓,drugs,0,F1_CV
Manual,Hybrid-Full,11,0.020287700575745592,0.6872424998886011,8,0.02099609375,0.02099609375,0.1259765625,Medium,✓,,drugs,0,F1_CV
GPT-Schema,Manual,11,-0.051539715763168695,-0.8243968788192851,2,0.99072265625,0.99072265625,1.0,Large,,,drugs,0,F1_CV
GPT-Schema,GPT-Free,11,-0.012735094274488308,-0.2068978007014698,5,0.767578125,0.99072265625,1.0,Small,,,drugs,0,F1_CV
GPT-Schema,GPT-Law,11,-0.010405938779964591,-0.21036456086751765,6,0.61767578125,0.99072265625,1.0,Small,,,drugs,0,F1_CV
GPT-Schema,Raw-Facts,11,0.0018202828777569393,0.03292364645767844,4,0.615234375,0.99072265625,1.0,Negligible,,,drugs,0,F1_CV
GPT-Schema,Hybrid-Manual,11,-0.014296688814350957,-0.2146874304522742,3,0.7841796875,0.99072265625,1.0,Small,,,drugs,0,F1_CV
GPT-Schema,Hybrid-Full,11,-0.031252015187423106,-0.4404499372120573,5,0.8798828125,0.99072265625,1.0,Small,,,drugs,0,F1_CV
GPT-Free,Manual,11,-0.038804621488680385,-0.8467204827213487,2,0.9931640625,0.9931640625,1.0,Large,,,drugs,0,F1_CV
