domain,drugs,drugs,weapon,weapon
task,0,1,0,1
rep,,,,
Manual,0.956 ± 0.012,0.917 ± 0.015,0.827 ± 0.066,0.898 ± 0.048
GPT-Schema,0.936 ± 0.029,0.900 ± 0.012,0.807 ± 0.077,0.879 ± 0.063
GPT-Free,0.904 ± 0.025,0.871 ± 0.020,0.733 ± 0.059,0.864 ± 0.036
GPT-Law,0.890 ± 0.025,0.861 ± 0.014,0.733 ± 0.061,0.847 ± 0.044
Raw-Facts,0.903 ± 0.025,0.869 ± 0.021,0.741 ± 0.034,0.846 ± 0.026
Hybrid-Manual,0.930 ± 0.027,0.895 ± 0.022,0.803 ± 0.081,0.876 ± 0.052
Hybrid-Full,0.920 ± 0.020,0.880 ± 0.011,0.783 ± 0.061,0.885 ± 0.043
