domain,drugs,drugs,weapon,weapon
task,0,1,0,1
rep,,,,
Manual,0.912 ± 0.022,0.849 ± 0.019,0.787 ± 0.049,0.846 ± 0.020
GPT-Schema,0.868 ± 0.039,0.835 ± 0.013,0.759 ± 0.043,0.820 ± 0.034
GPT-Free,0.878 ± 0.019,0.810 ± 0.018,0.736 ± 0.034,0.806 ± 0.027
GPT-Law,0.867 ± 0.030,0.798 ± 0.016,0.736 ± 0.044,0.813 ± 0.018
Raw-Facts,0.874 ± 0.022,0.815 ± 0.019,0.744 ± 0.030,0.805 ± 0.020
Hybrid-Manual,0.880 ± 0.018,0.822 ± 0.018,0.763 ± 0.054,0.828 ± 0.031
Hybrid-Full,0.892 ± 0.019,0.821 ± 0.015,0.763 ± 0.041,0.835 ± 0.017
