domain,rep,acc,recall_1,recall_2,recall_3,off_12,off_23,off_13_extreme
drugs,Manual,0.7957142857142857,0.9014285714285714,0.3333333333333333,0.8428571428571429,0.13357142857142856,0.05714285714285714,0.01357142857142857
drugs,GPT-Schema,0.7557142857142857,0.8557142857142856,0.3238095238095238,0.7979591836734693,0.14714285714285713,0.07928571428571429,0.017857142857142856
drugs,GPT-Free,0.7542857142857143,0.8357142857142859,0.2761904761904762,0.8428571428571429,0.1514285714285714,0.056428571428571425,0.03785714285714285
drugs,GPT-Law,0.7528571428571429,0.8642857142857143,0.16666666666666666,0.8448979591836735,0.14642857142857144,0.04928571428571429,0.05142857142857142
drugs,Raw-Facts,0.7764285714285714,0.9,0.15714285714285714,0.8653061224489795,0.1285714285714286,0.05,0.045
drugs,Hybrid-Manual,0.7685714285714286,0.8785714285714286,0.25238095238095243,0.8326530612244898,0.14,0.060714285714285714,0.03071428571428571
drugs,Hybrid-Full,0.7671428571428572,0.8485714285714285,0.2714285714285714,0.863265306122449,0.1492857142857143,0.05571428571428572,0.027857142857142855
weapon,Manual,0.740628166160081,0.8233082706766917,0.3759398496240602,0.7546583850931677,0.10840932117527863,0.10385005065856129,0.04711246200607903
weapon,GPT-Schema,0.6913705583756344,0.7975517890772128,0.42105263157894735,0.6277258566978193,0.1416243654822335,0.1314720812182741,0.035532994923857864
weapon,GPT-Free,0.6904761904761904,0.7734962406015039,0.3157894736842105,0.7080745341614907,0.13424518743667682,0.11246200607902736,0.06281661600810537
weapon,GPT-Law,0.6707193515704154,0.7528195488721805,0.33834586466165417,0.672360248447205,0.1413373860182371,0.13019250253292808,0.05775075987841945
weapon,Raw-Facts,0.6838905775075987,0.7622180451127818,0.3533834586466165,0.6909937888198757,0.13627152988855118,0.11499493414387033,0.06484295845997973
weapon,Hybrid-Manual,0.6975683890577506,0.7406015037593985,0.42105263157894735,0.7406832298136645,0.1403242147922999,0.11904761904761904,0.0430597771023303
weapon,Hybrid-Full,0.7178318135764945,0.8270676691729323,0.3458646616541353,0.6909937888198757,0.11144883485309016,0.12006079027355625,0.05065856129685917
