A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
Manual,GPT-Schema,11,0.018125648963422895,0.980361835012985,9,0.0068359375,0.0068359375,0.041015625,Large,✓,✓,drugs,Spearman
Manual,GPT-Free,11,0.05752922834135322,3.8302782263282866,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,Spearman
Manual,GPT-Law,11,0.08749603532493876,4.947198816555212,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,Spearman
Manual,Raw-Facts,11,0.06430675473634519,3.650871969678983,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,Spearman
Manual,Hybrid-Manual,11,0.020544588492032053,0.8658986677042241,10,0.0009765625,0.001171875,0.005859375,Large,✓,✓,drugs,Spearman
Manual,Hybrid-Full,11,0.024464367102471563,1.1192897554256467,10,0.0009765625,0.001171875,0.005859375,Large,✓,✓,drugs,Spearman
GPT-Schema,Manual,11,-0.018125648963422895,-0.980361835012985,2,0.9951171875,0.9951171875,1.0,Large,,,drugs,Spearman
GPT-Schema,GPT-Free,11,0.03940357937793033,1.7919209116824875,10,0.0009765625,0.001953125,0.005859375,Large,✓,✓,drugs,Spearman
GPT-Schema,GPT-Law,11,0.06937038636151587,4.525059078997022,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,Spearman
GPT-Schema,Raw-Facts,11,0.04618110577292229,2.2625659617503024,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,Spearman
GPT-Schema,Hybrid-Manual,11,0.0024189395286091553,0.09606347983617344,6,0.35009765625,0.4201171875,1.0,Negligible,,,drugs,Spearman
GPT-Schema,Hybrid-Full,11,0.006338718139048668,0.35045840115776555,6,0.16015625,0.240234375,0.9609375,Small,,,drugs,Spearman
GPT-Free,Manual,11,-0.05752922834135322,-3.8302782263282866,0,1.0,1.0,1.0,Large,,,drugs,Spearman
