config,domain,coverage,mae_lo,mae_lo_std,mae_hi,mae_hi_std,n_pred
A. sup only (top-10),drugs,1.0,6.329501084598698,0.2658256046774748,10.224511930585683,0.2900657783309239,2305
A. sup only (top-10),weapon,1.0,13.537121612884263,1.2753136336304578,20.28364192088403,1.3830862492127958,1593
B. sup top-20 + LLM rerank,drugs,1.0,6.278308026030369,0.3079167873252066,10.113015184381776,0.39314301669516377,2305
B. sup top-20 + LLM rerank,weapon,1.0,13.012713807088698,1.2892920070074174,19.310347969200023,1.2205385798810722,1593
C. sup top-50 + LLM rerank,drugs,1.0,6.179609544468546,0.31441635183874295,10.012581344902385,0.3922789731292054,2305
C. sup top-50 + LLM rerank,weapon,1.0,12.810847587139245,1.217685141320645,18.85145770881091,1.1721125234029843,1593
D. sup top-100 + LLM rerank,drugs,1.0,6.11236442516269,0.3028989215766207,9.906941431670282,0.35138353185077764,2305
D. sup top-100 + LLM rerank,weapon,1.0,12.498418856168813,1.1582866004149204,18.482442837829893,1.2865902139626122,1593
E. blend α=0.7 (sup heavy),drugs,1.0,6.023210412147505,0.29591025014233485,9.760303687635574,0.3521039049828868,2305
E. blend α=0.7 (sup heavy),weapon,1.0,12.092649738435316,1.0726139766600449,17.83131135014401,1.426975884602268,1593
F. blend α=0.5 (equal),drugs,1.0,5.899349240780911,0.3565307055696652,9.566377440347072,0.36766968039022724,2305
F. blend α=0.5 (equal),weapon,1.0,11.798377711162054,0.904071844405684,17.207350261564688,1.390825087900961,1593
G. blend α=0.3 (LLM heavy),drugs,1.0,5.7253796095444685,0.4006578645400865,9.16182212581345,0.3992644846261101,2305
G. blend α=0.3 (LLM heavy),weapon,1.0,11.34721389525657,0.8734152541142707,16.5324810439076,1.3037887332767233,1593
H. LLM-all only (top-10),drugs,1.0,5.178308026030369,0.3234319874081354,8.086767895878525,0.3567192191551972,2305
H. LLM-all only (top-10),weapon,1.0,11.146787750543702,1.380256139450735,16.089228825016164,1.76816197086283,1593
