model,domain,K,lo_mae_mean,lo_mae_std,hi_mae_mean,hi_mae_std,avg_mae,n_test
baseline (no filter),drugs,3,6.415184381778742,0.2832053147535826,10.285466377440347,0.31084152140331806,8.350325379609544,2305
baseline (no filter),drugs,5,6.3783080260303695,0.2882119776339052,10.275054229934925,0.3575341402446994,8.326681127982647,2305
baseline (no filter),drugs,10,6.365075921908893,0.2943377865099977,10.234490238611714,0.31389286967216956,8.299783080260305,2305
baseline (no filter),drugs,20,6.366377440347072,0.264974587530265,10.266160520607375,0.27015500859102015,8.316268980477224,2305
baseline (no filter),weapon,3,12.644324927996239,1.0305826160644527,18.663616058308353,1.6060464023548136,15.653970493152297,1593
baseline (no filter),weapon,5,12.595961911479458,1.1029983641812402,18.46035972491624,1.9051124554621015,15.52816081819785,1593
baseline (no filter),weapon,10,12.44355786751308,1.0398986581169736,18.45876976429789,1.8793982949214578,15.451163815905485,1593
baseline (no filter),weapon,20,12.451578204902134,0.9975128327543035,18.473194028096163,1.8556606231629071,15.462386116499149,1593
filtered (offense + backfill cap=12),drugs,3,6.378308026030369,0.35173988959123476,10.309327548806943,0.36318221045006954,8.343817787418656,2305
filtered (offense + backfill cap=12),drugs,5,6.335357917570499,0.27769370015847,10.285466377440347,0.38827603326173493,8.310412147505422,2305
filtered (offense + backfill cap=12),drugs,10,6.329501084598698,0.2658256046774748,10.224511930585683,0.2900657783309239,8.27700650759219,2305
filtered (offense + backfill cap=12),drugs,20,6.323427331887202,0.2745549726238888,10.227982646420823,0.3372128811783486,8.275704989154013,2305
filtered (offense + backfill cap=12),weapon,3,14.281231999059543,1.4995328328502266,20.9141656380415,1.3640907164350944,17.59769881855052,1593
filtered (offense + backfill cap=12),weapon,5,13.90333862340563,1.3182833066988295,20.463974607652972,1.6014149095129457,17.1836566155293,1593
filtered (offense + backfill cap=12),weapon,10,13.537121612884263,1.2753136336304578,20.28364192088403,1.3830862492127958,16.910381766884147,1593
filtered (offense + backfill cap=12),weapon,20,13.606803620760596,0.8257166263133071,20.363022394639394,1.1835144066607932,16.984913007699994,1593
