domain,pool_size,pool_num,avg_mae,cost_usd,mae_lo,mae_hi
drugs,10,10,8.27700650759219,16.3655,6.329501084598698,10.224511930585685
drugs,20,20,8.195661605206073,32.731,6.278308026030369,10.113015184381776
drugs,50,50,8.096095444685465,81.8275,6.179609544468546,10.012581344902385
drugs,100,100,8.009652928416486,163.655,6.11236442516269,9.906941431670282
drugs,200,200,7.933405639913232,327.31,6.054663774403471,9.812147505422994
drugs,500,500,7.68004338394794,818.275,5.874837310195228,9.48524945770065
drugs,1000,1000,7.2865509761388285,1636.55,5.652060737527115,8.921041214750542
drugs,all,1800,6.763882863340564,2945.79,5.266377440347072,8.261388286334057
weapon,10,10,16.910381766884147,11.3103,13.537121612884263,20.28364192088403
weapon,20,20,16.161530888144362,22.6206,13.012713807088698,19.310347969200023
weapon,50,50,15.831152647975077,56.551500000000004,12.810847587139245,18.85145770881091
weapon,100,100,15.490430846999352,113.10300000000001,12.498418856168811,18.482442837829893
weapon,200,200,14.786711632281197,226.20600000000002,11.937803444424851,17.635619820137542
weapon,500,500,14.005678010932815,565.515,11.403941103861753,16.60741491800388
weapon,1000,1000,13.443266913536707,1131.03,10.858904955034388,16.027628872039028
weapon,all,1300,13.428115264797508,1470.339,10.8418797390231,16.014350790571918
