domain,pool_size,mean_llm_in_pool,frac_scored
drugs,10,50.57553145336226,1.0
drugs,20,48.58255965292841,1.0
drugs,50,48.13420459707808,0.5672537960954447
drugs,100,47.129672767015236,0.3882733188720174
drugs,200,45.48125286360486,0.2709587852494577
drugs,500,42.81054492874024,0.17384468546637744
drugs,1000,41.70831370780598,0.12284772234273318
drugs,all,40.95883619659746,0.0868525933907708
weapon,10,48.11311989956057,1.0
weapon,20,45.69733207784056,1.0
weapon,50,45.19074339152591,0.5965473948524795
weapon,100,44.1371131934966,0.4239171374764595
weapon,200,42.19658371953851,0.308458882611425
weapon,500,38.93868269937624,0.20763590709353422
weapon,1000,37.088360575477566,0.15315819209039547
weapon,all,36.35312102346016,0.13489483448095035
