domain,pool_size,quartile,n,avg_mae
drugs,10,Q1,572,5.651223776223776
drugs,10,Q2,545,4.438532110091743
drugs,10,Q3,590,5.735169491525424
drugs,10,Q4,598,16.79473244147157
drugs,20,Q1,572,5.5979020979020975
drugs,20,Q2,545,4.45045871559633
drugs,20,Q3,590,5.780508474576271
drugs,20,Q4,598,16.476588628762542
drugs,50,Q1,572,5.548076923076923
drugs,50,Q2,545,4.394954128440367
drugs,50,Q3,590,5.752966101694915
drugs,50,Q4,598,16.218227424749163
drugs,100,Q1,572,5.533653846153846
drugs,100,Q2,545,4.348623853211009
drugs,100,Q3,590,5.7652542372881355
drugs,100,Q4,598,15.928929765886288
drugs,200,Q1,572,5.460664335664336
drugs,200,Q2,545,4.35
drugs,200,Q3,590,5.776694915254238
drugs,200,Q4,598,15.692307692307692
drugs,500,Q1,572,5.293269230769231
drugs,500,Q2,545,4.282110091743119
drugs,500,Q3,590,5.71271186440678
drugs,500,Q4,598,15.000836120401338
drugs,1000,Q1,572,5.1022727272727275
drugs,1000,Q2,545,4.039908256880734
drugs,1000,Q3,590,5.36864406779661
drugs,1000,Q4,598,14.227006688963211
drugs,all,Q1,572,4.610576923076923
drugs,all,Q2,545,3.6123853211009176
drugs,all,Q3,590,5.076271186440678
drugs,all,Q4,598,13.360785953177258
weapon,10,Q1,389,11.130462724935732
weapon,10,Q2,404,7.3155940594059405
weapon,10,Q3,391,8.96611253196931
weapon,10,Q4,409,39.49144254278728
weapon,20,Q1,389,11.052699228791774
weapon,20,Q2,404,7.83539603960396
weapon,20,Q3,391,8.638107416879796
weapon,20,Q4,409,36.44987775061125
weapon,50,Q1,389,10.512210796915166
weapon,50,Q2,404,7.719678217821782
weapon,50,Q3,391,8.70076726342711
weapon,50,Q4,409,35.729828850855746
weapon,100,Q1,389,10.032776349614396
weapon,100,Q2,404,7.637376237623762
weapon,100,Q3,391,8.634910485933505
weapon,100,Q4,409,35.00305623471883
weapon,200,Q1,389,9.562339331619537
weapon,200,Q2,404,7.404084158415841
weapon,200,Q3,391,8.672634271099744
weapon,200,Q4,409,32.90158924205379
weapon,500,Q1,389,9.654884318766067
weapon,500,Q2,404,7.263613861386139
weapon,500,Q3,391,8.396419437340153
weapon,500,Q4,409,30.174816625916872
weapon,1000,Q1,389,9.511568123393316
weapon,1000,Q2,404,6.853341584158416
weapon,1000,Q3,391,8.666879795396419
weapon,1000,Q4,409,28.267726161369193
weapon,all,Q1,389,9.4646529562982
weapon,all,Q2,404,7.087252475247524
weapon,all,Q3,391,8.714194373401535
weapon,all,Q4,409,27.974938875305625
