config,domain,coverage_mean,mae_lo,mae_lo_std,mae_hi,mae_hi_std
Global median (no similarity),drugs,1.0,8.43123644251627,0.2301312958375278,14.07939262472885,0.24975743569631367
Global median (no similarity),weapon,1.0,16.666590254511256,0.8511647263563312,25.46149415153118,1.0603907237629941
Random + median,drugs,1.0,8.960520607375273,0.2627579975650065,15.174620390455534,0.1492811326167918
Random + median,weapon,1.0,17.312411097396108,0.925132687437514,26.42286780697114,1.094851278700247
Random + LLM rerank,drugs,0.9670281995661606,6.444913644448538,0.42874135213039893,10.15781294885862,0.49794476499506923
Random + LLM rerank,weapon,0.9893258096749544,13.686696823957684,0.7541526141727781,20.070731263574864,0.8268650559222215
Citation 1hop + median,drugs,0.3080260303687635,6.1928862522433805,0.3847049596303097,9.734885344608326,0.8097920210743899
Citation 1hop + median,weapon,0.31264915064950327,11.582292451389595,0.8849223435184168,16.455512233194206,1.344239158344937
Citation 1hop + LLM rerank,drugs,0.3080260303687635,6.1928862522433805,0.3847049596303097,9.736274233497216,0.8083551763439311
Citation 1hop + LLM rerank,weapon,0.31264915064950327,11.588675430113,0.8901788209027199,16.476788828938886,1.3566384799748084
Citation ALL + median,drugs,0.793058568329718,7.397299100026144,0.3634874415852706,11.467788836142926,0.5107147743907122
Citation ALL + median,weapon,0.9045964850408511,16.406491563423995,1.7117657671433946,24.82768554497132,2.64189678949598
Citation ALL + LLM rerank,drugs,0.793058568329718,6.072385892890232,0.4607970929540161,9.392369046590968,0.6994754128835144
Citation ALL + LLM rerank,weapon,0.9045964850408511,12.90470323380842,1.3749717779293036,19.486190486853534,2.7488602075354915
Baseline supervised + median,drugs,1.0,6.365075921908893,0.2943377865099977,10.234490238611714,0.31389286967216956
Baseline supervised + median,weapon,1.0,12.44355786751308,1.0398986581169736,18.45876976429789,1.8793982949214578
Baseline supervised + LLM rerank,drugs,1.0,6.2180043383947945,0.2409872384043159,10.118438177874188,0.23521467696473822
Baseline supervised + LLM rerank,weapon,1.0,12.517912772585671,1.1652159253196206,18.286921765708577,2.154211333888026
Filtered supervised + median,drugs,1.0,6.329501084598698,0.2658256046774748,10.224511930585683,0.2900657783309239
Filtered supervised + median,weapon,1.0,13.537121612884263,1.2753136336304578,20.28364192088403,1.3830862492127958
Filtered supervised + LLM rerank,drugs,1.0,6.11236442516269,0.3028989215766207,9.906941431670282,0.35138353185077764
Filtered supervised + LLM rerank,weapon,1.0,12.498418856168813,1.1582866004149204,18.482442837829893,1.2865902139626122
"LLM oracle (no filter, UB)",drugs,1.0,5.178308026030369,0.3234319874081354,8.086767895878525,0.3567192191551972
"LLM oracle (no filter, UB)",weapon,1.0,11.146787750543702,1.380256139450735,16.089228825016164,1.76816197086283
