query,domain,fold,year,method,err_lo,err_hi
תפ_8336-04-14,drugs,1,2014.0,global_median,5.0,10.0
תפ_8336-04-14,drugs,1,2014.0,sup_only,5.5,8.5
תפ_8336-04-14,drugs,1,2014.0,sup_llm,6.0,10.0
תפ_8336-04-14,drugs,1,2014.0,llm_best,7.0,14.0
תפ_8336-04-14,drugs,1,2014.0,tfidf_ridge,10.530691099508987,18.533572102619665
תפ_8336-04-14,drugs,1,2014.0,bm25,14.0,29.0
תפ_13781-01-24,drugs,1,2024.0,global_median,0.0,0.0
תפ_13781-01-24,drugs,1,2024.0,random_llm,3.0,5.0
תפ_13781-01-24,drugs,1,2024.0,citation_llm,3.0,9.0
תפ_13781-01-24,drugs,1,2024.0,sup_only,0.0,1.5
תפ_13781-01-24,drugs,1,2024.0,sup_llm,0.0,2.0
תפ_13781-01-24,drugs,1,2024.0,llm_best,2.0,7.5
תפ_13781-01-24,drugs,1,2024.0,tfidf_ridge,5.1042762395893835,7.064310363001621
תפ_13781-01-24,drugs,1,2024.0,bm25,2.0,0.0
תפ_13781-01-24,drugs,1,2024.0,offense_matched_random,2.0,2.0
תפ_43632-05-17,drugs,1,2017.0,global_median,15.0,24.0
תפ_43632-05-17,drugs,1,2017.0,random_llm,0.5,6.0
תפ_43632-05-17,drugs,1,2017.0,citation_llm,13.0,23.0
תפ_43632-05-17,drugs,1,2017.0,sup_only,0.0,0.0
תפ_43632-05-17,drugs,1,2017.0,sup_llm,4.5,10.0
תפ_43632-05-17,drugs,1,2017.0,llm_best,1.5,9.0
תפ_43632-05-17,drugs,1,2017.0,tfidf_ridge,9.460501769961255,15.804328937379417
תפ_43632-05-17,drugs,1,2017.0,bm25,8.0,15.0
תפ_43632-05-17,drugs,1,2017.0,offense_matched_random,17.0,30.0
תפ_1276-05-15,drugs,1,2015.0,global_median,4.0,8.0
תפ_1276-05-15,drugs,1,2015.0,random_llm,4.0,8.0
תפ_1276-05-15,drugs,1,2015.0,citation_llm,4.0,8.0
תפ_1276-05-15,drugs,1,2015.0,sup_only,1.0,8.0
תפ_1276-05-15,drugs,1,2015.0,sup_llm,1.0,8.0
תפ_1276-05-15,drugs,1,2015.0,llm_best,3.5,3.0
תפ_1276-05-15,drugs,1,2015.0,tfidf_ridge,2.6878338275339004,0.4680546375491943
תפ_1276-05-15,drugs,1,2015.0,bm25,5.0,9.0
תפ_1276-05-15,drugs,1,2015.0,offense_matched_random,8.0,18.5
תפ_63025-03-15,drugs,1,2015.0,global_median,1.0,6.0
תפ_63025-03-15,drugs,1,2015.0,random_llm,3.0,6.0
תפ_63025-03-15,drugs,1,2015.0,citation_llm,1.0,0.0
תפ_63025-03-15,drugs,1,2015.0,sup_only,2.0,6.0
תפ_63025-03-15,drugs,1,2015.0,sup_llm,2.0,1.0
תפ_63025-03-15,drugs,1,2015.0,llm_best,1.0,3.0
