domain,K,n_total,n_pred,coverage,mae_lo,mae_lo_ci,mae_hi,mae_hi_ci
drugs,1,2713,2352,0.8669,6.483,"[6.10,6.93]",9.839,"[9.29,10.45]"
drugs,3,2713,2119,0.7811,5.439,"[5.10,5.82]",8.399,"[7.94,8.92]"
drugs,5,2713,1964,0.7239,5.09,"[4.82,5.38]",7.943,"[7.55,8.36]"
drugs,10,2713,1627,0.5997,4.824,"[4.51,5.13]",7.383,"[6.95,7.83]"
drugs,15,2713,1320,0.4865,5.068,"[4.71,5.45]",7.798,"[7.29,8.30]"
drugs,20,2713,1084,0.3996,5.298,"[4.88,5.74]",8.052,"[7.48,8.69]"
weapon,1,1719,1630,0.9482,14.369,"[13.10,15.70]",21.383,"[19.18,23.84]"
weapon,3,1719,1516,0.8819,11.916,"[10.76,13.21]",17.46,"[15.69,19.52]"
weapon,5,1719,1422,0.8272,11.278,"[10.07,12.67]",16.733,"[14.91,18.90]"
weapon,10,1719,1268,0.7376,10.793,"[9.56,12.17]",15.507,"[13.85,17.50]"
weapon,15,1719,1142,0.6643,10.53,"[9.36,11.92]",15.328,"[13.51,17.46]"
weapon,20,1719,1021,0.5939,9.756,"[8.61,11.06]",14.298,"[12.48,16.37]"
