query,true_low,true_high,n_neighbors,citation_only_pred_low,citation_llm_pred_low,neighbor,llm_score,neighbor_low,neighbor_high,in_llm_top10
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_4795-12-17,65,60.0,144.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_40390-08-15,55,48.0,96.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_39094-05-12,55,240.0,324.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_18488-12-15,55,72.0,120.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_25581-12-12,45,120.0,192.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_866-07-14,45,120.0,180.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_24704-02-19,45,216.0,276.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_55639-05-17,45,216.0,240.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_30145-08-13,45,120.0,168.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_52360-06-20,45,84.0,120.0,True
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_21279-09-15,40,18.0,48.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_55188-10-17,40,72.0,108.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_24047-02-18,35,18.0,40.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_43085-06-21,35,48.0,84.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_35192-06-12,35,120.0,168.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_1161-08,35,60.0,120.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_3531-12-13,35,48.0,96.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_20733-12-22,25,54.0,90.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_52254-06-12,25,20.0,60.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_24817-06-10,25,12.0,36.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_62279-07-22,25,22.0,46.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_63305-08-22,25,34.0,46.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_28282-01-14,25,8.0,24.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_5551-06-16,20,24.0,48.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפח_34198-06-18,15,12.0,24.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_56714-06-19,10,8.0,24.0,False
תפח_20623-11-12,120.0,168.0,27,48.0,120.0,תפ_9723-10-19,10,12.0,30.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_54648-02-17,85,30.0,60.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_22062-04-13,85,42.0,72.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_737-10-13,85,60.0,90.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_9160-02-15,85,45.0,85.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_33745-01-13,85,42.0,72.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_21162-10-19,85,24.0,48.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_4435-11-17,85,54.0,90.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_13718-09-16,85,48.0,84.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_22679-09-16,80,66.0,102.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_22140-04-18,80,48.0,84.0,True
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_67527-03-18,75,54.0,90.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_22433-05-18,75,45.0,75.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_17404-07-18,75,24.0,48.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_44404-01-16,75,30.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_26620-12-16,75,30.0,60.0,False
תפ_4760-10-18,42.0,84.0,228,12.0,46.5,תפ_36422-07-13,75,24.0,55.0,False
