domain,pool_size,n_pred,low_within_6mo,high_within_6mo,both_within_6mo
drugs,10,2516,0.7154213036565977,0.5536565977742448,0.5210651828298887
drugs,20,2516,0.7209856915739269,0.5667726550079492,0.5345786963434023
drugs,50,2516,0.7261526232114467,0.5711446740858506,0.541335453100159
drugs,100,2516,0.724960254372019,0.5731319554848967,0.5389507154213037
drugs,200,2516,0.730127186009539,0.5731319554848967,0.5425278219395866
drugs,500,2516,0.7333068362480127,0.5862480127186009,0.5520667726550079
drugs,1000,2516,0.7452305246422893,0.6005564387917329,0.5687599364069952
drugs,all,2516,0.7595389507154213,0.6279809220985691,0.5937996820349761
weapon,10,1688,0.534952606635071,0.39395734597156395,0.3424170616113744
weapon,20,1688,0.5533175355450237,0.40580568720379145,0.3536729857819905
weapon,50,1688,0.556872037914692,0.4206161137440758,0.36492890995260663
weapon,100,1688,0.5675355450236966,0.4206161137440758,0.3684834123222749
weapon,200,1688,0.5770142180094787,0.4354265402843602,0.3809241706161137
weapon,500,1688,0.5787914691943128,0.45023696682464454,0.3868483412322275
weapon,1000,1688,0.5888625592417062,0.44786729857819907,0.3886255924170616
weapon,all,1688,0.5864928909952607,0.44609004739336494,0.384478672985782
