domain,pool_size,mean_llm_in_pool,frac_scored
drugs,10,50.45267231846665,1.0
drugs,20,48.584592701806116,1.0
drugs,50,48.383172908470875,0.5410246959085883
drugs,100,47.80201298332292,0.35557316623663837
drugs,200,46.74272985968728,0.23897346111315887
drugs,500,44.823060067142464,0.14824769627718393
drugs,1000,43.73823946046371,0.105447106524143
drugs,all,42.84427585803312,0.06799012993443221
weapon,10,46.19383362420012,1.0
weapon,20,44.06570680628272,1.0
weapon,50,43.827354731428805,0.6057707969749856
weapon,100,43.00905150519702,0.42524723676556136
weapon,200,41.6381992130059,0.30224258289703315
weapon,500,39.32151532150925,0.19500988947062245
weapon,1000,37.881064702201904,0.1418429319371728
weapon,all,37.08647397532617,0.12003318566356695
