domain,pool_size,quartile,n,avg_mae
drugs,10,Q1,620,4.655241935483871
drugs,10,Q2,666,4.2725225225225225
drugs,10,Q3,755,5.404966887417219
drugs,10,Q4,672,16.225446428571427
drugs,20,Q1,620,4.640322580645162
drugs,20,Q2,666,4.196321321321322
drugs,20,Q3,755,5.347350993377484
drugs,20,Q4,672,15.999255952380953
drugs,50,Q1,620,4.606854838709677
drugs,50,Q2,666,4.230105105105105
drugs,50,Q3,755,5.320529801324503
drugs,50,Q4,672,15.764880952380953
drugs,100,Q1,620,4.585887096774194
drugs,100,Q2,666,4.228603603603603
drugs,100,Q3,755,5.339072847682119
drugs,100,Q4,672,15.475818452380953
drugs,200,Q1,620,4.568548387096774
drugs,200,Q2,666,4.25975975975976
drugs,200,Q3,755,5.3748344370860925
drugs,200,Q4,672,15.169642857142858
drugs,500,Q1,620,4.47016129032258
drugs,500,Q2,666,4.210960960960961
drugs,500,Q3,755,5.336092715231788
drugs,500,Q4,672,14.603422619047619
drugs,1000,Q1,620,4.412096774193548
drugs,1000,Q2,666,4.052177177177177
drugs,1000,Q3,755,5.281788079470199
drugs,1000,Q4,672,14.057291666666666
drugs,all,Q1,620,4.122983870967742
drugs,all,Q2,666,3.669294294294294
drugs,all,Q3,755,5.150331125827814
drugs,all,Q4,672,13.354910714285714
weapon,10,Q1,420,10.82857142857143
weapon,10,Q2,432,6.916087962962963
weapon,10,Q3,425,8.23235294117647
weapon,10,Q4,442,41.8789592760181
weapon,20,Q1,420,11.02797619047619
weapon,20,Q2,432,7.221643518518518
weapon,20,Q3,425,8.397058823529411
weapon,20,Q4,442,40.43552036199095
weapon,50,Q1,420,10.672619047619047
weapon,50,Q2,432,7.184606481481482
weapon,50,Q3,425,8.42470588235294
weapon,50,Q4,442,38.3512443438914
weapon,100,Q1,420,10.317261904761905
weapon,100,Q2,432,7.072916666666667
weapon,100,Q3,425,8.551764705882354
weapon,100,Q4,442,37.55599547511312
weapon,200,Q1,420,10.379166666666666
weapon,200,Q2,432,7.388888888888889
weapon,200,Q3,425,8.64764705882353
weapon,200,Q4,442,35.97115384615385
weapon,500,Q1,420,9.827380952380953
weapon,500,Q2,432,7.096064814814815
weapon,500,Q3,425,8.676470588235293
weapon,500,Q4,442,33.94570135746606
weapon,1000,Q1,420,9.861904761904762
weapon,1000,Q2,432,6.765625
weapon,1000,Q3,425,8.647058823529411
weapon,1000,Q4,442,32.64932126696833
weapon,all,Q1,420,10.196428571428571
weapon,all,Q2,432,7.001736111111111
weapon,all,Q3,425,8.635882352941177
weapon,all,Q4,442,32.17024886877828
