domain,K_oracle,pool_size,recall
drugs,10,10,0.1442314780685588
drugs,10,20,0.23943973461113163
drugs,10,50,0.31275340950976777
drugs,10,100,0.38507187615186145
drugs,10,200,0.4720973092517508
drugs,10,500,0.6291927755252488
drugs,10,1000,0.8096203464799115
drugs,10,all,1.0
drugs,20,10,0.13861039439734613
drugs,20,20,0.24082196830077401
drugs,20,50,0.31363803907113896
drugs,20,100,0.38676741614448945
drugs,20,200,0.4725027644673792
drugs,20,500,0.627405086619978
drugs,20,1000,0.8049576115001843
drugs,20,all,1.0
drugs,50,10,0.12566779931897404
drugs,50,20,0.23549335757639261
drugs,50,50,0.3035620561256594
drugs,50,100,0.37638879422399324
drugs,50,200,0.46347755936061114
drugs,50,500,0.6187807788174629
drugs,50,1000,0.7973393041971844
drugs,50,all,1.0
weapon,10,10,0.14141942990110531
weapon,10,20,0.23263525305410124
weapon,10,50,0.33507853403141363
weapon,10,100,0.431413612565445
weapon,10,200,0.5492146596858639
weapon,10,500,0.7343222803955789
weapon,10,1000,0.9283304246655033
weapon,10,all,1.0
weapon,20,10,0.13254799301919723
weapon,20,20,0.2284176847004072
weapon,20,50,0.32847585805700985
weapon,20,100,0.4233856893542758
weapon,20,200,0.5412449098312974
weapon,20,500,0.7281559045956952
weapon,20,1000,0.9255671902268761
weapon,20,all,1.0
weapon,50,10,0.11514893594292984
weapon,50,20,0.21505645245595856
weapon,50,50,0.31208669079869583
weapon,50,100,0.4080885740604417
weapon,50,200,0.5256144551403921
weapon,50,500,0.7157524946373741
weapon,50,1000,0.9173976098234374
weapon,50,all,1.0
