config,domain,coverage_mean,mae_lo,mae_lo_std,mae_hi,mae_hi_std
Global median (no similarity),drugs,1.0,8.496284911472967,0.3259034905057735,13.97906902738752,0.4597832388188801
Global median (no similarity),weapon,1.0,17.46832575763941,1.815542935053783,26.160285999949586,3.166826094753763
Random + median,drugs,1.0,9.0582975049934,0.33790796542344576,14.965608517553065,0.4646040642906584
Random + median,weapon,1.0,18.406983641542247,1.5907052693765487,27.575106073718082,2.698119003900501
Random + LLM rerank,drugs,0.9366065201936424,6.756848680462037,0.5748532983292942,11.00455727260539,0.9410619957073737
Random + LLM rerank,weapon,0.9871921761705919,15.085749771143558,1.546461223644572,22.02040087370491,2.5614661313007963
Citation 1hop + median,drugs,0.35236940993263144,5.960515418925817,0.688215328844044,9.600520208445827,1.0021781722421301
Citation 1hop + median,weapon,0.3281236084388469,12.736500495150612,2.3361018366736253,18.650391184238977,3.334583461646932
Citation 1hop + LLM rerank,drugs,0.35236940993263144,5.958316554602995,0.6896249250511843,9.601788784016687,0.9938304593190433
Citation 1hop + LLM rerank,weapon,0.3281236084388469,12.747119964177159,2.34752268827746,18.671630122292072,3.346841954199873
Citation ALL + median,drugs,0.8669379464436846,6.624382177097968,0.6019251983592617,10.179419931170948,0.7401104223488257
Citation ALL + median,weapon,0.9482393863267827,15.944566663549745,1.7585188869109212,23.417308595764386,2.4817931627006047
Citation ALL + LLM rerank,drugs,0.8669379464436846,5.325722909548112,0.499288821630407,8.178294021268341,0.7292619349097191
Citation ALL + LLM rerank,weapon,0.9482393863267827,12.462542627407029,1.803392174567405,18.252821319273984,2.8875381585862856
Baseline supervised + median,drugs,1.0,6.365075921908893,0.2943377865099977,10.234490238611714,0.31389286967216956
Baseline supervised + median,weapon,1.0,12.44355786751308,1.0398986581169736,18.45876976429789,1.8793982949214578
Baseline supervised + LLM rerank,drugs,1.0,6.213665943600868,0.23368634790607548,10.134056399132321,0.24083171573214304
Baseline supervised + LLM rerank,weapon,1.0,12.61928819138306,1.2413510209620806,18.41367189796038,2.140400649890866
Filtered supervised + median,drugs,1.0,5.888152950336843,0.3544080660989925,9.38427299502353,0.561240423808892
Filtered supervised + median,weapon,1.0,13.848664521386983,1.9251622149949872,20.51863200611657,3.860850391816422
Filtered supervised + LLM rerank,drugs,1.0,5.688477944412472,0.3978219136941151,9.122850807407158,0.6615306985547789
Filtered supervised + LLM rerank,weapon,1.0,12.967178901202308,1.7325206025778754,19.16394081716672,3.4931177354068157
"LLM oracle (no filter, UB)",drugs,1.0,5.12156504959545,0.48274071681613584,8.055986323165985,0.634385213508327
"LLM oracle (no filter, UB)",weapon,1.0,12.116623957116811,1.4321208798351497,17.419770460675004,2.2444859489424465
