domain,query,n_in_sup100,n_has_cit,n_in_both,n_in_neither,avg_sup_rank,median_sup_rank,n_picks_rank_101_200,n_picks_rank_201_500,n_picks_rank_501_1000,n_picks_rank_above_1000
drugs,תפ_8336-04-14,3,0,0,7,362.7,264.5,1,3,2,1
drugs,תפ_13781-01-24,2,6,2,4,755.7,615.0,0,3,2,3
drugs,תפ_23062-12-21,5,7,3,1,138.9,74.0,2,3,0,0
drugs,תפ_1276-05-15,0,1,0,9,1025.3,896.0,0,2,3,5
drugs,תפ_63025-03-15,7,8,6,1,136.5,47.5,0,2,1,0
drugs,תפ_809-09-18,1,6,0,3,1043.5,1304.5,0,2,1,6
drugs,תפ_50607-03-19,1,4,0,5,961.3,727.0,0,2,4,3
drugs,תפ_7629-11-17,5,5,4,4,217.2,93.5,2,1,2,0
drugs,תפ_4606-08-20,0,5,0,5,1151.2,1537.0,2,1,1,6
drugs,תפ_19985-04-14,1,2,1,8,923.0,1184.0,0,2,1,6
drugs,תפ_18011-01-20,2,1,0,7,617.1,522.0,0,3,2,3
drugs,תפ_16982-03-21,2,4,0,4,884.2,653.5,0,1,3,4
drugs,תפ_64660-01-22,6,8,4,0,514.0,62.5,0,0,2,2
drugs,תפ_44694-10-18,3,2,1,6,717.3,494.0,0,2,1,4
drugs,תפ_29019-03-10,1,0,0,9,673.8,654.5,1,3,2,3
drugs,תפ_13048-04-21,1,5,1,5,265.5,246.0,4,5,0,0
drugs,תפ_27103-01-18,1,5,0,4,904.8,712.0,1,2,2,4
drugs,תפ_39308-05-15,3,4,1,4,589.6,272.5,1,2,0,4
drugs,תפ_27683-01-21,3,8,2,1,539.3,741.5,1,0,6,0
drugs,תפ_25137-02-20,3,1,0,6,712.9,753.0,0,0,3,4
drugs,תפ_4435-07-19,7,8,5,0,114.7,54.0,2,0,1,0
drugs,תפ_54673-05-17,3,1,0,6,572.1,488.5,0,2,3,2
drugs,תפ_6681-09-21,2,3,0,5,368.7,315.0,0,5,3,0
drugs,תפ_893-03-22,3,0,0,7,387.8,162.0,2,1,3,1
drugs,תפ_45644-11-22,3,3,0,4,581.9,457.5,1,1,2,3
drugs,תפ_16097-08-21,3,9,3,1,272.9,320.5,1,5,1,0
drugs,תפ_49510-11-23,5,6,2,1,227.9,108.0,1,3,1,0
drugs,תפ_55372-10-17,1,1,0,8,767.6,557.5,0,4,2,3
drugs,תפ_60484-03-22,1,8,0,1,175.0,154.5,5,4,0,0
drugs,תפ_24895-03-20,5,5,4,4,600.9,129.5,1,0,0,4
drugs,תפ_30637-02-21,4,3,2,5,224.9,233.0,0,5,1,0
drugs,תפ_18216-09-16,3,2,1,6,350.3,345.5,0,5,1,1
drugs,תפ_9109-02-16,5,7,3,1,450.8,117.0,1,1,2,1
drugs,תפ_62070-05-20,1,7,1,3,616.3,770.5,0,2,7,0
drugs,תפ_53692-11-14,1,2,0,7,756.9,750.0,1,2,3,3
drugs,תפ_50860-02-20,3,7,1,1,535.6,378.0,2,0,4,1
drugs,תפ_37176-11-17,0,5,0,5,1217.4,1310.0,0,0,2,8
drugs,תפ_22433-05-18,10,6,6,0,23.1,20.0,0,0,0,0
drugs,תפ_32581-06-20,6,2,1,3,115.7,35.0,2,2,0,0
drugs,תפ_53090-10-19,0,2,0,8,796.5,890.0,0,2,6,2
drugs,תפ_65386-09-19,2,4,0,4,588.6,332.0,2,2,2,2
drugs,תפ_58944-08-21,3,8,2,1,467.9,440.5,0,2,4,1
drugs,תפ_46315-12-23,3,5,1,3,384.8,407.5,0,3,4,0
drugs,תפ_42162-12-21,2,6,2,4,448.9,449.0,0,5,2,1
drugs,תפ_49055-02-18,2,7,1,2,697.0,730.5,1,2,1,4
drugs,תפ_23282-05-17,3,5,1,3,614.4,580.0,0,1,4,2
drugs,תפ_32175-07-22,5,2,0,3,128.7,91.5,3,2,0,0
drugs,תפק_11489-02-23,3,7,3,3,402.7,404.5,1,3,2,1
drugs,תפ_47879-06-13,6,3,2,3,124.1,53.5,2,2,0,0
drugs,תפ_27373-07-20,6,1,1,4,640.0,39.5,0,0,0,4
drugs,תפ_60295-03-22,0,8,0,2,263.4,285.5,3,7,0,0
drugs,תפ_15392-04-17,0,4,0,6,1477.4,1602.0,0,1,0,9
drugs,תפ_25835-05-18,2,7,0,1,818.1,755.5,0,2,2,4
drugs,תפ_17081-12-16,3,0,0,7,841.8,939.0,1,0,1,5
drugs,תפ_38680-05-20,5,1,1,5,431.9,94.0,1,0,2,2
drugs,תפ_60476-05-13,3,2,1,6,714.4,877.5,1,0,1,5
drugs,תפ_32815-03-20,7,4,3,2,201.7,21.0,0,2,0,1
drugs,תפ_13927-04-13,5,3,0,2,628.2,73.0,1,0,0,4
drugs,תפ_33848-05-14,2,1,0,7,963.5,1333.0,0,2,0,6
drugs,תפ_26896-07-16,4,0,0,6,310.7,146.0,2,2,1,1
drugs,תפ_53725-11-14,5,1,1,5,332.9,92.0,1,2,0,2
drugs,תפ_1722-05-21,1,3,0,6,789.9,894.0,1,0,3,5
drugs,תפ_67646-05-24,0,4,0,6,397.6,347.0,2,5,3,0
drugs,תפ_8900-11-22,6,5,2,1,398.3,72.5,0,1,1,2
drugs,תפ_53127-06-16,1,8,1,2,719.3,643.5,0,1,6,2
drugs,תפ_60154-02-19,1,2,0,7,804.6,867.0,0,1,4,4
drugs,תפ_46735-02-20,2,7,1,2,750.1,944.5,0,2,2,4
drugs,תפ_12158-04-23,5,4,1,2,352.0,149.5,0,3,1,1
drugs,תפ_1969-02-17,6,2,1,3,205.1,76.0,2,0,2,0
drugs,תפ_51797-01-21,1,5,0,4,459.0,369.0,2,3,4,0
drugs,תפ_59009-05-21,2,6,2,4,778.2,765.0,0,0,6,2
drugs,תפ_44427-10-18,2,2,1,7,793.4,942.0,0,2,2,4
drugs,תפ_31103-09-17,6,6,3,1,268.3,64.5,1,1,1,1
drugs,תפ_15251-11-19,2,1,0,7,519.9,567.5,0,2,4,2
drugs,תפ_57043-06-16,5,6,4,3,259.1,153.5,0,3,2,0
drugs,תפ_42796-02-24,3,3,3,7,754.3,717.5,0,1,2,4
drugs,תפ_31419-11-20,9,7,7,1,42.6,29.0,1,0,0,0
drugs,תפ_46914-06-18,5,6,3,2,371.7,231.5,0,1,4,0
drugs,תפ_42761-01-18,10,7,7,0,24.8,24.0,0,0,0,0
drugs,תפ_27295-12-17,0,6,0,4,1426.9,1532.0,0,1,1,8
drugs,תפ_34960-10-19,1,9,0,0,821.6,840.5,1,0,4,4
drugs,תפ_46786-01-23,7,9,7,1,164.3,28.5,0,2,1,0
drugs,תפ_8203-05-23,0,10,0,0,1184.7,1412.0,0,1,3,6
drugs,תפ_42779-07-18,7,4,3,2,282.6,26.5,0,1,1,1
drugs,תפ_33658-01-18,0,7,0,3,1053.4,968.0,0,0,6,4
drugs,תפ_33252-04-17,3,0,0,7,547.7,457.5,0,2,3,2
drugs,תפ_43397-02-15,4,3,1,4,624.0,240.5,1,1,1,3
drugs,תפ_21557-06-16,0,0,0,10,1032.2,1226.0,1,0,3,6
drugs,תפ_15965-12-21,2,4,0,4,560.9,409.5,0,3,3,2
drugs,תפ_44027-05-15,1,0,0,9,520.3,505.0,0,4,5,0
