domain,query,pick,category,sources,n_sources
drugs,תפ_8336-04-14,תפ_49187-12-11,sup100_only,simcse,1
drugs,תפ_8336-04-14,תפ_63172-11-20,sup100_only,simcse,1
drugs,תפ_8336-04-14,תפ_17948-09-17,NEITHER,filtered,1
drugs,תפ_8336-04-14,תפ_20796-10-23,NEITHER,simcse,1
drugs,תפ_8336-04-14,תפ_31602-06-20,NEITHER,simcse,1
drugs,תפ_8336-04-14,תפ_42032-10-17,NEITHER,simcse,1
drugs,תפ_8336-04-14,תפ_39201-05-18,sup100_only,5fold,1
drugs,תפ_8336-04-14,תפ_1516-10-16,NEITHER,5fold,1
drugs,תפ_8336-04-14,תפ_20928-07-12,NEITHER,5fold,1
drugs,תפ_8336-04-14,תפ_63672-03-19,NEITHER,5fold,1
drugs,תפ_13781-01-24,תפ_19412-05-18,both,hist:extended,1
drugs,תפ_13781-01-24,תפ_30377-04-18,cit_only,hist:extended,1
drugs,תפ_13781-01-24,תפ_40639-10-17,NEITHER,hist:extended,1
drugs,תפ_13781-01-24,תפ_25332-01-18,cit_only,hist:extended,1
drugs,תפ_13781-01-24,תפ_54272-11-23,NEITHER,5fold_v2,1
drugs,תפ_13781-01-24,תפ_21503-07-23,NEITHER,5fold,1
drugs,תפ_13781-01-24,תפ_60321-05-21,both,5fold|current_union|supervised_baseline,3
drugs,תפ_13781-01-24,תפ_6749-09-22,NEITHER,simcse,1
drugs,תפ_13781-01-24,תפ_16379-07-21,cit_only,hist:extended,1
drugs,תפ_13781-01-24,תפ_63584-03-18,cit_only,hist:extended,1
drugs,תפ_23062-12-21,תפ_29731-05-21,sup100_only,hist:extended,1
drugs,תפ_23062-12-21,תפ_32243-08-21,cit_only,hist:extended,1
drugs,תפ_23062-12-21,תפ_38578-12-20,NEITHER,5fold_v2,1
drugs,תפ_23062-12-21,תפ_21991-04-20,both,current_union|filtered|supervised_baseline,3
drugs,תפ_23062-12-21,תפ_63287-04-21,both,hist:extended,1
drugs,תפ_23062-12-21,תפ_37764-03-21,sup100_only,hist:extended,1
drugs,תפ_23062-12-21,תפ_51899-07-21,cit_only,hist:extended,1
drugs,תפ_23062-12-21,תפ_70401-02-19,cit_only,hist:extended,1
drugs,תפ_23062-12-21,תפ_33439-01-21,cit_only,hist:extended,1
drugs,תפ_23062-12-21,תפ_42808-01-24,both,hist:extended,1
drugs,תפ_1276-05-15,תפ_37606-11-22,NEITHER,5fold_v2,1
drugs,תפ_1276-05-15,תפ_39019-05-15,NEITHER,simcse,1
drugs,תפ_1276-05-15,תפ_27952-06-19,NEITHER,5fold,1
drugs,תפ_1276-05-15,תפ_35204-09-21,NEITHER,5fold,1
drugs,תפ_1276-05-15,תפ_64384-03-16,NEITHER,simcse,1
drugs,תפ_1276-05-15,תפ_39491-09-17,cit_only,hist:extended,1
drugs,תפ_1276-05-15,תפ_42734-08-23,NEITHER,hist:extended,1
drugs,תפ_1276-05-15,תפ_73652-01-18,NEITHER,5fold,1
drugs,תפ_1276-05-15,תפ_1108-05-15,NEITHER,5fold,1
drugs,תפ_1276-05-15,תפ_32991-05-19,NEITHER,5fold_v2,1
drugs,תפ_63025-03-15,תפ_44449-10-19,sup100_only,simcse,1
drugs,תפ_63025-03-15,תפ_39593-07-15,both,current_union|supervised_baseline,2
drugs,תפ_63025-03-15,תפ_52165-12-17,both,current_union|supervised_baseline,2
drugs,תפ_63025-03-15,תפ_49845-08-20,both,current_union|filtered|supervised_baseline,3
drugs,תפ_63025-03-15,תפ_28811-02-18,both,current_union|simcse|supervised_baseline,3
drugs,תפ_63025-03-15,תפ_9582-10-20,NEITHER,5fold|current_union|supervised_baseline,3
drugs,תפ_63025-03-15,תפ_63596-02-18,both,hist:extended,1
drugs,תפ_63025-03-15,תפ_23774-03-17,cit_only,hist:extended,1
drugs,תפ_63025-03-15,תפ_61099-12-18,cit_only,current_union|filtered|supervised_baseline,3
drugs,תפ_63025-03-15,תפ_15425-02-14,both,hist:extended,1
drugs,תפ_809-09-18,תפ_24514-09-15,NEITHER,hist:extended,1
drugs,תפ_809-09-18,תפ_26019-02-18,cit_only,hist:extended,1
drugs,תפ_809-09-18,תפ_21052-05-20,NEITHER,5fold,1
drugs,תפ_809-09-18,תפ_63997-02-19,cit_only,hist:extended,1
drugs,תפ_809-09-18,תפ_3618-03-23,cit_only,hist:extended,1
drugs,תפ_809-09-18,תפ_40186-04-19,sup100_only,current_union|filtered|supervised_baseline,3
drugs,תפ_809-09-18,תפ_52876-12-23,cit_only,hist:extended,1
drugs,תפ_809-09-18,תפ_6678-12-20,cit_only,hist:extended,1
drugs,תפ_809-09-18,תפ_31579-08-23,cit_only,hist:extended,1
drugs,תפ_809-09-18,תפ_51515-06-23,NEITHER,filtered,1
drugs,תפ_50607-03-19,תפ_48167-02-13,cit_only,hist:extended,1
drugs,תפ_50607-03-19,תפ_52882-04-15,NEITHER,5fold,1
drugs,תפ_50607-03-19,תפ_19468-03-18,cit_only,current_union|filtered|supervised_baseline,3
drugs,תפ_50607-03-19,תפ_1108-05-15,NEITHER,5fold,1
drugs,תפ_50607-03-19,תפ_42431-08-23,sup100_only,5fold,1
drugs,תפ_50607-03-19,תפ_19412-05-18,NEITHER,simcse,1
drugs,תפ_50607-03-19,תפ_53219-03-14,cit_only,hist:extended,1
drugs,תפ_50607-03-19,תפ_35204-09-21,NEITHER,simcse,1
drugs,תפ_50607-03-19,תפ_46424-05-24,NEITHER,simcse,1
drugs,תפ_50607-03-19,תפ_42827-10-18,cit_only,hist:extended,1
drugs,תפ_7629-11-17,תפ_47714-01-17,both,hist:extended,1
drugs,תפ_7629-11-17,תפ_8633-04-15,both,hist:extended,1
drugs,תפ_7629-11-17,תפ_6336-02-15,both,current_union|simcse|supervised_baseline,3
drugs,תפ_7629-11-17,תפ_55925-11-17,sup100_only,filtered,1
drugs,תפ_7629-11-17,תפ_45195-11-20,cit_only,hist:extended,1
drugs,תפ_7629-11-17,תפ_13223-02-22,NEITHER,simcse,1
drugs,תפ_7629-11-17,תפ_16015-05-21,NEITHER,simcse,1
drugs,תפ_7629-11-17,תפ_37987-11-23,NEITHER,5fold_v2,1
drugs,תפ_7629-11-17,תפ_61065-07-18,both,5fold|current_union|supervised_baseline,3
drugs,תפ_7629-11-17,תפ_59888-08-22,NEITHER,filtered,1
drugs,תפ_4606-08-20,תפ_57778-06-20,NEITHER,filtered,1
drugs,תפ_4606-08-20,תפ_14611-12-21,cit_only,hist:main,1
drugs,תפ_4606-08-20,תפ_59199-09-19,NEITHER,5fold,1
drugs,תפ_4606-08-20,תפ_50729-04-21,cit_only,hist:extended,1
drugs,תפ_4606-08-20,תפ_57939-01-21,NEITHER,5fold,1
drugs,תפ_4606-08-20,תפ_43978-02-21,cit_only,hist:extended,1
drugs,תפ_4606-08-20,תפ_24248-09-22,cit_only,hist:extended,1
drugs,תפ_4606-08-20,תפ_39829-08-21,cit_only,hist:extended,1
drugs,תפ_4606-08-20,תפ_61181-02-19,NEITHER,5fold,1
drugs,תפ_4606-08-20,תפ_27506-03-21,NEITHER,simcse,1
drugs,תפ_19985-04-14,תפ_37634-03-15,cit_only,hist:extended,1
drugs,תפ_19985-04-14,תפ_49932-08-21,both,hist:extended,1
drugs,תפ_19985-04-14,תפ_44314-05-16,NEITHER,filtered,1
drugs,תפ_19985-04-14,תפ_47168-03-18,NEITHER,simcse,1
drugs,תפ_19985-04-14,תפ_39647-01-20,NEITHER,simcse,1
drugs,תפ_19985-04-14,תפ_47284-03-19,NEITHER,simcse,1
drugs,תפ_19985-04-14,תפ_50998-12-18,NEITHER,filtered,1
drugs,תפ_19985-04-14,תפ_59571-08-20,NEITHER,simcse,1
drugs,תפ_19985-04-14,תפ_64314-11-16,NEITHER,5fold,1
drugs,תפ_19985-04-14,תפ_36599-04-15,NEITHER,simcse,1
drugs,תפ_18011-01-20,תפ_54696-06-17,cit_only,hist:extended,1
drugs,תפ_18011-01-20,תפ_48751-01-23,NEITHER,filtered,1
