query,domain,fold,year,method,err_lo,err_hi,avg_err,quartile,err_total
תפח_43709-11-14,weapon,2,2014.0,sup_llm,360.0,951.0,655.5,Q4,1311.0
תפח_35363-09-22,weapon,5,2022.0,sup_llm,472.0,546.0,509.0,Q4,1018.0
תפ_30191-05-15,weapon,2,2015.0,sup_llm,12.0,636.0,324.0,Q4,648.0
תפח_46590-06-18,weapon,5,2018.0,sup_llm,272.0,306.0,289.0,Q4,578.0
תפח_756-11-15,weapon,2,2015.0,sup_llm,246.0,291.0,268.5,Q4,537.0
תפחע_7212-11-23,drugs,4,2023.0,sup_llm,222.0,264.0,243.0,Q4,486.0
תפח_10713-11-21,weapon,2,2021.0,sup_llm,226.0,233.0,229.5,Q4,459.0
תפח_55800-02-13,weapon,4,2013.0,sup_llm,186.0,246.0,216.0,Q4,432.0
תפח_15217-03-19,weapon,4,2019.0,sup_llm,192.0,228.0,210.0,Q4,420.0
תפח_32500-06-20,weapon,4,2020.0,sup_llm,168.0,228.0,198.0,Q4,396.0
תפח_2811-02-14,weapon,3,2014.0,sup_llm,176.0,210.0,193.0,Q4,386.0
תפח_13491-09-20,weapon,4,2020.0,sup_llm,168.0,216.0,192.0,Q4,384.0
תפח_48717-10-21,weapon,3,2021.0,sup_llm,180.0,204.0,192.0,Q4,384.0
תפח_42885-07-12,weapon,2,2012.0,sup_llm,164.0,204.0,184.0,Q4,368.0
תפח_1797-05-23,weapon,3,2023.0,sup_llm,171.0,174.0,172.5,Q4,345.0
תפח_4986-04-11,weapon,3,2011.0,sup_llm,168.0,156.0,162.0,Q4,324.0
תפח_34802-06-19,weapon,3,2019.0,sup_llm,144.0,180.0,162.0,Q4,324.0
תפח_8398-05-12,weapon,4,2012.0,sup_llm,159.0,162.0,160.5,Q4,321.0
תפח_44856-08-22,weapon,2,2022.0,sup_llm,138.0,174.0,156.0,Q4,312.0
תפח_36202-01-22,weapon,5,2022.0,sup_llm,144.0,166.0,155.0,Q4,310.0
תפח_49989-02-13,weapon,4,2013.0,sup_llm,129.0,180.0,154.5,Q4,309.0
תפח_2690-09-19,weapon,1,2019.0,sup_llm,123.0,156.0,139.5,Q4,279.0
תפח_39094-05-12,weapon,3,2012.0,sup_llm,132.0,144.0,138.0,Q4,276.0
תפח_34198-06-18,weapon,5,2018.0,sup_llm,108.0,150.0,129.0,Q1,258.0
תפח_55855-08-20,drugs,3,2020.0,sup_llm,99.0,156.0,127.5,Q4,255.0
תפח_15153-09-18,weapon,2,2018.0,sup_llm,101.0,144.0,122.5,Q4,245.0
תפח_49858-03-13,weapon,5,2013.0,sup_llm,120.0,120.0,120.0,Q4,240.0
תפ_30580-02-21,drugs,4,2021.0,sup_llm,99.0,138.0,118.5,Q4,237.0
תפח_21279-09-15,weapon,1,2015.0,sup_llm,102.0,132.0,117.0,Q3,234.0
תפח_63773-04-21,weapon,2,2021.0,sup_llm,100.0,130.0,115.0,Q4,230.0
