domain,A,B,n_pairs,mean_diff_A_minus_B,ci_low,ci_hi,wilcoxon_p,significant_95ci
drugs,sup_llm,sup_only,2516,-0.2390699523052464,-0.3110318958664547,-0.16523499602543726,1.5660044053226464e-10,✓
drugs,sup_llm,tfidf_ridge,2516,-2.325381077362815,-2.5970038318742144,-2.060618650384229,1.5446806613945867e-67,✓
drugs,sup_llm,bm25,2516,-1.1752782193958664,-1.4390153020667726,-0.9232685810810812,2.214808941931603e-18,✓
drugs,sup_llm,offense_matched_random,2326,-4.49365864144454,-4.871832007738607,-4.118849419604471,3.039915214551046e-115,✓
drugs,sup_llm,random_llm,2321,-1.0326367944851358,-1.3707749892287806,-0.7266614605773377,4.76991014250073e-07,✓
drugs,sup_llm,citation_llm,2176,0.7103630514705882,0.32168543198529415,1.062904986213235,7.943532759206743e-13,✓
drugs,llm_best,sup_llm,2516,-1.068064387917329,-1.2737529809220987,-0.8791409976152624,2.8581159272653104e-28,✓
drugs,sup_only,tfidf_ridge,2516,-2.0863111250575685,-2.3247595232967573,-1.822348667259195,1.124680112727548e-59,✓
drugs,sup_only,bm25,2516,-0.93620826709062,-1.192768779809221,-0.6820970786963435,1.5887274647106054e-12,✓
drugs,sup_only,offense_matched_random,2326,-4.249892519346518,-4.612588671539123,-3.8834829105760966,8.847354327958335e-110,✓
weapon,sup_llm,sup_only,1688,-1.1001184834123223,-1.5912581457345971,-0.5722563684834124,1.4198703747426088e-09,✓
weapon,sup_llm,tfidf_ridge,1688,-4.160792198302676,-4.920578139894779,-3.4685816518240977,4.471744474011857e-49,✓
weapon,sup_llm,bm25,1688,-2.4163210900473935,-3.2101969786729856,-1.597448904028436,5.093821928147273e-22,✓
weapon,sup_llm,offense_matched_random,1361,-6.295003673769287,-7.32680473916238,-5.325652094048494,3.314618416238171e-56,✓
weapon,sup_llm,random_llm,1657,-1.9417622208811105,-2.817229933614967,-1.0859195835847921,0.00012195149472163063,✓
weapon,sup_llm,citation_llm,1605,0.46059190031152647,-0.29432242990654206,1.2156697819314628,0.00891662940423922,✗
weapon,llm_best,sup_llm,1688,-1.6186315165876777,-2.4068572274881515,-0.8296726895734605,3.6538204876892835e-08,✓
weapon,sup_only,tfidf_ridge,1688,-3.0606737148903544,-3.6797406699768533,-2.4169291993661557,2.5626220150326683e-33,✓
weapon,sup_only,bm25,1688,-1.3162026066350712,-2.1622148992890997,-0.4184871149289103,8.2465812039042e-12,✓
weapon,sup_only,offense_matched_random,1361,-5.316127847171198,-6.044461792799412,-4.578949301983836,1.2596480973365781e-55,✓
