query,domain,fold,year,method,err_lo,err_hi
תפ_8336-04-14,drugs,1,2014.0,global_median,5.0,10.0
תפ_8336-04-14,drugs,1,2014.0,random_llm,6.0,10.0
תפ_8336-04-14,drugs,1,2014.0,sup_only,7.0,10.0
תפ_8336-04-14,drugs,1,2014.0,sup_llm,8.0,16.0
תפ_8336-04-14,drugs,1,2014.0,llm_best,7.0,14.0
תפ_8336-04-14,drugs,1,2014.0,tfidf_ridge,10.909671157110415,18.96043538432439
תפ_8336-04-14,drugs,1,2014.0,bm25,12.5,27.0
תפ_13781-01-24,drugs,1,2024.0,global_median,0.0,0.0
תפ_13781-01-24,drugs,1,2024.0,random_llm,3.0,8.0
תפ_13781-01-24,drugs,1,2024.0,citation_llm,1.0,5.0
תפ_13781-01-24,drugs,1,2024.0,sup_only,0.0,0.0
תפ_13781-01-24,drugs,1,2024.0,sup_llm,0.0,0.0
תפ_13781-01-24,drugs,1,2024.0,llm_best,1.0,4.0
תפ_13781-01-24,drugs,1,2024.0,tfidf_ridge,4.820507890028782,6.469703190815398
תפ_13781-01-24,drugs,1,2024.0,bm25,2.0,0.0
תפ_13781-01-24,drugs,1,2024.0,offense_matched_random,1.5,5.0
תפ_23062-12-21,drugs,1,2021.0,global_median,12.0,24.0
תפ_23062-12-21,drugs,1,2021.0,random_llm,12.5,8.0
תפ_23062-12-21,drugs,1,2021.0,citation_llm,0.5,1.0
תפ_23062-12-21,drugs,1,2021.0,sup_only,3.0,2.0
תפ_23062-12-21,drugs,1,2021.0,sup_llm,2.5,1.0
תפ_23062-12-21,drugs,1,2021.0,llm_best,0.0,0.0
תפ_23062-12-21,drugs,1,2021.0,tfidf_ridge,2.9597616508964677,9.59071110089512
תפ_23062-12-21,drugs,1,2021.0,bm25,0.5,0.0
תפ_23062-12-21,drugs,1,2021.0,offense_matched_random,15.0,30.0
תפ_1276-05-15,drugs,1,2015.0,global_median,4.0,8.0
תפ_1276-05-15,drugs,1,2015.0,random_llm,3.0,12.0
תפ_1276-05-15,drugs,1,2015.0,citation_llm,2.0,8.0
תפ_1276-05-15,drugs,1,2015.0,sup_only,3.0,8.0
תפ_1276-05-15,drugs,1,2015.0,sup_llm,3.0,8.0
תפ_1276-05-15,drugs,1,2015.0,llm_best,3.5,3.0
תפ_1276-05-15,drugs,1,2015.0,tfidf_ridge,3.010003401228488,0.807364003078554
תפ_1276-05-15,drugs,1,2015.0,bm25,4.0,3.0
תפ_1276-05-15,drugs,1,2015.0,offense_matched_random,5.5,14.0
תפ_63025-03-15,drugs,1,2015.0,global_median,1.0,6.0
תפ_63025-03-15,drugs,1,2015.0,random_llm,0.0,6.0
תפ_63025-03-15,drugs,1,2015.0,citation_llm,2.0,0.0
