domain,method,quartile,n,avg_mae,ci_low,ci_hi
drugs,sup_only,Q1,572,5.651223776223776,5.281031468531468,6.035861013986014
drugs,sup_only,Q2,545,4.438532110091743,4.048566513761468,4.834862385321101
drugs,sup_only,Q3,590,5.735169491525424,5.366472457627118,6.146631355932204
drugs,sup_only,Q4,598,16.79473244147157,15.565227842809364,18.217903428093646
drugs,sup_llm,Q1,572,5.533653846153846,5.159473339160839,5.940581293706294
drugs,sup_llm,Q2,545,4.348623853211009,3.9275229357798165,4.756903669724771
drugs,sup_llm,Q3,590,5.7652542372881355,5.376663135593221,6.162838983050848
drugs,sup_llm,Q4,598,15.928929765886288,14.69690635451505,17.4036266722408
drugs,tfidf_ridge,Q1,572,11.093611002700928,10.768389305790018,11.463282159796133
drugs,tfidf_ridge,Q2,545,6.776748409299876,6.481066516740652,7.076244832479846
drugs,tfidf_ridge,Q3,590,3.895550280549368,3.699608628510862,4.101565537947564
drugs,tfidf_ridge,Q4,598,17.985767487496336,16.654951191953188,19.547695006833546
drugs,llm_best,Q1,572,4.796765734265734,4.4705638111888115,5.108872377622378
drugs,llm_best,Q2,545,3.603669724770642,3.3182339449541285,3.958738532110092
drugs,llm_best,Q3,590,5.055508474576271,4.668146186440678,5.433940677966102
drugs,llm_best,Q4,598,12.704849498327759,11.46945025083612,14.011726588628763
weapon,sup_only,Q1,389,11.130462724935732,10.067737789203084,12.22008354755784
weapon,sup_only,Q2,404,7.3155940594059405,6.382951732673268,8.319384282178216
weapon,sup_only,Q3,391,8.96611253196931,8.11381074168798,9.908168158567776
weapon,sup_only,Q4,409,39.49144254278728,34.632166870415645,44.94367359413203
weapon,sup_llm,Q1,389,10.032776349614396,8.927827763496145,11.25465938303342
weapon,sup_llm,Q2,404,7.637376237623762,6.449767945544554,8.95734839108911
weapon,sup_llm,Q3,391,8.634910485933505,7.666224424552429,9.684958439897699
weapon,sup_llm,Q4,409,35.00305623471883,30.54015892420538,39.80871026894866
weapon,tfidf_ridge,Q1,389,21.12971011810113,20.2444278051559,21.933295171584096
weapon,tfidf_ridge,Q2,404,11.92500656992905,11.046322263619361,12.789477644172909
weapon,tfidf_ridge,Q3,391,7.593595449354911,7.021038785920246,8.234338217512768
weapon,tfidf_ridge,Q4,409,36.25315447347769,31.705158747913302,41.53756755850728
weapon,llm_best,Q1,389,10.05012853470437,8.743525064267352,11.595790488431877
weapon,llm_best,Q2,404,7.150990099009901,5.8859375,8.672741336633663
weapon,llm_best,Q3,391,8.831202046035806,7.57707800511509,10.26556905370844
weapon,llm_best,Q4,409,27.987163814180928,24.072172982885085,32.22328850855746
