min_k,domain,method,cohort_size,n_queries,mae_lo,mae_lo_ci,mae_hi,mae_hi_ci
1,drugs,global_median,2352,2352,8.746,"[8.33,9.21]",14.299,"[13.70,14.97]"
1,drugs,offense_matched_random,2352,2206,8.954,"[8.54,9.38]",14.699,"[14.04,15.37]"
1,drugs,tfidf_ridge,2352,2352,7.412,"[7.07,7.78]",12.011,"[11.54,12.54]"
1,drugs,bm25,2352,2352,6.706,"[6.36,7.11]",10.668,"[10.16,11.21]"
1,drugs,random_llm,2352,2159,6.434,"[6.01,6.90]",10.098,"[9.50,10.76]"
1,drugs,sup_only,2352,2352,5.95,"[5.62,6.30]",9.446,"[8.96,9.97]"
1,drugs,citation_llm,2352,2352,5.262,"[4.91,5.70]",8.127,"[7.62,8.70]"
1,drugs,sup_llm,2352,2352,5.739,"[5.41,6.09]",9.131,"[8.64,9.66]"
1,drugs,llm_best,2352,2352,4.97,"[4.67,5.30]",7.64,"[7.20,8.10]"
1,weapon,global_median,1630,1630,17.323,"[15.87,18.93]",25.894,"[23.69,28.44]"
1,weapon,offense_matched_random,1630,1335,17.933,"[16.33,19.80]",26.892,"[24.41,29.64]"
1,weapon,tfidf_ridge,1630,1630,16.07,"[14.89,17.40]",23.46,"[21.67,25.58]"
1,weapon,bm25,1630,1630,15.125,"[13.91,16.40]",21.595,"[19.86,23.49]"
1,weapon,random_llm,1630,1589,14.831,"[13.37,16.48]",21.597,"[19.36,24.01]"
1,weapon,sup_only,1630,1630,13.625,"[12.36,15.05]",20.232,"[18.30,22.52]"
1,weapon,citation_llm,1630,1630,12.353,"[11.19,13.68]",18.058,"[16.26,20.17]"
1,weapon,sup_llm,1630,1630,12.799,"[11.56,14.18]",18.926,"[17.01,21.14]"
1,weapon,llm_best,1630,1630,11.669,"[10.62,12.85]",16.838,"[15.21,18.77]"
3,drugs,global_median,2119,2119,8.883,"[8.43,9.39]",14.435,"[13.78,15.14]"
3,drugs,offense_matched_random,2119,1997,9.101,"[8.69,9.54]",14.921,"[14.28,15.61]"
3,drugs,tfidf_ridge,2119,2119,7.42,"[7.06,7.83]",11.946,"[11.44,12.52]"
3,drugs,bm25,2119,2119,6.68,"[6.32,7.09]",10.576,"[10.05,11.16]"
3,drugs,random_llm,2119,1960,6.541,"[6.08,7.04]",10.178,"[9.55,10.86]"
3,drugs,sup_only,2119,2119,5.94,"[5.60,6.35]",9.365,"[8.90,9.90]"
3,drugs,citation_llm,2119,2119,4.972,"[4.66,5.34]",7.685,"[7.25,8.19]"
3,drugs,sup_llm,2119,2119,5.713,"[5.37,6.11]",9.036,"[8.57,9.58]"
3,drugs,llm_best,2119,2119,4.896,"[4.59,5.26]",7.498,"[7.08,7.99]"
3,weapon,global_median,1516,1516,16.998,"[15.48,18.70]",25.187,"[22.93,27.80]"
3,weapon,offense_matched_random,1516,1277,17.529,"[15.86,19.43]",26.152,"[23.60,28.93]"
3,weapon,tfidf_ridge,1516,1516,15.47,"[14.33,16.81]",22.538,"[20.73,24.79]"
3,weapon,bm25,1516,1516,14.777,"[13.70,16.11]",20.964,"[19.19,23.11]"
3,weapon,random_llm,1516,1482,14.336,"[12.84,15.94]",20.62,"[18.46,23.12]"
3,weapon,sup_only,1516,1516,13.234,"[11.91,14.67]",19.44,"[17.44,21.75]"
3,weapon,citation_llm,1516,1516,11.642,"[10.47,13.04]",17.024,"[15.18,19.13]"
3,weapon,sup_llm,1516,1516,12.418,"[11.16,13.77]",18.241,"[16.37,20.47]"
3,weapon,llm_best,1516,1516,11.097,"[10.10,12.29]",16.06,"[14.40,18.00]"
10,drugs,global_median,1627,1627,9.203,"[8.69,9.70]",14.772,"[14.03,15.50]"
10,drugs,offense_matched_random,1627,1555,9.602,"[9.10,10.15]",15.582,"[14.80,16.42]"
10,drugs,tfidf_ridge,1627,1627,7.468,"[7.08,7.84]",11.926,"[11.35,12.48]"
10,drugs,bm25,1627,1627,6.661,"[6.28,7.06]",10.439,"[9.90,11.07]"
10,drugs,random_llm,1627,1533,6.53,"[6.13,6.96]",10.078,"[9.49,10.66]"
10,drugs,sup_only,1627,1627,6.035,"[5.69,6.40]",9.38,"[8.87,9.90]"
10,drugs,citation_llm,1627,1627,4.844,"[4.53,5.15]",7.373,"[6.94,7.82]"
10,drugs,sup_llm,1627,1627,5.746,"[5.41,6.10]",8.944,"[8.45,9.47]"
10,drugs,llm_best,1627,1627,4.758,"[4.47,5.06]",7.217,"[6.79,7.66]"
10,weapon,global_median,1268,1268,15.933,"[14.46,17.58]",22.961,"[20.79,25.33]"
10,weapon,offense_matched_random,1268,1140,16.041,"[14.38,17.86]",23.532,"[21.13,25.98]"
10,weapon,tfidf_ridge,1268,1268,14.123,"[12.95,15.46]",20.132,"[18.47,22.08]"
10,weapon,bm25,1268,1268,14.172,"[12.99,15.55]",19.577,"[17.97,21.44]"
10,weapon,random_llm,1268,1245,13.48,"[11.98,15.09]",19.109,"[17.10,21.31]"
10,weapon,sup_only,1268,1268,12.06,"[10.79,13.51]",17.18,"[15.42,19.19]"
10,weapon,citation_llm,1268,1268,10.74,"[9.54,12.12]",15.4,"[13.74,17.38]"
10,weapon,sup_llm,1268,1268,11.354,"[10.15,12.70]",16.413,"[14.71,18.34]"
10,weapon,llm_best,1268,1268,10.445,"[9.37,11.69]",14.854,"[13.29,16.77]"
