query,domain,fold,method,err_lo,err_hi
תפ_8336-04-14,drugs,1,simcse_only,7.5,13.0
תפ_8336-04-14,drugs,1,simcse_llm,7.0,16.0
תפ_13781-01-24,drugs,1,simcse_only,0.5,0.0
תפ_13781-01-24,drugs,1,simcse_llm,0.5,0.0
תפ_23062-12-21,drugs,1,simcse_only,4.0,7.0
תפ_23062-12-21,drugs,1,simcse_llm,0.0,0.0
תפ_1276-05-15,drugs,1,simcse_only,2.0,2.0
תפ_1276-05-15,drugs,1,simcse_llm,0.5,2.0
תפ_63025-03-15,drugs,1,simcse_only,6.0,3.0
תפ_63025-03-15,drugs,1,simcse_llm,1.0,0.0
תפ_809-09-18,drugs,1,simcse_only,15.0,21.0
תפ_809-09-18,drugs,1,simcse_llm,4.0,0.0
תפ_50607-03-19,drugs,1,simcse_only,2.0,2.0
תפ_50607-03-19,drugs,1,simcse_llm,4.0,6.0
תפ_7629-11-17,drugs,1,simcse_only,0.0,2.0
תפ_7629-11-17,drugs,1,simcse_llm,2.0,1.0
תפ_4606-08-20,drugs,1,simcse_only,0.0,0.0
תפ_4606-08-20,drugs,1,simcse_llm,0.5,0.0
תפ_19985-04-14,drugs,1,simcse_only,9.0,9.0
תפ_19985-04-14,drugs,1,simcse_llm,9.0,9.0
תפ_18011-01-20,drugs,1,simcse_only,99.0,137.0
תפ_18011-01-20,drugs,1,simcse_llm,94.0,136.0
תפ_16982-03-21,drugs,1,simcse_only,4.5,2.0
תפ_16982-03-21,drugs,1,simcse_llm,4.0,2.0
תפ_64660-01-22,drugs,1,simcse_only,27.0,40.0
תפ_64660-01-22,drugs,1,simcse_llm,21.0,36.0
תפ_44694-10-18,drugs,1,simcse_only,2.0,3.0
תפ_44694-10-18,drugs,1,simcse_llm,2.0,6.0
תפ_29019-03-10,drugs,1,simcse_only,27.0,84.0
תפ_29019-03-10,drugs,1,simcse_llm,26.5,81.0
תפ_13048-04-21,drugs,1,simcse_only,7.0,6.0
תפ_13048-04-21,drugs,1,simcse_llm,5.0,4.0
תפ_27103-01-18,drugs,1,simcse_only,7.5,9.0
תפ_27103-01-18,drugs,1,simcse_llm,1.0,5.0
תפ_39308-05-15,drugs,1,simcse_only,3.0,0.0
תפ_39308-05-15,drugs,1,simcse_llm,4.5,12.0
תפ_27683-01-21,drugs,1,simcse_only,6.0,2.5
תפ_27683-01-21,drugs,1,simcse_llm,6.0,5.0
תפ_25137-02-20,drugs,1,simcse_only,1.5,0.0
תפ_25137-02-20,drugs,1,simcse_llm,1.0,6.0
תפ_4435-07-19,drugs,1,simcse_only,6.0,5.0
תפ_4435-07-19,drugs,1,simcse_llm,8.0,10.0
תפ_54673-05-17,drugs,1,simcse_only,6.0,14.0
תפ_54673-05-17,drugs,1,simcse_llm,3.5,10.0
