v1,v2,domain,cit_type,d_lo,d_hi
תפ_19835-04-13,תפח_30145-08-13,weapon,cocite,114.0,153.0
תפ_36831-09-13,תפ_5911-11-16,drugs,cocite,18.0,43.0
תפ_28787-04-22,תפ_35431-03-21,weapon,cocite,12.0,14.0
תפ_16760-09-22,תפ_63155-05-23,weapon,cocite,18.0,14.0
תפ_18210-05-23,תפ_31935-12-21,weapon,cocite,20.0,36.0
תפ_10650-11-21,תפ_1580-11-23,weapon,cocite,8.0,10.0
תפ_35295-09-23,תפ_58524-11-19,weapon,none,4.0,20.0
תפ_10875-12-21,תפ_21029-10-19,weapon,cocite,3.0,8.0
תפ_57001-11-21,תפ_59067-10-21,weapon,cocite,14.0,28.0
תפ_14115-07-19,תפ_7735-04-19,weapon,"1hop,cocite",6.0,0.0
תפ_28845-04-22,תפח_17033-01-22,weapon,cocite,36.0,58.0
תפ_34669-01-23,תפ_58027-12-21,weapon,cocite,14.0,0.0
תפ_21503-07-23,תפ_42164-10-19,drugs,cocite,8.0,16.0
תפ_25631-03-22,תפ_52848-09-22,weapon,cocite,20.0,28.0
עפ_6029-03,תפ_59971-01-17,drugs,"1hop,2hop,cocite",20.0,28.0
תפ_22417-12-21,תפ_52789-09-22,weapon,cocite,47.0,60.0
תפ_25639-03-21,תפ_69640-10-18,weapon,cocite,3.0,0.0
תפ_59422-07-14,תפ_63355-02-23,weapon,cocite,18.0,34.0
תפ_46108-06-20,תפ_59260-03-16,weapon,cocite,2.0,6.0
תפ_23648-12-19,תפ_4248-06-16,weapon,cocite,2.0,0.0
תפ_19759-07-21,תפ_23253-12-15,weapon,cocite,12.0,24.0
תפ_50626-09-22,תפ_53377-09-22,weapon,cocite,4.0,18.0
תפ_11545-01-19,תפ_59811-06-20,drugs,1hop,4.0,12.0
תפ_22417-12-21,תפ_58027-12-21,weapon,cocite,15.0,14.0
תפ_17304-12-17,תפ_21696-04-20,weapon,cocite,18.0,30.0
תפ_45181-01-14,תפ_48352-05-15,drugs,cocite,6.0,10.0
תפ_11104-07-19,תפ_33420-12-20,weapon,cocite,13.0,20.0
תפ_44129-09-19,תפ_49305-06-16,drugs,cocite,12.0,0.0
תפ_31334-11-15,תפ_44157-08-16,weapon,cocite,6.0,6.0
תפ_3910-02-23,תפ_52964-03-22,weapon,cocite,0.0,3.0
תפ_3526-04-21,תפ_69278-05-18,drugs,cocite,14.0,36.0
תפ_11104-07-19,תפ_18689-01-17,weapon,cocite,1.0,12.0
תפ_20477-02-20,תפ_40999-01-21,weapon,cocite,62.0,114.0
תפ_35843-03-22,תפ_37966-04-23,weapon,cocite,2.0,4.0
תפ_1197-11-21,תפ_30197-04-17,drugs,cocite,0.0,4.0
תפ_51810-03-15,תפ_62794-11-21,drugs,cocite,9.0,28.0
תפ_1631-01-22,תפ_52479-01-18,weapon,cocite,2.0,6.0
תפ_18912-06-23,תפ_28845-04-22,weapon,cocite,0.0,2.0
תפ_16996-08-12,תפ_27685-11-15,weapon,cocite,24.0,45.0
